Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 09:27:06.267485	1.0	0.1	0	0.0	0	0.001	0.0
2023-03-02 09:27:07.270293	2.0	0.2	8	0.0	0	0.001	0.0
2023-03-02 09:27:08.273152	3.0	0.5	28	0.1	0	0.002	0.0
2023-03-02 09:27:09.274934	4.0	1.2	70	0.2	0	0.002	0.0
2023-03-02 09:27:10.276654	5.0	2.2	100	0.2	0	0.002	0.0
2023-03-02 09:27:11.278024	6.0	3.2	98	0.2	0	0.002	0.0
2023-03-02 09:27:12.279776	7.0	4.2	98	0.2	0	0.002	0.0
2023-03-02 09:27:13.281934	8.0	5.1	99	0.2	0	0.002	0.0
2023-03-02 09:27:14.283734	9.0	6.0	90	0.2	0	0.002	0.0
2023-03-02 09:27:15.285502	10.0	7.0	100	0.2	0	0.002	0.0
2023-03-02 09:27:16.287328	11.0	8.0	97	0.2	0	0.002	0.0
2023-03-02 09:27:17.289146	12.0	9.0	98	0.2	0	0.002	0.0
2023-03-02 09:27:18.290946	13.0	10.0	98	0.2	0	0.002	0.0
2023-03-02 09:27:19.292757	14.0	10.9	96	0.2	0	0.002	0.0
2023-03-02 09:27:20.294468	15.0	11.9	99	0.2	0	0.002	0.0
2023-03-02 09:27:21.296245	16.0	12.9	99	0.2	0	0.002	0.0
2023-03-02 09:27:22.297628	17.0	13.9	100	0.2	0	0.002	0.0
2023-03-02 09:27:23.299316	18.0	14.9	99	0.2	0	0.002	0.0
2023-03-02 09:27:24.300997	19.0	15.9	97	0.2	0	0.002	0.0
2023-03-02 09:27:25.302663	20.0	16.9	99	0.2	0	0.002	0.0
2023-03-02 09:27:26.304575	21.0	17.9	100	0.2	0	0.002	0.0
2023-03-02 09:27:27.306277	22.0	18.8	98	0.2	0	0.002	0.0
2023-03-02 09:27:28.307577	23.0	19.8	99	0.2	0	0.002	0.0
2023-03-02 09:27:29.309277	24.0	20.8	98	0.2	0	0.002	0.0
2023-03-02 09:27:30.311013	25.0	21.8	98	0.2	0	0.002	0.0
2023-03-02 09:27:31.312696	26.0	22.8	99	0.2	0	0.002	0.0
2023-03-02 09:27:32.314338	27.1	23.8	99	0.2	0	0.002	0.0
2023-03-02 09:27:33.316053	28.1	24.8	99	0.2	0	0.002	0.001
2023-03-02 09:27:34.317799	29.1	25.8	99	0.2	0	0.002	0.001
2023-03-02 09:27:35.319589	30.1	26.7	99	0.2	0	0.002	0.001
2023-03-02 09:27:36.321306	31.1	27.7	98	0.2	0	0.002	0.001
2023-03-02 09:27:37.323093	32.1	28.7	97	0.2	0	0.002	0.001
2023-03-02 09:27:38.325203	33.1	29.7	96	0.2	0	0.002	0.001
2023-03-02 09:27:39.327011	34.1	30.6	98	0.2	0	0.002	0.001
2023-03-02 09:27:40.328830	35.1	31.6	100	0.2	0	0.002	0.001
2023-03-02 09:27:41.330617	36.1	32.6	97	0.2	0	0.002	0.001
2023-03-02 09:27:42.332372	37.1	33.6	99	0.2	0	0.002	0.001
2023-03-02 09:27:43.334132	38.1	34.6	99	0.2	0	0.002	0.001
2023-03-02 09:27:44.335931	39.1	35.6	99	0.2	0	0.002	0.001
2023-03-02 09:27:45.337812	40.1	36.6	100	0.2	0	0.002	0.001
2023-03-02 09:27:46.339631	41.1	37.5	98	0.2	0	0.002	0.001
2023-03-02 09:27:47.341504	42.1	38.5	98	0.2	0	0.002	0.001
2023-03-02 09:27:48.343318	43.1	39.5	99	0.2	0	0.002	0.001
2023-03-02 09:27:49.345137	44.1	40.5	97	0.2	0	0.002	0.001
2023-03-02 09:27:50.347019	45.1	41.5	100	0.2	0	0.002	0.001
2023-03-02 09:27:51.349014	46.1	42.5	97	0.2	0	0.002	0.001
2023-03-02 09:27:52.350903	47.1	43.4	98	0.2	0	0.002	0.001
2023-03-02 09:27:53.352779	48.1	44.4	97	0.2	0	0.002	0.001
2023-03-02 09:27:54.354674	49.1	45.4	98	0.2	0	0.002	0.001
2023-03-02 09:27:55.356778	50.1	46.4	99	0.2	0	0.002	0.001
2023-03-02 09:27:56.357733	51.1	47.4	97	0.2	0	0.002	0.001
2023-03-02 09:27:57.359518	52.1	48.3	99	0.2	0	0.002	0.001
2023-03-02 09:27:58.361432	53.1	49.3	99	0.2	0	0.002	0.001
2023-03-02 09:27:59.363250	54.1	50.3	98	0.2	0	0.002	0.001
2023-03-02 09:28:00.365126	55.1	51.3	99	0.2	0	0.002	0.001
2023-03-02 09:28:01.367102	56.1	52.3	99	0.2	0	0.002	0.001
