Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 09:23:57.355506	1.0	10.2	0	0.2	0	0.165	0.0
2023-03-02 09:23:58.358661	2.0	10.2	6	0.2	0	0.165	0.0
2023-03-02 09:23:59.361562	3.0	10.2	0	0.2	0	0.165	0.0
2023-03-02 09:24:00.364359	4.0	10.2	1	0.2	0	0.165	0.0
2023-03-02 09:24:01.367251	5.0	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:02.370042	6.0	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:03.372860	7.0	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:04.375731	8.0	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:05.378688	9.0	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:06.381545	10.0	10.3	1	0.2	0	0.165	0.0
2023-03-02 09:24:07.384903	11.0	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:08.387915	12.0	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:09.390783	13.0	10.3	1	0.2	0	0.165	0.0
2023-03-02 09:24:10.393673	14.0	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:11.396625	15.0	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:12.398781	16.0	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:13.401905	17.1	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:14.404924	18.1	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:15.407998	19.1	10.3	0	0.2	0	0.165	0.0
2023-03-02 09:24:16.622860	20.3	10.3	5	0.2	0	0.228	0.0
2023-03-02 09:24:17.626010	21.3	10.4	4	0.2	0	0.228	0.0
2023-03-02 09:24:18.628674	22.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:19.631719	23.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:20.634702	24.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:21.637912	25.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:22.640901	26.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:23.643597	27.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:24.646693	28.3	10.4	1	0.2	0	0.228	0.0
2023-03-02 09:24:25.648723	29.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:26.651643	30.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:27.654507	31.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:28.657387	32.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:29.660281	33.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:30.663117	34.3	10.4	1	0.2	0	0.228	0.0
2023-03-02 09:24:31.665828	35.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:32.668572	36.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:33.671471	37.3	10.4	0	0.2	0	0.228	0.0
2023-03-02 09:24:34.674336	38.3	10.4	0	0.2	0	0.228	0.0
