Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 15:24:48.029498	1.0	0.3	0	0.0	0	0.075	0.0
2023-03-02 15:24:49.032388	2.0	0.6	34	0.1	0	0.112	0.0
2023-03-02 15:24:50.034675	3.0	1.1	44	0.1	0	0.123	0.0
2023-03-02 15:24:51.037989	4.0	1.4	33	0.1	0	0.143	0.0
2023-03-02 15:24:52.041201	5.0	1.7	32	0.1	0	0.168	0.0
2023-03-02 15:24:53.043681	6.0	2.1	35	0.1	0	0.198	0.0
2023-03-02 15:24:54.046035	7.0	2.4	34	0.1	0	0.314	0.0
2023-03-02 15:24:55.048070	8.0	2.9	46	0.2	0	0.32	0.0
2023-03-02 15:24:56.052914	9.0	3.3	39	0.2	0	0.353	0.0
2023-03-02 15:24:57.055302	10.0	3.7	44	0.2	0	0.366	0.0
2023-03-02 15:24:58.057753	11.0	4.2	51	0.2	0	0.373	0.0
2023-03-02 15:24:59.086330	12.1	4.8	53	0.2	0	0.375	0.0
2023-03-02 15:25:00.088321	13.1	5.3	56	0.2	0	0.376	0.0
2023-03-02 15:25:01.090812	14.1	5.9	58	0.2	0	0.377	0.0
2023-03-02 15:25:02.093173	15.1	6.4	51	0.2	0	0.378	0.0
2023-03-02 15:25:03.095668	16.1	6.9	51	0.2	0	0.383	0.0
2023-03-02 15:25:04.098243	17.1	7.4	51	0.2	0	0.385	0.0
2023-03-02 15:25:05.100665	18.1	7.9	49	0.2	0	0.386	0.0
2023-03-02 15:25:06.113729	19.1	8.5	52	0.2	0	0.387	0.0
2023-03-02 15:25:07.116181	20.1	9.0	52	0.2	0	0.391	0.0
2023-03-02 15:25:08.118329	21.1	9.5	52	0.2	0	0.396	0.0
2023-03-02 15:25:09.120751	22.1	10.0	48	0.2	0	0.41	0.0
2023-03-02 15:25:10.123121	23.1	10.5	51	0.2	0	0.41	0.0
