Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 14:35:59.054890	1.0	9.2	0	0.2	0	0.336	0.0
2023-03-02 14:36:00.075080	2.0	9.3	12	0.2	0	0.339	0.0
2023-03-02 14:36:01.079007	3.0	9.4	7	0.2	0	0.339	0.0
2023-03-02 14:36:02.163046	4.1	9.5	5	0.2	0	0.339	0.0
2023-03-02 14:36:03.180832	5.1	9.5	6	0.2	0	0.34	0.0
2023-03-02 14:36:04.214598	6.2	9.6	6	0.2	0	0.34	0.0
2023-03-02 14:36:05.267005	7.2	9.6	4	0.2	0	0.34	0.0
2023-03-02 14:36:06.345534	8.3	9.7	5	0.2	0	0.341	0.0
2023-03-02 14:36:07.354368	9.3	9.7	6	0.2	0	0.341	0.0
2023-03-02 14:36:08.357917	10.3	9.8	4	0.2	0	0.341	0.0
2023-03-02 14:36:09.402615	11.4	9.8	5	0.2	0	0.341	0.0
2023-03-02 14:36:10.424574	12.4	9.9	5	0.2	0	0.342	0.0
2023-03-02 14:36:11.427414	13.4	9.9	2	0.2	0	0.342	0.0
2023-03-02 14:36:12.436376	14.4	9.9	4	0.2	0	0.342	0.0
2023-03-02 14:36:13.465703	15.4	10.0	4	0.2	0	0.343	0.0
2023-03-02 14:36:14.475877	16.4	10.1	8	0.2	0	0.343	0.0
2023-03-02 14:36:15.477999	17.4	10.2	19	0.2	0	0.346	0.001
2023-03-02 14:36:16.480171	18.4	10.5	29	0.2	0	0.35	0.001
2023-03-02 14:36:17.483154	19.4	10.6	8	0.2	0	0.351	0.001
2023-03-02 14:36:18.504095	20.5	10.7	6	0.2	0	0.351	0.001
2023-03-02 14:36:19.641588	21.6	10.7	4	0.2	0	0.351	0.001
2023-03-02 14:36:20.657799	22.6	10.8	5	0.2	0	0.352	0.001
2023-03-02 14:36:21.719767	23.7	10.8	3	0.2	0	0.352	0.001
2023-03-02 14:36:22.758063	24.7	10.8	3	0.2	0	0.352	0.001
2023-03-02 14:36:23.769341	25.7	10.8	2	0.2	0	0.352	0.001
2023-03-02 14:36:24.830285	26.8	10.9	2	0.2	0	0.352	0.001
2023-03-02 14:36:26.158874	28.1	10.9	2	0.2	0	0.353	0.001
2023-03-02 14:36:27.173238	29.1	10.9	5	0.2	0	0.353	0.001
2023-03-02 14:36:28.176370	30.1	11.0	4	0.2	0	0.353	0.001
2023-03-02 14:36:29.178888	31.1	11.0	5	0.2	0	0.353	0.001
2023-03-02 14:36:30.254898	32.2	11.1	5	0.2	0	0.354	0.001
2023-03-02 14:36:31.287269	33.2	11.1	6	0.2	0	0.354	0.001
2023-03-02 14:36:32.493229	34.4	11.2	9	0.2	0	0.354	0.001
2023-03-02 14:36:33.510256	35.5	11.3	7	0.2	0	0.354	0.001
2023-03-02 14:36:34.512591	36.5	11.4	6	0.2	0	0.354	0.001
2023-03-02 14:36:35.555402	37.5	11.4	2	0.2	0	0.355	0.001
2023-03-02 14:36:36.561708	38.5	11.4	5	0.2	0	0.355	0.001
2023-03-02 14:36:37.762212	39.7	11.5	2	0.2	0	0.355	0.001
2023-03-02 14:36:38.769467	40.7	11.5	6	0.2	0	0.355	0.001
2023-03-02 14:36:39.781439	41.7	11.6	4	0.2	0	0.355	0.001
2023-03-02 14:36:40.784012	42.7	11.6	5	0.2	0	0.356	0.001
2023-03-02 14:36:41.809096	43.8	11.7	5	0.2	0	0.356	0.001
2023-03-02 14:36:42.830167	44.8	11.7	5	0.2	0	0.356	0.001
2023-03-02 14:36:43.833041	45.8	11.8	7	0.2	0	0.356	0.001
2023-03-02 14:36:44.856400	46.8	11.8	5	0.2	0	0.357	0.001
2023-03-02 14:36:45.888193	47.8	11.9	6	0.2	0	0.357	0.001
2023-03-02 14:36:46.919895	48.9	12.0	13	0.2	0	0.357	0.001
2023-03-02 14:36:47.982975	49.9	12.1	6	0.2	0	0.357	0.001
2023-03-02 14:36:49.010553	51.0	12.1	7	0.2	0	0.357	0.001
2023-03-02 14:36:50.013463	52.0	12.2	4	0.2	0	0.358	0.001
2023-03-02 14:36:51.018575	53.0	12.2	6	0.2	0	0.358	0.001
2023-03-02 14:36:52.049179	54.0	12.3	5	0.2	0	0.358	0.001
2023-03-02 14:36:53.120352	55.1	12.4	6	0.2	0	0.358	0.001
2023-03-02 14:36:54.124376	56.1	12.4	5	0.2	0	0.359	0.001
2023-03-02 14:36:55.570276	57.5	12.5	4	0.2	0	0.359	0.001
2023-03-02 14:36:56.573224	58.5	12.5	6	0.2	0	0.359	0.001
2023-03-02 14:36:57.625837	59.6	12.6	6	0.2	0	0.359	0.001
2023-03-02 14:36:58.665088	60.6	12.7	6	0.2	0	0.36	0.001
2023-03-02 14:36:59.667249	61.6	12.9	24	0.2	0	0.426	0.001
2023-03-02 14:37:00.670080	62.6	13.0	8	0.2	0	0.426	0.001
