Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 15:38:38.854813	1.0	0.5	0	0.0	0	0.014	0.0
2023-03-02 15:38:39.858735	2.0	0.8	38	0.0	0	0.033	0.0
2023-03-02 15:38:40.862271	3.0	1.3	48	0.1	0	0.042	0.0
2023-03-02 15:38:41.865667	4.0	1.9	60	0.1	0	0.05	0.0
2023-03-02 15:38:42.869669	5.0	2.4	50	0.1	0	0.083	0.0
2023-03-02 15:38:43.871953	6.0	2.9	45	0.1	0	0.096	0.0
2023-03-02 15:38:44.874279	7.0	3.3	39	0.1	0	0.11	0.0
2023-03-02 15:38:45.877506	8.0	3.7	47	0.1	0	0.112	0.0
2023-03-02 15:38:46.881231	9.0	4.4	65	0.2	0	0.114	0.0
2023-03-02 15:38:47.885121	10.0	5.0	61	0.2	0	0.118	0.0
2023-03-02 15:38:48.889014	11.0	5.5	52	0.2	0	0.126	0.0
