Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 15:10:12.168803	1.0	0.1	0	0.0	0	0.015	0.0
2023-03-02 15:10:13.172501	2.0	0.1	3	0.0	0	0.063	0.0
2023-03-02 15:10:14.174907	3.0	0.1	4	0.0	0	0.065	0.0
2023-03-02 15:10:15.177644	4.0	0.2	3	0.0	0	0.07	0.0
2023-03-02 15:10:16.180014	5.0	0.2	5	0.0	0	0.072	0.0
2023-03-02 15:10:17.182156	6.0	0.2	5	0.0	0	0.073	0.0
2023-03-02 15:10:18.184569	7.0	0.3	4	0.0	0	0.075	0.0
2023-03-02 15:10:19.187148	8.0	0.4	7	0.0	0	0.076	0.0
2023-03-02 15:10:20.189655	9.0	0.4	4	0.0	0	0.092	0.0
2023-03-02 15:10:21.192032	10.0	0.4	5	0.0	0	0.096	0.0
2023-03-02 15:10:22.194449	11.0	0.5	2	0.0	0	0.099	0.0
2023-03-02 15:10:23.196899	12.0	0.5	5	0.0	0	0.1	0.0
2023-03-02 15:10:24.199869	13.0	0.6	6	0.0	0	0.105	0.0
2023-03-02 15:10:25.203507	14.0	0.8	18	0.1	0	0.108	0.0
2023-03-02 15:10:26.207033	15.0	0.8	5	0.1	0	0.11	0.0
2023-03-02 15:10:27.212335	16.0	0.9	7	0.1	0	0.117	0.0
2023-03-02 15:10:28.216028	17.1	1.1	21	0.1	0	0.119	0.0
2023-03-02 15:10:29.219912	18.1	1.3	20	0.1	0	0.12	0.0
2023-03-02 15:10:30.223588	19.1	1.5	17	0.1	0	0.122	0.0
2023-03-02 15:10:31.227666	20.1	1.7	26	0.1	0	0.124	0.0
2023-03-02 15:10:32.231354	21.1	1.8	7	0.1	0	0.127	0.0
2023-03-02 15:10:33.235342	22.1	1.9	9	0.1	0	0.133	0.0
2023-03-02 15:10:34.238121	23.1	2.0	8	0.1	0	0.135	0.0
2023-03-02 15:10:35.240492	24.1	2.0	5	0.1	0	0.138	0.0
2023-03-02 15:10:36.242910	25.1	2.1	7	0.1	0	0.14	0.0
2023-03-02 15:10:37.245311	26.1	2.1	3	0.1	0	0.141	0.0
2023-03-02 15:10:38.247801	27.1	2.2	5	0.1	0	0.145	0.0
2023-03-02 15:10:39.250296	28.1	2.2	4	0.1	0	0.146	0.0
2023-03-02 15:10:40.252672	29.1	2.2	4	0.1	0	0.152	0.0
2023-03-02 15:10:41.254997	30.1	2.3	2	0.1	0	0.155	0.0
2023-03-02 15:10:42.257445	31.1	2.3	3	0.1	0	0.16	0.0
2023-03-02 15:10:43.259854	32.1	2.4	7	0.1	0	0.164	0.0
2023-03-02 15:10:44.262233	33.1	2.4	7	0.1	0	0.167	0.0
2023-03-02 15:10:45.264645	34.1	2.5	4	0.1	0	0.168	0.0
2023-03-02 15:10:46.267124	35.1	2.5	7	0.1	0	0.173	0.0
2023-03-02 15:10:47.269594	36.1	2.6	7	0.1	0	0.191	0.0
2023-03-02 15:10:48.272032	37.1	2.6	1	0.1	0	0.192	0.0
2023-03-02 15:10:49.274461	38.1	2.6	3	0.1	0	0.259	0.0
2023-03-02 15:10:50.277026	39.1	2.7	5	0.1	0	0.333	0.0
2023-03-02 15:10:51.279387	40.1	2.8	8	0.1	0	0.334	0.0
2023-03-02 15:10:52.281771	41.1	2.8	5	0.1	0	0.336	0.0
2023-03-02 15:10:53.284376	42.1	2.9	5	0.1	0	0.337	0.0
2023-03-02 15:10:54.287318	43.1	3.0	9	0.1	0	0.339	0.0
2023-03-02 15:10:55.289719	44.1	3.0	4	0.1	0	0.34	0.0
2023-03-02 15:10:56.292148	45.1	3.1	6	0.1	0	0.341	0.0
2023-03-02 15:10:57.294529	46.1	3.2	13	0.2	0	0.343	0.0
2023-03-02 15:10:58.306403	47.1	3.5	31	0.2	0	0.345	0.0
2023-03-02 15:10:59.309171	48.1	3.8	28	0.2	0	0.345	0.0
2023-03-02 15:11:00.312403	49.1	3.9	7	0.2	0	0.346	0.0
2023-03-02 15:11:01.314719	50.1	3.9	4	0.2	0	0.347	0.0
2023-03-02 15:11:02.320511	51.2	4.0	5	0.2	0	0.375	0.0
2023-03-02 15:11:03.323160	52.2	4.0	3	0.2	0	0.377	0.0
2023-03-02 15:11:04.325621	53.2	4.2	20	0.2	0	0.378	0.0
2023-03-02 15:11:05.328067	54.2	4.3	8	0.2	0	0.384	0.0
2023-03-02 15:11:06.330559	55.2	4.3	7	0.2	0	0.386	0.0
2023-03-02 15:11:07.333010	56.2	4.4	5	0.2	0	0.387	0.0
2023-03-02 15:11:08.335395	57.2	4.5	17	0.2	0	0.392	0.0
2023-03-02 15:11:09.337793	58.2	4.9	34	0.2	0	0.392	0.0
2023-03-02 15:11:10.340151	59.2	5.2	32	0.2	0	0.392	0.0
2023-03-02 15:11:11.342890	60.2	5.5	33	0.2	0	0.392	0.0
2023-03-02 15:11:12.346414	61.2	5.9	33	0.2	0	0.392	0.0
2023-03-02 15:11:13.348587	62.2	6.2	33	0.2	0	0.392	0.0
2023-03-02 15:11:14.351000	63.2	6.6	41	0.2	0	0.4	0.0
2023-03-02 15:11:15.353473	64.2	7.0	34	0.2	0	0.4	0.0
2023-03-02 15:11:16.362656	65.2	7.3	32	0.2	0	0.4	0.0
2023-03-02 15:11:17.365665	66.2	7.6	33	0.2	0	0.4	0.0
2023-03-02 15:11:18.368231	67.2	7.9	33	0.2	0	0.4	0.0
2023-03-02 15:11:19.370627	68.2	8.3	38	0.2	0	0.41	0.0
2023-03-02 15:11:20.373003	69.2	8.6	33	0.2	0	0.41	0.0
2023-03-02 15:11:21.375427	70.2	9.0	34	0.2	0	0.41	0.0
2023-03-02 15:11:22.377845	71.2	9.3	37	0.2	0	0.417	0.0
2023-03-02 15:11:23.380287	72.2	9.7	33	0.2	0	0.417	0.0
2023-03-02 15:11:24.382664	73.2	10.0	33	0.2	0	0.417	0.0
2023-03-02 15:11:25.385133	74.2	10.4	38	0.2	0	0.426	0.0
2023-03-02 15:11:26.394379	75.2	10.7	32	0.2	0	0.426	0.0
2023-03-02 15:11:27.397163	76.2	11.2	44	0.2	0	0.426	0.0
2023-03-02 15:11:28.399642	77.2	11.5	37	0.2	0	0.434	0.0
2023-03-02 15:11:29.402119	78.2	11.8	32	0.2	0	0.434	0.0
2023-03-02 15:11:30.404492	79.2	12.2	38	0.2	0	0.435	0.0
2023-03-02 15:11:31.407088	80.2	12.6	36	0.2	0	0.446	0.0
2023-03-02 15:11:32.409568	81.2	12.9	32	0.2	0	0.447	0.0
2023-03-02 15:11:33.412072	82.2	13.2	33	0.2	0	0.447	0.0
2023-03-02 15:11:34.414531	83.2	13.7	44	0.2	0	0.455	0.0
2023-03-02 15:11:35.417084	84.3	14.0	33	0.2	0	0.455	0.0
2023-03-02 15:11:36.419523	85.3	14.3	31	0.2	0	0.455	0.0
2023-03-02 15:11:37.422063	86.3	14.7	36	0.2	0	0.464	0.0
2023-03-02 15:11:38.424504	87.3	15.0	33	0.2	0	0.464	0.0
2023-03-02 15:11:39.426999	88.3	15.3	32	0.2	0	0.464	0.0
2023-03-02 15:11:40.429508	89.3	15.7	37	0.2	0	0.474	0.0
2023-03-02 15:11:41.431910	90.3	16.0	33	0.2	0	0.474	0.0
2023-03-02 15:11:42.435012	91.3	16.3	25	0.2	0	0.475	0.0
2023-03-02 15:11:43.437440	92.3	16.6	31	0.2	0	0.475	0.0
2023-03-02 15:11:44.439852	93.3	16.9	37	0.2	0	0.484	0.0
2023-03-02 15:11:45.442352	94.3	17.2	24	0.2	0	0.484	0.0
2023-03-02 15:11:46.444828	95.3	17.4	18	0.2	0	0.484	0.0
2023-03-02 15:11:47.447420	96.3	17.6	18	0.2	0	0.484	0.0
2023-03-02 15:11:48.449881	97.3	17.7	17	0.2	0	0.484	0.0
2023-03-02 15:11:49.452831	98.3	17.9	22	0.2	0	0.492	0.0
2023-03-02 15:11:50.455244	99.3	18.1	15	0.2	0	0.492	0.0
2023-03-02 15:11:51.457766	100.3	18.3	17	0.2	0	0.492	0.0
2023-03-02 15:11:52.460157	101.3	18.4	16	0.2	0	0.495	0.0
2023-03-02 15:11:53.462624	102.3	18.6	15	0.2	0	0.495	0.0
2023-03-02 15:11:54.465079	103.3	18.7	15	0.2	0	0.495	0.0
2023-03-02 15:11:55.467588	104.3	18.9	14	0.2	0	0.495	0.0
2023-03-02 15:11:56.470017	105.3	19.1	20	0.2	0	0.503	0.0
2023-03-02 15:11:57.472479	106.3	19.2	14	0.2	0	0.503	0.0
2023-03-02 15:11:58.474958	107.3	19.4	16	0.2	0	0.503	0.0
2023-03-02 15:11:59.477449	108.3	19.5	14	0.2	0	0.504	0.0
2023-03-02 15:12:00.479940	109.3	19.6	14	0.2	0	0.504	0.0
2023-03-02 15:12:01.482398	110.3	19.8	15	0.2	0	0.504	0.0
2023-03-02 15:12:02.484934	111.3	19.9	14	0.2	0	0.505	0.0
2023-03-02 15:12:03.487467	112.3	20.1	15	0.2	0	0.506	0.0
2023-03-02 15:12:04.490005	113.3	20.3	18	0.2	0	0.51	0.0
2023-03-02 15:12:05.492481	114.3	20.4	18	0.2	0	0.521	0.0
2023-03-02 15:12:06.494986	115.3	20.6	12	0.2	0	0.523	0.0
2023-03-02 15:12:07.497764	116.3	20.7	14	0.2	0	0.527	0.0
2023-03-02 15:12:08.500178	117.3	20.8	14	0.2	0	0.527	0.0
2023-03-02 15:12:09.516415	118.4	21.0	13	0.2	0	0.527	0.0
2023-03-02 15:12:10.518321	119.4	21.1	14	0.2	0	0.527	0.0
2023-03-02 15:12:11.520765	120.4	21.2	14	0.2	0	0.527	0.0
2023-03-02 15:12:12.523376	121.4	21.4	14	0.2	0	0.53	0.0
2023-03-02 15:12:13.525885	122.4	21.6	17	0.2	0	0.53	0.0
2023-03-02 15:12:14.528507	123.4	21.7	18	0.2	0	0.54	0.0
2023-03-02 15:12:15.530236	124.4	21.9	14	0.2	0	0.541	0.0
2023-03-02 15:12:16.538975	125.4	22.0	15	0.2	0	0.543	0.0
2023-03-02 15:12:17.543053	126.4	22.2	13	0.2	0	0.543	0.0
2023-03-02 15:12:18.545657	127.4	22.3	14	0.2	0	0.544	0.0
2023-03-02 15:12:19.552061	128.4	22.4	13	0.2	0	0.545	0.0
2023-03-02 15:12:20.555109	129.4	22.6	15	0.2	0	0.545	0.0
2023-03-02 15:12:21.558478	130.4	22.7	13	0.2	0	0.545	0.0
2023-03-02 15:12:22.561071	131.4	22.9	21	0.2	0	0.556	0.0
2023-03-02 15:12:23.563618	132.4	23.1	14	0.2	0	0.557	0.0
2023-03-02 15:12:24.566061	133.4	23.2	14	0.2	0	0.558	0.0
2023-03-02 15:12:25.569537	134.4	23.3	14	0.2	0	0.56	0.0
2023-03-02 15:12:26.573985	135.4	23.5	15	0.2	0	0.561	0.0
2023-03-02 15:12:27.576491	136.4	23.7	16	0.2	0	0.561	0.0
2023-03-02 15:12:28.578310	137.4	23.8	17	0.2	0	0.562	0.0
2023-03-02 15:12:29.585301	138.4	24.1	23	0.2	0	0.573	0.0
2023-03-02 15:12:30.590656	139.4	24.2	16	0.2	0	0.576	0.0
2023-03-02 15:12:31.594445	140.4	24.4	17	0.2	0	0.576	0.0
2023-03-02 15:12:32.597400	141.4	24.5	15	0.2	0	0.58	0.0
