Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 15:45:02.117460	1.0	0.1	0	0.0	0	0.015	0.0
2023-03-02 15:45:03.119173	2.0	0.1	3	0.0	0	0.064	0.0
2023-03-02 15:45:04.121594	3.0	0.1	5	0.0	0	0.066	0.0
2023-03-02 15:45:05.123827	4.0	0.2	6	0.0	0	0.071	0.0
2023-03-02 15:45:06.126042	5.0	0.2	6	0.0	0	0.087	0.0
2023-03-02 15:45:07.128073	6.0	0.4	13	0.0	0	0.089	0.0
2023-03-02 15:45:08.130288	7.0	0.5	12	0.0	0	0.091	0.0
2023-03-02 15:45:09.132494	8.0	0.7	19	0.0	0	0.093	0.0
2023-03-02 15:45:10.134754	9.0	0.8	8	0.1	0	0.096	0.0
2023-03-02 15:45:11.136999	10.0	0.8	5	0.1	0	0.1	0.0
2023-03-02 15:45:12.139235	11.0	0.9	7	0.1	0	0.103	0.0
2023-03-02 15:45:13.141434	12.0	1.0	7	0.1	0	0.106	0.0
2023-03-02 15:45:14.143640	13.0	1.0	6	0.1	0	0.108	0.0
2023-03-02 15:45:15.144978	14.0	1.1	6	0.1	0	0.11	0.0
2023-03-02 15:45:16.147213	15.0	1.1	4	0.1	0	0.119	0.0
2023-03-02 15:45:17.149333	16.0	1.2	5	0.1	0	0.123	0.0
2023-03-02 15:45:18.151612	17.0	1.2	5	0.1	0	0.127	0.0
2023-03-02 15:45:19.153863	18.0	1.3	4	0.1	0	0.13	0.0
2023-03-02 15:45:20.156147	19.0	1.3	4	0.1	0	0.136	0.0
2023-03-02 15:45:21.158228	20.0	1.4	5	0.1	0	0.14	0.0
2023-03-02 15:45:22.160080	21.0	1.4	8	0.1	0	0.142	0.0
2023-03-02 15:45:23.162319	22.0	1.5	6	0.1	0	0.143	0.0
2023-03-02 15:45:24.164556	23.1	1.5	4	0.1	0	0.144	0.0
2023-03-02 15:45:25.166912	24.1	1.6	3	0.1	0	0.146	0.0
2023-03-02 15:45:26.169274	25.1	1.6	4	0.1	0	0.148	0.0
2023-03-02 15:45:27.171559	26.1	1.6	4	0.1	0	0.17	0.0
2023-03-02 15:45:28.173840	27.1	1.7	7	0.1	0	0.171	0.0
2023-03-02 15:45:29.176106	28.1	1.8	6	0.1	0	0.172	0.0
2023-03-02 15:45:30.178346	29.1	1.9	8	0.1	0	0.172	0.0
2023-03-02 15:45:31.180566	30.1	2.0	11	0.1	0	0.174	0.0
2023-03-02 15:45:32.182803	31.1	2.0	6	0.1	0	0.175	0.0
2023-03-02 15:45:33.185080	32.1	2.1	6	0.1	0	0.175	0.0
2023-03-02 15:45:34.187419	33.1	2.1	4	0.1	0	0.176	0.0
2023-03-02 15:45:35.189791	34.1	2.3	17	0.1	0	0.177	0.0
2023-03-02 15:45:36.192228	35.1	2.5	22	0.2	0	0.177	0.0
2023-03-02 15:45:37.194567	36.1	2.7	16	0.2	0	0.177	0.0
2023-03-02 15:45:38.196796	37.1	2.7	4	0.2	0	0.177	0.0
2023-03-02 15:45:39.198169	38.1	2.7	3	0.2	0	0.178	0.0
2023-03-02 15:45:40.203882	39.1	2.8	4	0.2	0	0.178	0.0
2023-03-02 15:45:41.208607	40.1	2.9	13	0.2	0	0.18	0.0
2023-03-02 15:45:42.211828	41.1	3.0	7	0.2	0	0.18	0.0
2023-03-02 15:45:43.214366	42.1	3.0	6	0.2	0	0.181	0.0
2023-03-02 15:45:44.216613	43.1	3.3	25	0.2	0	0.181	0.0
2023-03-02 15:45:45.218095	44.1	3.5	24	0.2	0	0.181	0.0
2023-03-02 15:45:46.220378	45.1	3.8	25	0.2	0	0.181	0.0
2023-03-02 15:45:47.222634	46.1	4.0	25	0.2	0	0.181	0.0
2023-03-02 15:45:48.224911	47.1	4.3	25	0.2	0	0.181	0.0
2023-03-02 15:45:49.227205	48.1	4.5	25	0.2	0	0.181	0.0
2023-03-02 15:45:50.229470	49.1	4.8	24	0.2	0	0.181	0.0
2023-03-02 15:45:51.231796	50.1	5.0	25	0.2	0	0.181	0.0
