Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 15:45:18.239631	1.0	0.3	0	0.0	0	0.0	0.0
2023-03-02 15:45:19.241926	2.0	0.6	31	0.1	0	0.0	0.0
2023-03-02 15:45:20.244189	3.0	0.9	31	0.1	0	0.0	0.0
2023-03-02 15:45:21.245478	4.0	1.0	9	0.1	0	0.003	0.0
2023-03-02 15:45:22.247738	5.0	1.1	7	0.1	0	0.006	0.0
2023-03-02 15:45:23.249985	6.0	1.1	4	0.1	0	0.01	0.0
2023-03-02 15:45:24.252035	7.0	1.2	6	0.1	0	0.014	0.0
2023-03-02 15:45:25.254200	8.0	1.2	3	0.1	0	0.019	0.0
2023-03-02 15:45:26.256440	9.0	1.3	5	0.1	0	0.019	0.0
2023-03-02 15:45:27.258073	10.0	1.3	6	0.1	0	0.114	0.0
2023-03-02 15:45:28.260103	11.0	1.4	6	0.1	0	0.115	0.0
2023-03-02 15:45:29.262087	12.0	1.5	7	0.1	0	0.115	0.0
2023-03-02 15:45:30.264238	13.0	1.5	8	0.1	0	0.115	0.0
2023-03-02 15:45:31.266656	14.0	1.6	10	0.1	0	0.116	0.0
2023-03-02 15:45:32.268516	15.0	1.7	6	0.1	0	0.117	0.0
2023-03-02 15:45:33.270765	16.0	1.8	5	0.1	0	0.119	0.0
2023-03-02 15:45:34.273058	17.0	1.8	5	0.1	0	0.12	0.0
2023-03-02 15:45:35.275284	18.0	2.0	19	0.2	0	0.12	0.0
2023-03-02 15:45:36.277725	19.0	2.2	21	0.2	0	0.121	0.0
2023-03-02 15:45:37.279974	20.0	2.3	14	0.2	0	0.121	0.0
2023-03-02 15:45:38.282148	21.0	2.4	4	0.2	0	0.122	0.0
2023-03-02 15:45:39.286432	22.1	2.4	5	0.2	0	0.149	0.0
2023-03-02 15:45:40.288116	23.1	2.5	4	0.2	0	0.151	0.0
2023-03-02 15:45:41.290362	24.1	2.6	12	0.2	0	0.159	0.0
2023-03-02 15:45:42.292662	25.1	2.7	8	0.2	0	0.16	0.0
2023-03-02 15:45:43.294986	26.1	2.7	7	0.2	0	0.16	0.0
2023-03-02 15:45:44.297252	27.1	3.0	25	0.2	0	0.16	0.0
2023-03-02 15:45:45.298895	28.1	3.2	25	0.2	0	0.16	0.0
2023-03-02 15:45:46.301103	29.1	3.5	24	0.2	0	0.16	0.0
2023-03-02 15:45:47.303372	30.1	3.7	25	0.2	0	0.16	0.0
2023-03-02 15:45:48.305611	31.1	4.0	26	0.2	0	0.16	0.0
2023-03-02 15:45:49.308005	32.1	4.2	25	0.2	0	0.16	0.0
2023-03-02 15:45:50.310290	33.1	4.5	23	0.2	0	0.16	0.0
2023-03-02 15:45:51.312596	34.1	4.7	26	0.2	0	0.16	0.0
