Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-01 21:51:01.543269	1.0	9.3	0	0.5	0	0.206	0.0
2023-03-01 21:51:02.550314	2.0	9.3	1	0.5	0	0.209	0.0
2023-03-01 21:51:03.556810	3.0	9.4	0	0.5	0	0.212	0.0
2023-03-01 21:51:04.563187	4.0	9.4	0	0.5	0	0.215	0.0
2023-03-01 21:51:05.569677	5.0	9.4	2	0.5	0	0.218	0.0
2023-03-01 21:51:06.575952	6.0	9.4	0	0.5	0	0.22	0.0
2023-03-01 21:51:07.582120	7.0	9.4	1	0.5	0	0.223	0.0
2023-03-01 21:51:08.589070	8.1	9.4	0	0.5	0	0.226	0.0
2023-03-01 21:51:09.593800	9.1	9.5	0	0.5	0	0.228	0.0
2023-03-01 21:51:10.598700	10.1	9.5	1	0.5	0	0.229	0.0
2023-03-01 21:51:11.604153	11.1	9.5	0	0.5	0	0.233	0.0
2023-03-01 21:51:12.610434	12.1	9.5	1	0.5	0	0.234	0.0
2023-03-01 21:51:13.616685	13.1	9.6	1	0.5	0	0.238	0.0
2023-03-01 21:51:14.623133	14.1	9.6	0	0.5	0	0.241	0.0
2023-03-01 21:51:15.630080	15.1	10.1	2	0.6	0	0.272	0.0
2023-03-01 21:51:16.636546	16.1	10.5	0	0.6	0	0.362	0.001
2023-03-01 21:51:17.643204	17.1	10.7	1	0.7	0	0.439	0.001
2023-03-01 21:51:18.650079	18.1	10.9	1	0.6	0	0.488	0.004
2023-03-01 21:51:19.655980	19.1	10.9	0	0.6	0	0.492	0.004
2023-03-01 21:51:20.662843	20.1	10.9	0	0.6	0	0.496	0.004
2023-03-01 21:51:21.670101	21.1	10.9	1	0.6	0	0.501	0.004
2023-03-01 21:51:22.677029	22.1	11.0	0	0.6	0	0.503	0.004
2023-03-01 21:51:23.684143	23.2	11.0	2	0.6	0	0.508	0.004
2023-03-01 21:51:24.691351	24.2	11.0	0	0.6	0	0.51	0.004
2023-03-01 21:51:25.696340	25.2	11.1	0	0.6	0	0.514	0.004
2023-03-01 21:51:26.703528	26.2	11.1	1	0.6	0	0.518	0.004
2023-03-01 21:51:27.710117	27.2	11.2	0	0.6	0	0.521	0.004
2023-03-01 21:51:28.716746	28.2	11.4	2	0.7	0	0.606	0.004
2023-03-01 21:51:29.722717	29.2	12.1	0	0.7	0	0.729	0.005
2023-03-01 21:51:30.728889	30.2	13.0	1	0.7	0	0.729	0.007
2023-03-01 21:51:31.734057	31.2	14.0	0	0.7	0	0.729	0.007
2023-03-01 21:51:32.741128	32.2	15.7	1	0.8	0	0.731	0.008
2023-03-01 21:51:33.747439	33.2	15.7	2	0.7	0	0.733	0.008
2023-03-01 21:51:34.791317	34.3	15.8	7	0.2	0	1.264	0.016
2023-03-01 21:51:35.798259	35.3	16.3	56	0.2	0	1.264	0.016
