Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-03 22:31:52.120673	1.0	6.0	0	0.2	0	0.014	0.0
2023-03-03 22:31:53.124202	2.0	6.6	66	0.2	0	0.234	0.0
2023-03-03 22:31:54.127069	3.0	7.2	61	0.2	0	0.485	0.0
2023-03-03 22:31:55.130130	4.0	7.4	13	0.2	0	0.549	0.0
2023-03-03 22:31:56.131982	5.0	7.4	0	0.2	0	0.549	0.0
2023-03-03 22:31:57.135025	6.0	7.4	0	0.2	0	0.549	0.0
2023-03-03 22:31:58.138156	7.0	7.4	0	0.2	0	0.549	0.0
2023-03-03 22:31:59.141392	8.0	7.4	1	0.2	0	0.549	0.0
2023-03-03 22:32:00.144471	9.0	7.4	0	0.2	0	0.549	0.0
2023-03-03 22:32:01.147527	10.0	7.4	0	0.2	0	0.549	0.0
2023-03-03 22:32:02.150601	11.0	7.4	0	0.2	0	0.549	0.0
2023-03-03 22:32:03.153246	12.0	7.4	0	0.2	0	0.549	0.0
2023-03-03 22:32:04.163980	13.0	7.4	0	0.2	0	0.549	0.0
2023-03-03 22:32:05.171823	14.1	7.5	8	0.2	0	0.62	0.0
2023-03-03 22:32:06.185112	15.1	7.5	1	0.2	0	0.62	0.0
2023-03-03 22:32:07.191726	16.1	7.5	0	0.2	0	0.62	0.0
2023-03-03 22:32:08.203795	17.1	7.5	0	0.2	0	0.621	0.0
2023-03-03 22:32:09.206987	18.1	7.5	0	0.2	0	0.621	0.0
2023-03-03 22:32:10.211098	19.1	7.5	5	0.2	0	0.684	0.001
2023-03-03 22:32:11.214204	20.1	7.5	0	0.2	0	0.684	0.001
2023-03-03 22:32:12.217267	21.1	7.5	1	0.2	0	0.684	0.001
2023-03-03 22:32:13.221987	22.1	7.5	0	0.2	0	0.684	0.001
2023-03-03 22:32:14.225140	23.1	7.5	0	0.2	0	0.684	0.001
2023-03-03 22:32:15.228268	24.1	7.5	0	0.2	0	0.684	0.001
2023-03-03 22:32:16.231403	25.1	7.5	0	0.2	0	0.684	0.001
2023-03-03 22:32:17.233984	26.1	7.5	0	0.2	0	0.684	0.001
2023-03-03 22:32:18.237163	27.1	7.5	1	0.2	0	0.684	0.001
2023-03-03 22:32:19.240291	28.1	7.6	1	0.2	0	0.684	0.001
2023-03-03 22:32:20.243367	29.1	7.6	0	0.2	0	0.684	0.001
2023-03-03 22:32:21.247026	30.1	7.6	0	0.2	0	0.684	0.001
2023-03-03 22:32:22.250167	31.1	7.6	0	0.2	0	0.684	0.001
2023-03-03 22:32:23.253376	32.1	7.6	0	0.2	0	0.684	0.001
2023-03-03 22:32:24.257036	33.1	7.6	0	0.2	0	0.684	0.001
2023-03-03 22:32:25.260184	34.1	7.6	0	0.2	0	0.684	0.001
2023-03-03 22:32:26.263323	35.1	7.6	0	0.2	0	0.684	0.001
2023-03-03 22:32:27.266465	36.1	7.6	1	0.2	0	0.684	0.001
2023-03-03 22:32:28.269553	37.2	7.6	0	0.2	0	0.684	0.001
