Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-04 00:14:31.821663	1.0	0.0	0	0.0	0	0.0	0.0
2023-03-04 00:14:32.843624	2.0	0.1	6	0.0	0	0.074	0.0
2023-03-04 00:14:33.851663	3.0	0.1	8	0.0	0	0.132	0.0
2023-03-04 00:14:34.870730	4.1	0.2	2	0.0	0	0.132	0.0
2023-03-04 00:14:35.876192	5.1	0.2	2	0.0	0	0.132	0.0
2023-03-04 00:14:36.879343	6.1	0.2	5	0.0	0	0.135	0.0
2023-03-04 00:14:37.883208	7.1	0.5	25	0.2	0	0.137	0.0
2023-03-04 00:14:39.184762	8.4	1.0	43	0.6	0	0.205	0.0
2023-03-04 00:14:40.336861	9.5	1.6	51	0.8	0	0.256	0.0
2023-03-04 00:14:41.375262	10.6	2.1	47	0.9	0	0.288	0.0
2023-03-04 00:14:42.741608	11.9	2.8	56	1.0	1	0.323	0.0
2023-03-04 00:14:43.773628	13.0	3.5	62	1.3	1	0.334	0.0
2023-03-04 00:14:44.782824	14.0	4.0	47	1.6	1	0.339	0.0
2023-03-04 00:14:45.802448	15.0	4.5	49	1.6	1	0.339	0.0
2023-03-04 00:14:46.836091	16.0	5.0	48	1.7	1	0.34	0.0
2023-03-04 00:14:47.855427	17.0	5.5	49	1.7	1	0.34	0.0
2023-03-04 00:14:48.880623	18.1	6.0	50	1.8	1	0.34	0.0
2023-03-04 00:14:49.902519	19.1	6.6	50	1.9	1	0.34	0.0
2023-03-04 00:14:50.910754	20.1	7.1	50	1.9	1	0.34	0.0
2023-03-04 00:14:51.998003	21.2	7.6	49	2.0	1	0.34	0.0
2023-03-04 00:14:53.022606	22.2	8.1	48	2.0	1	0.341	0.0
2023-03-04 00:14:54.042875	23.2	8.6	48	2.1	1	0.341	0.0
2023-03-04 00:14:55.132995	24.3	9.1	50	2.2	1	0.341	0.0
2023-03-04 00:14:56.174877	25.4	9.6	50	2.2	1	0.341	0.0
2023-03-04 00:14:57.237697	26.4	10.2	52	2.3	1	0.341	0.0
2023-03-04 00:14:58.273447	27.5	10.7	50	2.3	1	0.341	0.0
2023-03-04 00:14:59.300303	28.5	11.2	53	2.4	1	0.341	0.0
2023-03-04 00:15:00.323082	29.5	11.8	51	2.5	1	0.341	0.0
2023-03-04 00:15:01.343195	30.5	12.3	53	2.5	1	0.342	0.0
2023-03-04 00:15:02.373520	31.6	12.8	52	2.6	1	0.342	0.0
2023-03-04 00:15:03.381957	32.6	13.4	49	2.7	1	0.342	0.0
2023-03-04 00:15:04.384824	33.6	14.0	61	2.7	1	0.342	0.0
2023-03-04 00:15:05.387447	34.6	14.5	56	2.8	1	0.342	0.0
2023-03-04 00:15:06.389909	35.6	15.0	51	2.9	2	0.342	0.0
2023-03-04 00:15:07.392490	36.6	15.5	50	2.9	2	0.342	0.0
2023-03-04 00:15:08.395012	37.6	16.1	55	3.4	2	0.342	0.0
2023-03-04 00:15:09.423460	38.6	16.6	54	4.1	2	0.342	0.0
2023-03-04 00:15:10.487127	39.7	17.2	55	4.6	2	0.342	0.0
2023-03-04 00:15:11.529451	40.7	17.8	55	4.9	3	0.342	0.0
2023-03-04 00:15:12.731949	41.9	18.6	77	5.5	3	0.342	0.0
2023-03-04 00:15:13.755139	42.9	19.5	73	3.0	2	0.343	0.0
2023-03-04 00:15:14.758876	43.9	20.0	50	3.1	2	0.343	0.0
2023-03-04 00:15:15.761499	44.9	20.4	49	3.3	2	0.343	0.0
2023-03-04 00:15:16.764765	45.9	21.1	62	3.5	2	0.343	0.0
2023-03-04 00:15:17.767366	47.0	21.6	51	3.7	2	0.343	0.0
