Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-04 00:14:31.824668	1.0	0.0	0	0.0	0	0.028	0.0
2023-03-04 00:14:32.843657	2.0	0.1	5	0.0	0	0.102	0.0
2023-03-04 00:14:33.852751	3.0	0.1	7	0.0	0	0.135	0.0
2023-03-04 00:14:34.870762	4.1	0.2	2	0.0	0	0.135	0.0
2023-03-04 00:14:35.877945	5.1	0.2	3	0.0	0	0.136	0.0
2023-03-04 00:14:36.881007	6.1	0.2	5	0.0	0	0.136	0.0
2023-03-04 00:14:37.885755	7.1	0.5	27	0.2	0	0.138	0.0
2023-03-04 00:14:39.184779	8.4	1.0	49	0.7	0	0.186	0.0
2023-03-04 00:14:40.336828	9.5	1.6	42	1.6	1	0.199	0.0
2023-03-04 00:14:41.375284	10.6	2.1	49	2.3	1	0.199	0.0
2023-03-04 00:14:42.741594	11.9	2.6	39	2.9	2	0.199	0.0
2023-03-04 00:14:43.773608	13.0	3.0	32	2.9	2	0.2	0.0
2023-03-04 00:14:44.781419	14.0	3.4	43	2.9	2	0.202	0.0
2023-03-04 00:14:45.802431	15.0	3.9	47	2.9	2	0.202	0.0
2023-03-04 00:14:46.836078	16.0	4.4	48	2.9	2	0.203	0.0
2023-03-04 00:14:47.855409	17.0	4.9	48	2.9	2	0.203	0.0
2023-03-04 00:14:48.880607	18.1	5.4	47	2.9	2	0.204	0.0
2023-03-04 00:14:49.902502	19.1	5.9	48	2.9	2	0.204	0.0
2023-03-04 00:14:50.909395	20.1	6.3	46	1.7	1	0.205	0.0
2023-03-04 00:14:51.997989	21.2	6.8	49	2.5	1	0.205	0.0
2023-03-04 00:14:53.022588	22.2	7.3	48	3.1	2	0.206	0.0
2023-03-04 00:14:54.042891	23.2	7.8	46	3.1	2	0.209	0.0
2023-03-04 00:14:55.133012	24.3	8.3	46	3.1	2	0.212	0.0
2023-03-04 00:14:56.174861	25.4	8.8	48	3.1	2	0.213	0.0
2023-03-04 00:14:57.237681	26.4	9.3	45	3.1	2	0.215	0.0
2023-03-04 00:14:58.273431	27.5	9.8	47	3.1	2	0.217	0.0
2023-03-04 00:14:59.300287	28.5	10.2	46	3.1	2	0.219	0.0
2023-03-04 00:15:00.323099	29.5	10.7	46	3.1	2	0.222	0.0
2023-03-04 00:15:01.343216	30.5	11.2	44	3.1	2	0.225	0.0
2023-03-04 00:15:02.373503	31.6	11.6	45	3.1	2	0.228	0.0
2023-03-04 00:15:03.380830	32.6	12.1	47	1.9	1	0.228	0.0
2023-03-04 00:15:04.383757	33.6	12.5	38	0.2	0	0.236	0.015
2023-03-04 00:15:05.386361	34.6	12.9	42	0.3	0	0.38	0.015
