Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-04 00:06:27.523936	1.0	0.0	0	0.0	0	0.001	0.0
2023-03-04 00:06:28.526379	2.0	0.1	6	0.0	0	0.116	0.0
2023-03-04 00:06:29.528985	3.0	0.2	7	0.0	0	0.137	0.0
2023-03-04 00:06:30.531495	4.0	0.2	6	0.1	0	0.139	0.0
2023-03-04 00:06:31.534094	5.0	0.3	10	0.1	0	0.139	0.0
2023-03-04 00:06:32.536483	6.0	0.4	9	0.2	0	0.139	0.0
2023-03-04 00:06:33.538779	7.0	0.5	10	0.2	0	0.156	0.0
2023-03-04 00:06:34.541125	8.0	0.6	10	0.2	0	0.156	0.0
2023-03-04 00:06:35.543303	9.0	0.7	10	0.2	0	0.156	0.0
2023-03-04 00:06:36.546157	10.0	0.8	10	0.2	0	0.156	0.0
2023-03-04 00:06:37.548780	11.0	0.9	10	0.2	0	0.156	0.0
2023-03-04 00:06:38.551417	12.0	1.0	10	0.2	0	0.171	0.0
2023-03-04 00:06:39.554026	13.0	1.1	10	0.2	0	0.171	0.0
2023-03-04 00:06:40.556885	14.0	1.2	9	0.2	0	0.171	0.0
2023-03-04 00:06:41.577784	15.1	1.3	10	0.2	0	0.171	0.0
2023-03-04 00:06:42.591898	16.1	1.4	10	0.2	0	0.171	0.0
2023-03-04 00:06:43.601002	17.1	1.5	9	0.2	0	0.171	0.0
2023-03-04 00:06:44.627615	18.1	1.6	10	0.2	0	0.187	0.0
2023-03-04 00:06:45.668416	19.2	1.7	10	0.2	0	0.187	0.0
2023-03-04 00:06:46.673628	20.2	1.8	9	0.2	0	0.187	0.0
2023-03-04 00:06:47.676253	21.2	1.9	10	0.2	0	0.187	0.0
2023-03-04 00:06:48.715548	22.2	2.0	10	0.2	0	0.187	0.0
2023-03-04 00:06:49.720205	23.2	2.1	10	0.2	0	0.203	0.0
2023-03-04 00:06:50.723092	24.2	2.2	9	0.2	0	0.203	0.0
2023-03-04 00:06:51.725977	25.2	2.3	10	0.2	0	0.203	0.0
2023-03-04 00:06:52.728354	26.2	2.4	10	0.2	0	0.203	0.0
2023-03-04 00:06:53.731039	27.2	2.4	9	0.2	0	0.203	0.0
2023-03-04 00:06:54.734359	28.2	2.5	9	0.2	0	0.203	0.0
2023-03-04 00:06:55.737238	29.2	2.6	10	0.2	0	0.22	0.0
2023-03-04 00:06:56.740154	30.2	2.7	10	0.2	0	0.22	0.0
2023-03-04 00:06:57.750338	31.2	2.8	9	0.2	0	0.22	0.0
2023-03-04 00:06:58.768475	32.3	2.9	10	0.2	0	0.22	0.0
2023-03-04 00:06:59.799683	33.3	3.0	10	0.2	0	0.221	0.0
2023-03-04 00:07:00.877860	34.4	3.1	8	0.2	0	0.241	0.0
2023-03-04 00:07:01.890227	35.4	3.2	10	0.2	0	0.241	0.0
2023-03-04 00:07:02.893035	36.4	3.3	10	0.2	0	0.242	0.0
2023-03-04 00:07:03.916409	37.4	3.4	9	0.2	0	0.242	0.0
2023-03-04 00:07:04.949109	38.4	3.5	10	0.2	0	0.242	0.0
2023-03-04 00:07:05.981852	39.5	3.6	10	0.2	0	0.242	0.0
2023-03-04 00:07:06.987658	40.5	3.7	9	0.2	0	0.266	0.0
2023-03-04 00:07:08.030120	41.5	3.8	10	0.2	0	0.266	0.0
2023-03-04 00:07:09.093135	42.6	3.9	9	0.2	0	0.267	0.0
2023-03-04 00:07:10.125286	43.6	4.0	10	0.2	0	0.267	0.0
2023-03-04 00:07:11.197080	44.7	4.1	10	0.2	0	0.267	0.0
2023-03-04 00:07:12.259501	45.7	4.2	8	0.2	0	0.284	0.0
2023-03-04 00:07:13.298130	46.8	4.3	10	0.2	0	0.288	0.0
2023-03-04 00:07:14.318845	47.8	4.4	10	0.2	0	0.289	0.0
2023-03-04 00:07:15.422304	48.9	4.5	10	0.2	0	0.289	0.0
2023-03-04 00:07:16.466823	50.0	4.6	9	0.2	0	0.289	0.0
2023-03-04 00:07:17.514660	51.0	4.7	9	0.2	0	0.29	0.0
2023-03-04 00:07:18.523645	52.0	4.8	10	0.2	0	0.305	0.0
2023-03-04 00:07:19.526336	53.0	4.9	11	0.2	0	0.305	0.0
2023-03-04 00:07:20.539316	54.0	5.0	9	0.2	0	0.306	0.0
2023-03-04 00:07:21.559477	55.0	5.1	10	0.2	0	0.306	0.0
2023-03-04 00:07:22.675788	56.2	5.2	10	0.2	0	0.306	0.0
2023-03-04 00:07:23.727946	57.2	5.3	9	0.2	0	0.308	0.0
2023-03-04 00:07:24.812153	58.3	5.4	10	0.2	0	0.338	0.0
2023-03-04 00:07:25.882269	59.4	5.5	9	0.2	0	0.339	0.0
2023-03-04 00:07:26.908002	60.4	5.6	9	0.2	0	0.339	0.0
2023-03-04 00:07:27.915624	61.4	5.7	11	0.2	0	0.339	0.0
2023-03-04 00:07:28.918337	62.4	5.8	9	0.2	0	0.339	0.0
2023-03-04 00:07:29.921007	63.4	5.9	10	0.2	0	0.355	0.0
2023-03-04 00:07:30.928364	64.4	6.0	9	0.2	0	0.355	0.0
2023-03-04 00:07:31.955215	65.4	6.1	11	0.2	0	0.355	0.0
2023-03-04 00:07:32.970227	66.5	6.2	9	0.2	0	0.355	0.0
2023-03-04 00:07:33.972303	67.5	6.3	10	0.2	0	0.355	0.0
2023-03-04 00:07:34.974559	68.5	6.4	9	0.2	0	0.355	0.0
2023-03-04 00:07:36.006773	69.5	6.5	10	0.2	0	0.374	0.0
2023-03-04 00:07:37.064567	70.6	6.6	10	0.2	0	0.374	0.0
2023-03-04 00:07:38.073934	71.6	6.7	10	0.2	0	0.374	0.0
2023-03-04 00:07:39.076535	72.6	6.8	10	0.2	0	0.374	0.0
2023-03-04 00:07:40.094598	73.6	6.9	9	0.2	0	0.374	0.0
2023-03-04 00:07:41.218088	74.7	7.0	10	0.2	0	0.393	0.0
2023-03-04 00:07:42.252152	75.7	7.0	9	0.2	0	0.393	0.0
2023-03-04 00:07:43.267991	76.8	7.2	10	0.2	0	0.393	0.0
2023-03-04 00:07:44.270600	77.8	7.2	10	0.2	0	0.393	0.0
2023-03-04 00:07:45.275092	78.8	7.3	10	0.2	0	0.393	0.0
2023-03-04 00:07:46.317270	79.8	7.4	9	0.2	0	0.393	0.0
2023-03-04 00:07:47.336870	80.8	7.5	10	0.2	0	0.411	0.0
2023-03-04 00:07:48.343124	81.8	7.6	10	0.2	0	0.411	0.0
2023-03-04 00:07:49.358794	82.8	7.7	9	0.2	0	0.411	0.0
2023-03-04 00:07:50.409645	83.9	7.8	10	0.2	0	0.411	0.0
2023-03-04 00:07:51.425177	84.9	7.9	10	0.2	0	0.411	0.0
2023-03-04 00:07:52.441558	85.9	8.0	9	0.2	0	0.427	0.0
2023-03-04 00:07:53.464388	87.0	8.1	10	0.2	0	0.427	0.0
2023-03-04 00:07:54.471762	88.0	8.2	10	0.2	0	0.427	0.0
2023-03-04 00:07:55.489304	89.0	8.3	11	0.2	0	0.427	0.0
2023-03-04 00:07:56.521301	90.0	8.4	9	0.2	0	0.427	0.0
2023-03-04 00:07:57.537650	91.0	8.5	9	0.2	0	0.427	0.0
2023-03-04 00:07:58.543034	92.0	8.6	10	0.2	0	0.445	0.0
2023-03-04 00:07:59.545663	93.0	8.7	10	0.2	0	0.445	0.0
2023-03-04 00:08:00.548360	94.0	8.8	9	0.2	0	0.445	0.0
2023-03-04 00:08:01.551127	95.0	8.9	10	0.2	0	0.445	0.0
2023-03-04 00:08:02.553313	96.0	9.0	9	0.2	0	0.445	0.0
2023-03-04 00:08:03.555749	97.0	9.1	10	0.2	0	0.461	0.0
2023-03-04 00:08:04.561909	98.1	9.2	10	0.2	0	0.461	0.0
2023-03-04 00:08:05.564340	99.1	9.3	9	0.2	0	0.461	0.0
2023-03-04 00:08:06.579785	100.1	9.4	10	0.2	0	0.461	0.0
2023-03-04 00:08:07.585016	101.1	9.5	10	0.2	0	0.461	0.0
