Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-04 00:06:27.634759	1.0	0.0	0	0.0	0	0.028	0.0
2023-03-04 00:06:28.637456	2.0	0.1	6	0.0	0	0.115	0.0
2023-03-04 00:06:29.640065	3.0	0.1	6	0.0	0	0.125	0.0
2023-03-04 00:06:30.641796	4.0	0.2	7	0.1	0	0.125	0.0
2023-03-04 00:06:31.644448	5.0	0.3	8	0.1	0	0.127	0.0
2023-03-04 00:06:32.647269	6.0	0.4	11	0.2	0	0.128	0.0
2023-03-04 00:06:33.651093	7.1	0.5	8	0.2	0	0.148	0.0
2023-03-04 00:06:34.653645	8.1	0.6	10	0.3	0	0.148	0.0
2023-03-04 00:06:35.669914	9.1	0.7	10	0.3	0	0.148	0.0
2023-03-04 00:06:36.673418	10.1	0.8	10	0.3	0	0.148	0.0
2023-03-04 00:06:37.675890	11.1	0.9	11	0.3	0	0.148	0.0
2023-03-04 00:06:38.678316	12.1	1.0	9	0.3	0	0.148	0.0
2023-03-04 00:06:39.681065	13.1	1.1	10	0.3	0	0.148	0.0
2023-03-04 00:06:40.684525	14.1	1.2	10	0.3	0	0.148	0.0
2023-03-04 00:06:41.687316	15.1	1.3	9	0.4	0	0.148	0.0
2023-03-04 00:06:42.690053	16.1	1.4	10	0.4	0	0.148	0.0
2023-03-04 00:06:43.691840	17.1	1.5	9	0.4	0	0.148	0.0
2023-03-04 00:06:44.694980	18.1	1.6	9	0.5	0	0.148	0.0
2023-03-04 00:06:45.698435	19.1	1.7	11	0.6	0	0.148	0.0
2023-03-04 00:06:46.700624	20.1	1.7	8	0.4	0	0.148	0.0
2023-03-04 00:06:47.702845	21.1	1.8	10	0.4	0	0.148	0.0
2023-03-04 00:06:48.720732	22.1	1.9	10	0.5	0	0.148	0.0
2023-03-04 00:06:49.727088	23.1	2.0	10	0.5	0	0.148	0.0
2023-03-04 00:06:50.731477	24.1	2.1	9	0.5	0	0.148	0.0
2023-03-04 00:06:51.734203	25.1	2.2	10	0.6	0	0.148	0.0
2023-03-04 00:06:52.737020	26.1	2.3	10	0.3	0	0.148	0.0
2023-03-04 00:06:53.739239	27.1	2.4	10	0.4	0	0.148	0.0
2023-03-04 00:06:54.741689	28.1	2.5	9	0.4	0	0.148	0.0
2023-03-04 00:06:55.744158	29.1	2.6	10	0.4	0	0.148	0.0
2023-03-04 00:06:56.746642	30.1	2.7	9	0.2	0	0.148	0.0
2023-03-04 00:06:57.751761	31.2	2.8	9	0.2	0	0.275	0.02
2023-03-04 00:06:58.768153	32.2	2.9	8	0.3	0	0.304	0.02
2023-03-04 00:06:59.799515	33.2	3.0	11	0.3	0	0.307	0.02
2023-03-04 00:07:00.877840	34.3	3.1	10	0.3	0	0.308	0.02
2023-03-04 00:07:01.891417	35.3	3.2	10	0.4	0	0.308	0.02
