Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-04 00:04:49.556308	1.0	0.0	0	0.0	0	0.042	0.0
2023-03-04 00:04:50.566908	2.0	0.1	9	0.0	0	0.117	0.0
2023-03-04 00:04:51.569483	3.0	0.2	6	0.0	0	0.118	0.0
2023-03-04 00:04:52.591124	4.1	0.3	10	0.1	0	0.12	0.0
2023-03-04 00:04:53.652478	5.1	0.4	11	0.2	0	0.121	0.0
2023-03-04 00:04:54.881213	6.3	0.5	11	0.2	0	0.214	0.0
2023-03-04 00:04:55.921886	7.4	0.6	10	0.3	0	0.217	0.0
2023-03-04 00:04:56.936363	8.4	0.8	12	0.3	0	0.217	0.0
2023-03-04 00:04:57.942619	9.4	0.9	10	0.3	0	0.217	0.0
2023-03-04 00:04:58.952778	10.4	1.0	11	0.3	0	0.217	0.0
2023-03-04 00:04:59.999060	11.5	1.1	12	0.3	0	0.217	0.0
2023-03-04 00:05:01.019086	12.5	1.2	10	0.3	0	0.217	0.0
2023-03-04 00:05:02.025274	13.5	1.3	12	0.3	0	0.217	0.0
2023-03-04 00:05:03.037022	14.5	1.4	11	0.4	0	0.217	0.0
2023-03-04 00:05:04.057145	15.5	1.5	11	0.5	0	0.217	0.0
2023-03-04 00:05:05.086250	16.6	1.6	11	0.5	0	0.217	0.0
2023-03-04 00:05:06.103181	17.6	1.8	11	0.4	0	0.217	0.0
2023-03-04 00:05:07.112200	18.6	1.9	11	0.4	0	0.217	0.0
2023-03-04 00:05:08.115216	19.6	2.0	12	0.5	0	0.217	0.0
2023-03-04 00:05:09.117793	20.6	2.1	11	0.5	0	0.217	0.0
2023-03-04 00:05:10.123640	21.6	2.2	10	0.5	0	0.217	0.0
2023-03-04 00:05:11.140947	22.6	2.3	12	0.6	0	0.217	0.0
2023-03-04 00:05:12.175311	23.6	2.4	11	0.4	0	0.217	0.0
2023-03-04 00:05:13.228173	24.7	2.5	11	0.4	0	0.217	0.0
2023-03-04 00:05:14.251019	25.7	2.7	11	0.4	0	0.217	0.0
2023-03-04 00:05:15.267117	26.7	2.8	11	0.2	0	0.217	0.0
2023-03-04 00:05:16.292445	27.8	2.9	10	0.2	0	0.373	0.02
2023-03-04 00:05:17.299291	28.8	3.0	10	0.3	0	0.376	0.02
2023-03-04 00:05:18.302048	29.8	3.1	12	0.3	0	0.378	0.02
2023-03-04 00:05:19.304944	30.8	3.2	10	0.4	0	0.378	0.02
2023-03-04 00:05:20.307852	31.8	3.3	11	0.4	0	0.378	0.02
2023-03-04 00:05:21.310197	32.8	3.4	11	0.4	0	0.378	0.02
2023-03-04 00:05:22.312239	33.8	3.5	11	0.4	0	0.378	0.02
2023-03-04 00:05:23.314103	34.8	3.6	11	0.4	0	0.378	0.02
