Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-04 00:04:49.556325	1.0	0.1	0	0.0	0	0.12	0.0
2023-03-04 00:04:50.567991	2.0	0.1	7	0.0	0	0.156	0.0
2023-03-04 00:04:51.570560	3.0	0.2	6	0.0	0	0.157	0.0
2023-03-04 00:04:52.591106	4.1	0.3	10	0.1	0	0.158	0.0
2023-03-04 00:04:53.652464	5.1	0.4	11	0.2	0	0.158	0.0
2023-03-04 00:04:54.881224	6.3	0.5	9	0.2	0	0.174	0.0
2023-03-04 00:04:55.921870	7.4	0.6	10	0.4	0	0.177	0.0
2023-03-04 00:04:56.936347	8.4	0.7	11	0.4	0	0.178	0.0
2023-03-04 00:04:57.941593	9.4	0.9	12	0.4	0	0.178	0.0
2023-03-04 00:04:58.952762	10.4	1.0	11	0.4	0	0.178	0.0
2023-03-04 00:04:59.999074	11.5	1.1	11	0.4	0	0.178	0.0
2023-03-04 00:05:01.019071	12.5	1.2	11	0.4	0	0.178	0.0
2023-03-04 00:05:02.024075	13.5	1.3	11	0.2	0	0.178	0.0
2023-03-04 00:05:03.037038	14.5	1.4	9	0.2	0	0.19	0.001
2023-03-04 00:05:04.057128	15.5	1.5	11	0.2	0	0.192	0.001
2023-03-04 00:05:05.086259	16.6	1.6	11	0.2	0	0.209	0.001
2023-03-04 00:05:06.103161	17.6	1.7	9	0.3	0	0.211	0.002
2023-03-04 00:05:07.111244	18.6	1.8	10	0.2	0	0.215	0.002
2023-03-04 00:05:08.114106	19.6	1.9	11	0.5	0	0.216	0.002
2023-03-04 00:05:09.116739	20.6	2.0	12	0.2	0	0.216	0.002
2023-03-04 00:05:10.123585	21.6	2.1	11	0.2	0	0.216	0.002
2023-03-04 00:05:11.140972	22.6	2.2	11	0.2	0	0.216	0.002
2023-03-04 00:05:12.175327	23.6	2.4	12	0.2	0	0.216	0.002
2023-03-04 00:05:13.228115	24.7	2.5	10	0.2	0	0.217	0.002
2023-03-04 00:05:14.250997	25.7	2.6	12	0.2	0	0.22	0.002
2023-03-04 00:05:15.267098	26.7	2.7	11	0.2	0	0.224	0.003
2023-03-04 00:05:16.292464	27.8	2.8	10	0.2	0	0.24	0.003
2023-03-04 00:05:17.300649	28.8	2.9	10	0.2	0	0.241	0.004
2023-03-04 00:05:18.303384	29.8	3.0	10	0.2	0	0.243	0.004
2023-03-04 00:05:19.306283	30.8	3.1	11	0.2	0	0.247	0.004
2023-03-04 00:05:20.309211	31.8	3.2	11	0.2	0	0.25	0.004
2023-03-04 00:05:21.311560	32.8	3.3	11	0.2	0	0.25	0.004
2023-03-04 00:05:22.314361	33.8	3.5	11	0.2	0	0.25	0.004
2023-03-04 00:05:23.315985	34.8	3.6	10	0.2	0	0.251	0.004
2023-03-04 00:05:24.476598	35.9	3.7	12	0.2	0	0.253	0.004
2023-03-04 00:05:25.513206	37.0	3.8	10	0.2	0	0.26	0.004
2023-03-04 00:05:26.525880	38.0	3.9	11	0.2	0	0.27	0.004
2023-03-04 00:05:27.531552	39.0	4.0	9	0.2	0	0.3	0.004
2023-03-04 00:05:28.550997	40.0	4.1	11	0.3	0	0.336	0.004
2023-03-04 00:05:29.556919	41.0	4.2	7	0.2	0	0.339	0.006
2023-03-04 00:05:30.583922	42.1	4.3	12	0.2	0	0.343	0.006
2023-03-04 00:05:31.610648	43.1	4.4	10	0.2	0	0.351	0.006
2023-03-04 00:05:32.617133	44.1	4.5	11	0.2	0	0.355	0.006
2023-03-04 00:05:33.619926	45.1	4.6	10	0.2	0	0.368	0.006
2023-03-04 00:05:34.647814	46.1	4.7	10	0.2	0	0.368	0.006
2023-03-04 00:05:35.660214	47.1	4.8	12	0.2	0	0.37	0.006
2023-03-04 00:05:36.666563	48.1	4.9	11	0.2	0	0.372	0.006
2023-03-04 00:05:37.671457	49.1	5.0	11	0.2	0	0.376	0.006
2023-03-04 00:05:38.674209	50.1	5.1	10	0.2	0	0.396	0.006
2023-03-04 00:05:39.676730	51.1	5.2	10	0.2	0	0.426	0.006
2023-03-04 00:05:40.844759	52.3	5.3	9	0.2	0	0.436	0.006
2023-03-04 00:05:41.895194	53.4	5.4	7	0.2	0	0.442	0.007
2023-03-04 00:05:42.904459	54.4	5.5	11	0.2	0	0.448	0.007
2023-03-04 00:05:43.926967	55.4	5.6	10	0.2	0	0.451	0.007
2023-03-04 00:05:44.961898	56.4	5.7	11	0.2	0	0.461	0.007
2023-03-04 00:05:46.008621	57.5	5.8	11	0.2	0	0.466	0.007
2023-03-04 00:05:47.039145	58.5	6.0	10	0.2	0	0.467	0.007
2023-03-04 00:05:48.051574	59.5	6.1	12	0.2	0	0.467	0.007
2023-03-04 00:05:49.057421	60.5	6.2	10	0.2	0	0.468	0.007
2023-03-04 00:05:50.062225	61.5	6.3	12	0.2	0	0.47	0.007
2023-03-04 00:05:51.064940	62.5	6.4	10	0.2	0	0.486	0.007
2023-03-04 00:05:52.067702	63.5	6.5	10	0.3	0	0.486	0.008
2023-03-04 00:05:53.070250	64.5	6.6	10	0.2	0	0.487	0.009
2023-03-04 00:05:54.073064	65.5	6.7	10	0.5	0	0.487	0.009
2023-03-04 00:05:55.075475	66.5	6.8	12	0.2	0	0.487	0.009
2023-03-04 00:05:56.078068	67.5	6.9	11	0.2	0	0.487	0.009
2023-03-04 00:05:57.080691	68.6	7.0	11	0.2	0	0.487	0.009
2023-03-04 00:05:58.082799	69.6	7.2	11	0.2	0	0.487	0.009
2023-03-04 00:05:59.084668	70.6	7.3	11	0.2	0	0.487	0.009
2023-03-04 00:06:00.087067	71.6	7.4	10	0.2	0	0.487	0.009
2023-03-04 00:06:01.089646	72.6	7.5	11	0.2	0	0.502	0.009
2023-03-04 00:06:02.092234	73.6	7.6	9	0.2	0	0.502	0.01
2023-03-04 00:06:03.094846	74.6	7.7	12	0.2	0	0.502	0.01
2023-03-04 00:06:04.097456	75.6	7.8	11	0.2	0	0.502	0.011
2023-03-04 00:06:05.100089	76.6	7.9	11	0.2	0	0.502	0.011
2023-03-04 00:06:06.102605	77.6	8.0	10	0.2	0	0.502	0.011
2023-03-04 00:06:07.105289	78.6	8.1	11	0.2	0	0.502	0.011
2023-03-04 00:06:08.107897	79.6	8.2	11	0.2	0	0.502	0.011
2023-03-04 00:06:09.110612	80.6	8.3	10	0.2	0	0.502	0.011
2023-03-04 00:06:10.112941	81.6	8.4	12	0.2	0	0.518	0.011
2023-03-04 00:06:11.121385	82.6	8.5	9	0.3	0	0.518	0.011
2023-03-04 00:06:12.143920	83.6	8.6	10	0.2	0	0.518	0.012
2023-03-04 00:06:13.152552	84.6	8.7	11	0.2	0	0.519	0.012
2023-03-04 00:06:14.156278	85.6	8.8	10	0.2	0	0.519	0.012
2023-03-04 00:06:15.158865	86.6	8.9	11	0.2	0	0.521	0.012
2023-03-04 00:06:16.161553	87.6	9.0	10	0.2	0	0.521	0.012
2023-03-04 00:06:17.163946	88.6	9.2	13	0.2	0	0.521	0.012
2023-03-04 00:06:18.166732	89.6	9.3	11	0.2	0	0.521	0.012
2023-03-04 00:06:19.169077	90.6	9.4	9	0.2	0	0.523	0.012
2023-03-04 00:06:20.174387	91.6	9.5	11	0.2	0	0.539	0.012
2023-03-04 00:06:21.179505	92.6	9.6	11	0.5	0	0.54	0.013
2023-03-04 00:06:22.193393	93.7	9.7	10	0.2	0	0.541	0.014
2023-03-04 00:06:23.204834	94.7	9.8	9	0.2	0	0.541	0.014
2023-03-04 00:06:24.211719	95.7	9.9	12	0.2	0	0.542	0.014
2023-03-04 00:06:25.213859	96.7	10.0	10	0.2	0	0.543	0.014
2023-03-04 00:06:26.216590	97.7	10.1	12	0.2	0	0.543	0.014
2023-03-04 00:06:27.219233	98.7	10.2	11	0.2	0	0.543	0.014
2023-03-04 00:06:28.221942	99.7	10.3	10	0.2	0	0.543	0.014
2023-03-04 00:06:29.224105	100.7	10.4	10	0.2	0	0.544	0.014
2023-03-04 00:06:30.226601	101.7	10.6	12	0.2	0	0.56	0.014
2023-03-04 00:06:31.229510	102.7	10.6	8	0.5	0	0.56	0.014
2023-03-04 00:06:32.231869	103.7	10.7	10	0.2	0	0.561	0.015
2023-03-04 00:06:33.234015	104.7	10.8	9	0.2	0	0.563	0.015
2023-03-04 00:06:34.236672	105.7	10.9	10	0.2	0	0.563	0.016
2023-03-04 00:06:35.239205	106.7	11.0	8	0.2	0	0.564	0.016
2023-03-04 00:06:36.242551	107.7	11.1	11	0.2	0	0.565	0.016
2023-03-04 00:06:37.244758	108.7	11.2	11	0.2	0	0.565	0.016
2023-03-04 00:06:38.246873	109.7	11.3	9	0.2	0	0.565	0.016
2023-03-04 00:06:39.249442	110.7	11.4	10	0.2	0	0.565	0.016
2023-03-04 00:06:40.252516	111.7	11.5	10	0.2	0	0.567	0.016
2023-03-04 00:06:41.254672	112.7	11.6	10	0.2	0	0.569	0.016
2023-03-04 00:06:42.259046	113.7	11.7	9	0.3	0	0.569	0.017
2023-03-04 00:06:43.262227	114.7	11.8	9	0.2	0	0.569	0.017
2023-03-04 00:06:44.281363	115.8	11.9	9	0.2	0	0.569	0.017
2023-03-04 00:06:45.286776	116.8	12.0	11	0.2	0	0.573	0.017
2023-03-04 00:06:46.289910	117.8	12.1	10	0.2	0	0.574	0.017
2023-03-04 00:06:47.292232	118.8	12.2	9	0.2	0	0.574	0.017
2023-03-04 00:06:48.315659	119.8	12.3	10	0.2	0	0.574	0.017
2023-03-04 00:06:49.339390	120.8	12.4	10	0.2	0	0.574	0.017
2023-03-04 00:06:50.380568	121.8	12.5	10	0.2	0	0.574	0.017
2023-03-04 00:06:51.434815	122.9	12.6	10	0.2	0	0.578	0.017
2023-03-04 00:06:52.443874	123.9	12.7	9	0.2	0	0.598	0.017
2023-03-04 00:06:53.446876	124.9	12.8	8	0.5	0	0.598	0.017
2023-03-04 00:06:54.484184	126.0	12.8	9	0.2	0	0.599	0.019
2023-03-04 00:06:55.516797	127.0	13.0	10	0.2	0	0.6	0.019
2023-03-04 00:06:56.525550	128.0	13.0	9	0.2	0	0.601	0.019
2023-03-04 00:06:57.527636	129.0	13.1	10	0.2	0	0.601	0.019
2023-03-04 00:06:58.530736	130.0	13.2	9	0.2	0	0.602	0.019
2023-03-04 00:06:59.533311	131.0	13.3	10	0.2	0	0.602	0.019
2023-03-04 00:07:00.535741	132.0	13.4	10	0.2	0	0.602	0.019
2023-03-04 00:07:01.538454	133.0	13.5	9	0.2	0	0.605	0.019
2023-03-04 00:07:02.591131	134.1	13.6	10	0.2	0	0.609	0.019
2023-03-04 00:07:03.605511	135.1	13.7	10	0.2	0	0.628	0.019
2023-03-04 00:07:04.608784	136.1	13.8	9	0.2	0	0.629	0.019
2023-03-04 00:07:05.618980	137.1	13.9	7	0.3	0	0.63	0.02
2023-03-04 00:07:06.644291	138.1	14.0	10	0.2	0	0.638	0.02
2023-03-04 00:07:07.652333	139.1	14.1	10	0.2	0	0.639	0.02
2023-03-04 00:07:08.670690	140.1	14.2	8	0.2	0	0.65	0.021
2023-03-04 00:07:09.726682	141.2	14.2	9	0.2	0	0.651	0.021
2023-03-04 00:07:10.765401	142.2	14.3	9	0.2	0	0.669	0.021
2023-03-04 00:07:11.820429	143.3	14.4	9	0.2	0	0.67	0.021
2023-03-04 00:07:12.911982	144.4	14.5	9	0.2	0	0.672	0.021
2023-03-04 00:07:13.975987	145.4	14.6	9	0.2	0	0.672	0.021
2023-03-04 00:07:15.056125	146.5	14.7	8	0.2	0	0.676	0.021
2023-03-04 00:07:16.081334	147.6	14.8	11	0.2	0	0.68	0.021
2023-03-04 00:07:17.166757	148.6	14.9	7	0.2	0	0.7	0.021
2023-03-04 00:07:18.176442	149.6	15.0	9	0.2	0	0.711	0.021
2023-03-04 00:07:19.178754	150.6	15.1	10	0.2	0	0.727	0.021
2023-03-04 00:07:20.214689	151.7	15.2	8	0.2	0	0.727	0.022
2023-03-04 00:07:21.250096	152.7	15.3	11	0.2	0	0.737	0.022
2023-03-04 00:07:22.275874	153.7	15.4	10	0.2	0	0.742	0.022
2023-03-04 00:07:23.287710	154.8	15.5	8	0.2	0	0.751	0.022
2023-03-04 00:07:24.307807	155.8	15.6	8	0.5	0	0.756	0.022
2023-03-04 00:07:25.321003	156.8	15.6	7	0.2	0	0.821	0.022
2023-03-04 00:07:26.323996	157.8	15.7	9	0.2	0	0.822	0.022
2023-03-04 00:07:27.326857	158.8	15.8	9	0.2	0	0.822	0.022
2023-03-04 00:07:28.328924	159.8	15.9	10	0.2	0	0.822	0.022
2023-03-04 00:07:29.331111	160.8	16.0	10	0.2	0	0.823	0.022
2023-03-04 00:07:30.333863	161.8	16.1	9	0.2	0	0.824	0.022
2023-03-04 00:07:31.336847	162.8	16.2	10	0.2	0	0.843	0.022
2023-03-04 00:07:32.360147	163.8	16.3	9	0.2	0	0.843	0.022
2023-03-04 00:07:33.369956	164.8	16.4	8	0.2	0	0.844	0.024
2023-03-04 00:07:34.372701	165.8	16.5	10	0.2	0	0.845	0.024
2023-03-04 00:07:35.388777	166.9	16.6	10	0.2	0	0.847	0.024
2023-03-04 00:07:36.420465	167.9	16.7	10	0.2	0	0.848	0.024
2023-03-04 00:07:37.431750	168.9	16.8	10	0.2	0	0.849	0.024
2023-03-04 00:07:38.433839	169.9	16.9	10	0.2	0	0.849	0.024
2023-03-04 00:07:39.436613	170.9	17.0	9	0.2	0	0.849	0.024
2023-03-04 00:07:40.466181	171.9	17.1	10	0.2	0	0.849	0.024
2023-03-04 00:07:41.478624	172.9	17.1	9	0.2	0	0.853	0.024
2023-03-04 00:07:42.541446	174.0	17.2	10	0.2	0	0.858	0.024
2023-03-04 00:07:43.553085	175.0	17.4	10	0.2	0	0.88	0.024
2023-03-04 00:07:44.555544	176.0	17.4	9	0.5	0	0.88	0.024
2023-03-04 00:07:45.581176	177.1	17.5	9	0.2	0	0.883	0.025
2023-03-04 00:07:46.600866	178.1	17.6	9	0.2	0	0.886	0.025
2023-03-04 00:07:47.610563	179.1	17.7	10	0.2	0	0.892	0.026
2023-03-04 00:07:48.612893	180.1	17.8	9	0.2	0	0.892	0.026
2023-03-04 00:07:49.646638	181.1	17.9	11	0.2	0	0.892	0.026
2023-03-04 00:07:50.682002	182.2	18.0	10	0.2	0	0.892	0.026
2023-03-04 00:07:51.694598	183.2	18.1	9	0.2	0	0.892	0.026
2023-03-04 00:07:52.713230	184.2	18.2	10	0.2	0	0.893	0.026
2023-03-04 00:07:53.725222	185.2	18.3	10	0.2	0	0.897	0.026
2023-03-04 00:07:54.727316	186.2	18.4	9	0.2	0	0.898	0.026
2023-03-04 00:07:55.750150	187.2	18.5	10	0.2	0	0.914	0.026
2023-03-04 00:07:56.757450	188.2	18.6	8	0.3	0	0.914	0.027
2023-03-04 00:07:57.760428	189.2	18.7	10	0.2	0	0.919	0.027
2023-03-04 00:07:58.763094	190.2	18.8	9	0.2	0	0.919	0.027
2023-03-04 00:07:59.765835	191.2	18.9	10	0.2	0	0.919	0.027
2023-03-04 00:08:00.768500	192.2	19.0	9	0.2	0	0.919	0.027
2023-03-04 00:08:01.771121	193.2	19.1	10	0.2	0	0.919	0.027
2023-03-04 00:08:02.773765	194.2	19.2	10	0.2	0	0.919	0.027
2023-03-04 00:08:03.775510	195.2	19.2	9	0.2	0	0.919	0.027
2023-03-04 00:08:04.778215	196.2	19.4	10	0.2	0	0.919	0.027
2023-03-04 00:08:05.780932	197.3	19.4	10	0.2	0	0.919	0.027
2023-03-04 00:08:06.783517	198.3	19.5	9	0.2	0	0.936	0.027
2023-03-04 00:08:07.786182	199.3	19.6	10	0.2	0	0.936	0.027
2023-03-04 00:08:08.788872	200.3	19.7	7	0.2	0	0.939	0.029
2023-03-04 00:08:09.791521	201.3	19.8	10	0.2	0	0.94	0.029
2023-03-04 00:08:10.793601	202.3	19.9	10	0.2	0	0.941	0.029
2023-03-04 00:08:11.796424	203.3	20.0	8	0.3	0	0.941	0.029
2023-03-04 00:08:12.799133	204.3	20.1	10	0.2	0	0.942	0.029
2023-03-04 00:08:13.804655	205.3	20.2	10	0.2	0	0.942	0.029
2023-03-04 00:08:14.807379	206.3	20.3	10	0.2	0	0.942	0.029
2023-03-04 00:08:15.810035	207.3	20.4	9	0.2	0	0.942	0.029
2023-03-04 00:08:16.812851	208.3	20.5	10	0.2	0	0.943	0.029
2023-03-04 00:08:17.815669	209.3	20.6	9	0.2	0	0.943	0.029
2023-03-04 00:08:18.823099	210.3	20.7	10	0.2	0	0.966	0.029
2023-03-04 00:08:19.826135	211.3	20.8	8	0.3	0	0.966	0.029
2023-03-04 00:08:20.828800	212.3	20.8	9	0.2	0	0.968	0.031
2023-03-04 00:08:21.831452	213.3	20.9	9	0.2	0	0.97	0.031
2023-03-04 00:08:22.834058	214.3	21.0	10	0.2	0	0.971	0.031
2023-03-04 00:08:23.836618	215.3	21.1	10	0.2	0	0.974	0.031
2023-03-04 00:08:24.839017	216.3	21.2	9	0.2	0	0.974	0.031
2023-03-04 00:08:25.851792	217.3	21.3	9	0.2	0	0.974	0.031
2023-03-04 00:08:26.863263	218.3	21.4	10	0.2	0	0.974	0.031
2023-03-04 00:08:27.877830	219.3	21.5	10	0.2	0	0.974	0.031
2023-03-04 00:08:28.883578	220.4	21.6	10	0.2	0	0.975	0.031
2023-03-04 00:08:29.886712	221.4	21.7	9	0.4	0	0.977	0.031
2023-03-04 00:08:30.889597	222.4	21.8	10	0.2	0	0.994	0.031
2023-03-04 00:08:31.891963	223.4	21.9	9	0.3	0	0.994	0.032
2023-03-04 00:08:32.894543	224.4	22.0	12	0.2	0	0.995	0.032
2023-03-04 00:08:33.897184	225.4	22.1	10	0.2	0	0.995	0.032
2023-03-04 00:08:34.900319	226.4	22.2	9	0.3	0	0.997	0.032
2023-03-04 00:08:35.902947	227.4	22.3	12	0.2	0	0.998	0.032
2023-03-04 00:08:36.905814	228.4	22.4	11	0.2	0	0.998	0.032
2023-03-04 00:08:37.908545	229.4	22.6	12	0.2	0	0.998	0.032
2023-03-04 00:08:38.911181	230.4	22.7	11	0.2	0	0.999	0.032
2023-03-04 00:08:39.913834	231.4	22.8	12	0.2	0	1.001	0.033
2023-03-04 00:08:40.916556	232.4	22.9	14	0.2	0	1.018	0.033
2023-03-04 00:08:41.932147	233.4	23.0	10	0.2	0	1.021	0.034
2023-03-04 00:08:42.935812	234.4	23.2	14	0.2	0	1.023	0.034
2023-03-04 00:08:43.938544	235.4	23.3	11	0.2	0	1.025	0.034
2023-03-04 00:08:44.946803	236.4	23.4	12	0.2	0	1.028	0.034
2023-03-04 00:08:45.950913	237.4	23.5	13	0.2	0	1.028	0.034
2023-03-04 00:08:46.959499	238.4	23.6	13	0.2	0	1.028	0.034
2023-03-04 00:08:47.971382	239.4	23.8	12	0.2	0	1.029	0.034
2023-03-04 00:08:48.999023	240.5	23.9	11	0.2	0	1.033	0.034
2023-03-04 00:08:50.008647	241.5	24.0	10	0.2	0	1.047	0.034
2023-03-04 00:08:51.023712	242.5	24.1	10	0.2	0	1.063	0.034
2023-03-04 00:08:52.043896	243.5	24.2	8	0.3	0	1.067	0.035
2023-03-04 00:08:53.063876	244.5	24.3	11	0.2	0	1.071	0.036
2023-03-04 00:08:54.095491	245.6	24.4	11	0.2	0	1.075	0.036
2023-03-04 00:08:55.119432	246.6	24.5	10	0.2	0	1.079	0.036
2023-03-04 00:08:56.155271	247.6	24.6	9	0.2	0	1.084	0.036
2023-03-04 00:08:57.192048	248.7	24.7	10	0.2	0	1.084	0.036
2023-03-04 00:08:58.200919	249.7	24.8	10	0.2	0	1.084	0.036
2023-03-04 00:08:59.208414	250.7	24.9	9	0.2	0	1.085	0.036
2023-03-04 00:09:00.217912	251.7	25.0	10	0.2	0	1.085	0.036
2023-03-04 00:09:01.228331	252.7	25.1	10	0.2	0	1.088	0.036
2023-03-04 00:09:02.261335	253.7	25.1	9	0.2	0	1.099	0.036
2023-03-04 00:09:03.292581	254.8	25.2	10	0.2	0	1.122	0.036
2023-03-04 00:09:04.304352	255.8	25.3	9	0.2	0	1.123	0.036
2023-03-04 00:09:05.309283	256.8	25.4	9	0.2	0	1.125	0.037
2023-03-04 00:09:06.333184	257.8	25.5	10	0.2	0	1.127	0.037
2023-03-04 00:09:07.353448	258.8	25.6	9	0.2	0	1.134	0.037
2023-03-04 00:09:08.362951	259.8	25.7	11	0.2	0	1.138	0.038
2023-03-04 00:09:09.399929	260.9	25.8	9	0.2	0	1.144	0.038
2023-03-04 00:09:10.412351	261.9	25.9	11	0.2	0	1.145	0.038
2023-03-04 00:09:11.427400	262.9	26.0	9	0.2	0	1.145	0.038
2023-03-04 00:09:12.432847	263.9	26.1	10	0.2	0	1.145	0.038
2023-03-04 00:09:13.545926	265.0	26.2	9	0.2	0	1.146	0.038
2023-03-04 00:09:14.556943	266.0	26.3	10	0.2	0	1.149	0.038
2023-03-04 00:09:15.571355	267.0	26.4	10	0.2	0	1.154	0.038
2023-03-04 00:09:16.576221	268.0	26.5	8	0.2	0	1.18	0.038
2023-03-04 00:09:17.585765	269.1	26.6	10	0.5	0	1.18	0.038
2023-03-04 00:09:18.654504	270.1	26.7	10	0.2	0	1.185	0.039
2023-03-04 00:09:19.670203	271.1	26.8	9	0.2	0	1.187	0.039
2023-03-04 00:09:20.672565	272.1	26.9	9	0.2	0	1.19	0.039
2023-03-04 00:09:21.676266	273.1	27.0	9	0.2	0	1.19	0.039
2023-03-04 00:09:22.684465	274.2	27.1	10	0.2	0	1.195	0.039
2023-03-04 00:09:23.711868	275.2	27.2	10	0.2	0	1.195	0.039
2023-03-04 00:09:24.754847	276.2	27.3	10	0.2	0	1.195	0.039
2023-03-04 00:09:25.838080	277.3	27.4	9	0.2	0	1.198	0.039
2023-03-04 00:09:26.853374	278.3	27.5	10	0.2	0	1.201	0.039
2023-03-04 00:09:27.885964	279.4	27.6	9	0.2	0	1.205	0.039
2023-03-04 00:09:28.907649	280.4	27.7	11	0.2	0	1.223	0.039
2023-03-04 00:09:29.923871	281.4	27.8	9	0.5	0	1.225	0.04
2023-03-04 00:09:30.939708	282.4	27.9	10	0.2	0	1.229	0.041
2023-03-04 00:09:31.955996	283.4	28.0	9	0.2	0	1.232	0.041
2023-03-04 00:09:32.995258	284.5	28.1	11	0.2	0	1.237	0.041
2023-03-04 00:09:34.045447	285.5	28.2	9	0.2	0	1.241	0.041
2023-03-04 00:09:35.130071	286.6	28.3	10	0.2	0	1.243	0.041
2023-03-04 00:09:36.208365	287.7	28.4	9	0.2	0	1.243	0.041
2023-03-04 00:09:37.222717	288.7	28.5	10	0.2	0	1.244	0.041
2023-03-04 00:09:38.227278	289.7	28.6	10	0.2	0	1.246	0.041
2023-03-04 00:09:39.308303	290.8	28.7	10	0.2	0	1.259	0.041
2023-03-04 00:09:40.419023	291.9	28.8	9	0.2	0	1.419	0.041
2023-03-04 00:09:41.450488	292.9	28.9	11	0.3	0	1.425	0.041
2023-03-04 00:09:42.476118	293.9	29.0	9	0.4	0	1.428	0.041
2023-03-04 00:09:43.511157	295.0	29.1	9	0.5	0	1.428	0.041
2023-03-04 00:09:44.547892	296.0	29.2	11	0.5	0	1.428	0.041
2023-03-04 00:09:45.574900	297.0	29.3	9	0.5	0	1.428	0.041
2023-03-04 00:09:46.617156	298.1	29.4	10	0.5	0	1.429	0.041
2023-03-04 00:09:47.623311	299.1	29.5	10	0.4	0	1.429	0.041
2023-03-04 00:09:48.659581	300.1	29.6	10	0.5	0	1.43	0.041
2023-03-04 00:09:49.703000	301.2	29.7	10	0.5	0	1.431	0.041
2023-03-04 00:09:50.713181	302.2	29.8	10	0.5	0	1.431	0.041
2023-03-04 00:09:51.715815	303.2	29.8	9	0.5	0	1.431	0.041
2023-03-04 00:09:52.717936	304.2	29.9	10	0.4	0	1.431	0.041
2023-03-04 00:09:53.720486	305.2	30.0	9	0.2	0	1.431	0.042
2023-03-04 00:09:54.753347	306.2	30.2	11	0.2	0	1.436	0.043
2023-03-04 00:09:55.784223	307.3	30.2	10	0.2	0	1.438	0.043
2023-03-04 00:09:56.816582	308.3	30.3	9	0.2	0	1.438	0.043
2023-03-04 00:09:57.853206	309.3	30.4	10	0.6	0	1.439	0.043
2023-03-04 00:09:58.886960	310.4	30.5	10	0.2	0	1.439	0.043
2023-03-04 00:09:59.893839	311.4	30.6	10	0.2	0	1.439	0.043
2023-03-04 00:10:00.933570	312.4	30.7	10	0.2	0	1.44	0.043
2023-03-04 00:10:01.971813	313.4	30.8	10	0.2	0	1.441	0.043
2023-03-04 00:10:02.978734	314.4	30.9	10	0.2	0	1.442	0.043
2023-03-04 00:10:04.040080	315.5	31.0	10	0.2	0	1.443	0.043
2023-03-04 00:10:05.069642	316.5	31.1	10	0.2	0	1.451	0.043
2023-03-04 00:10:06.111008	317.6	31.2	9	0.2	0	1.468	0.043
2023-03-04 00:10:07.163032	318.6	31.3	9	0.2	0	1.47	0.043
2023-03-04 00:10:08.197080	319.7	31.4	8	0.2	0	1.476	0.044
2023-03-04 00:10:09.234604	320.7	31.5	11	0.2	0	1.479	0.044
2023-03-04 00:10:10.267649	321.7	31.6	9	0.2	0	1.484	0.044
2023-03-04 00:10:11.281070	322.8	31.7	10	0.2	0	1.486	0.044
2023-03-04 00:10:12.316362	323.8	31.8	9	0.2	0	1.491	0.044
