Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-03 23:50:47.053123	1.0	0.0	0	0.0	0	0.001	0.0
2023-03-03 23:50:48.072656	2.0	0.0	2	0.0	0	0.029	0.0
2023-03-03 23:50:49.076925	3.0	0.1	3	0.0	0	0.116	0.0
2023-03-03 23:50:50.080849	4.0	0.1	8	0.0	0	0.243	0.0
2023-03-03 23:50:51.113265	5.1	0.2	4	0.0	0	0.249	0.0
2023-03-03 23:50:52.121366	6.1	0.2	2	0.0	0	0.249	0.0
2023-03-03 23:50:53.123904	7.1	0.2	2	0.0	0	0.249	0.0
2023-03-03 23:50:54.126333	8.1	0.2	1	0.0	0	0.249	0.0
2023-03-03 23:50:55.128905	9.1	0.3	9	0.1	0	0.251	0.0
2023-03-03 23:50:56.132614	10.1	0.4	11	0.1	0	0.252	0.0
2023-03-03 23:50:57.136915	11.1	0.5	8	0.2	0	0.262	0.0
2023-03-03 23:50:58.139459	12.1	0.6	12	0.2	0	0.262	0.0
2023-03-03 23:50:59.141901	13.1	0.7	11	0.4	0	0.262	0.0
2023-03-03 23:51:00.158315	14.1	0.8	9	0.2	0	0.274	0.011
2023-03-03 23:51:01.161818	15.1	0.9	11	0.2	0	0.274	0.011
2023-03-03 23:51:02.164439	16.1	1.0	7	0.2	0	0.274	0.021
2023-03-03 23:51:03.166997	17.1	1.1	12	0.2	0	0.283	0.021
2023-03-03 23:51:04.169568	18.1	1.2	11	0.2	0	0.283	0.021
2023-03-03 23:51:05.200784	19.2	1.3	10	0.2	0	0.283	0.032
2023-03-03 23:51:06.208504	20.2	1.5	12	0.2	0	0.283	0.032
2023-03-03 23:51:07.222677	21.2	1.6	10	0.2	0	0.283	0.032
2023-03-03 23:51:08.229514	22.2	1.7	10	0.2	0	0.284	0.043
2023-03-03 23:51:09.231737	23.2	1.8	12	0.2	0	0.295	0.043
2023-03-03 23:51:10.234302	24.2	1.9	10	0.2	0	0.295	0.043
2023-03-03 23:51:11.236866	25.2	2.0	11	0.2	0	0.295	0.053
2023-03-03 23:51:12.239287	26.2	2.1	11	0.2	0	0.303	0.053
2023-03-03 23:51:13.275547	27.2	2.2	11	0.2	0	0.303	0.053
2023-03-03 23:51:14.282080	28.2	2.3	8	0.2	0	0.304	0.061
2023-03-03 23:51:15.289590	29.2	2.4	12	0.2	0	0.307	0.064
2023-03-03 23:51:16.294064	30.2	2.5	11	0.2	0	0.316	0.064
2023-03-03 23:51:17.296711	31.2	2.6	11	0.2	0	0.316	0.064
2023-03-03 23:51:18.298972	32.3	2.7	10	0.2	0	0.316	0.075
2023-03-03 23:51:19.301735	33.3	2.9	12	0.2	0	0.325	0.075
2023-03-03 23:51:20.305930	34.3	2.9	10	0.2	0	0.325	0.075
2023-03-03 23:51:21.312200	35.3	3.1	11	0.2	0	0.326	0.086
2023-03-03 23:51:22.319224	36.3	3.2	11	0.2	0	0.336	0.086
2023-03-03 23:51:23.321792	37.3	3.3	11	0.2	0	0.336	0.086
2023-03-03 23:51:24.327130	38.3	3.4	10	0.2	0	0.336	0.096
2023-03-03 23:51:25.331489	39.3	3.5	11	0.2	0	0.344	0.096
2023-03-03 23:51:26.334022	40.3	3.6	11	0.2	0	0.344	0.096
2023-03-03 23:51:27.336755	41.3	3.7	10	0.5	0	0.344	0.096
2023-03-03 23:51:28.339267	42.3	3.8	11	0.2	0	0.344	0.107
2023-03-03 23:51:29.341962	43.3	3.9	11	0.2	0	0.353	0.107
2023-03-03 23:51:30.344970	44.3	4.0	11	0.2	0	0.354	0.107
2023-03-03 23:51:31.349155	45.3	4.1	10	0.2	0	0.354	0.118
2023-03-03 23:51:32.354186	46.3	4.2	12	0.2	0	0.365	0.118
2023-03-03 23:51:33.356739	47.3	4.4	11	0.2	0	0.365	0.118
2023-03-03 23:51:34.359315	48.3	4.5	10	0.2	0	0.365	0.128
2023-03-03 23:51:35.361776	49.3	4.6	11	0.2	0	0.374	0.128
2023-03-03 23:51:36.364310	50.3	4.7	10	0.2	0	0.374	0.128
2023-03-03 23:51:37.416234	51.4	4.8	11	0.2	0	0.376	0.139
2023-03-03 23:51:38.426128	52.4	4.9	11	0.2	0	0.376	0.139
2023-03-03 23:51:39.433416	53.4	5.0	11	0.2	0	0.385	0.139
2023-03-03 23:51:40.438964	54.4	5.1	11	0.2	0	0.385	0.139
2023-03-03 23:51:41.441481	55.4	5.2	11	0.2	0	0.385	0.15
2023-03-03 23:51:42.444028	56.4	5.3	11	0.2	0	0.395	0.15
2023-03-03 23:51:43.452144	57.4	5.4	11	0.2	0	0.396	0.15
2023-03-03 23:51:44.460221	58.4	5.5	10	0.2	0	0.397	0.16
2023-03-03 23:51:45.463434	59.4	5.7	11	0.2	0	0.406	0.16
2023-03-03 23:51:46.477109	60.4	5.8	10	0.2	0	0.407	0.16
2023-03-03 23:51:47.482597	61.4	5.8	10	0.4	0	0.408	0.16
2023-03-03 23:51:48.486637	62.4	6.0	11	0.2	0	0.408	0.171
2023-03-03 23:51:49.490494	63.4	6.1	12	0.2	0	0.419	0.171
2023-03-03 23:51:50.494671	64.4	6.2	11	0.2	0	0.419	0.171
2023-03-03 23:51:51.497182	65.5	6.3	9	0.2	0	0.419	0.182
