Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-04 00:06:48.732023	1.0	0.1	0	0.0	0	0.179	0.0
2023-03-04 00:06:49.734291	2.0	0.2	9	0.0	0	0.237	0.0
2023-03-04 00:06:50.736555	3.0	0.3	10	0.1	0	0.24	0.0
2023-03-04 00:06:51.741471	4.0	0.4	10	0.1	0	0.242	0.0
2023-03-04 00:06:52.743806	5.0	0.5	9	0.3	0	0.242	0.0
2023-03-04 00:06:53.745976	6.0	0.6	9	0.2	0	0.286	0.0
2023-03-04 00:06:54.748299	7.0	0.6	9	0.3	0	0.286	0.0
2023-03-04 00:06:55.750863	8.0	0.7	10	0.3	0	0.286	0.0
2023-03-04 00:06:56.753272	9.0	0.8	9	0.3	0	0.286	0.0
2023-03-04 00:06:57.755778	10.0	0.9	10	0.3	0	0.286	0.0
2023-03-04 00:06:58.768321	11.0	1.0	9	0.3	0	0.286	0.0
2023-03-04 00:06:59.799536	12.1	1.1	10	0.3	0	0.286	0.0
2023-03-04 00:07:00.877853	13.1	1.2	10	0.3	0	0.287	0.0
2023-03-04 00:07:01.888860	14.2	1.3	10	0.3	0	0.287	0.0
2023-03-04 00:07:02.891541	15.2	1.4	9	0.4	0	0.287	0.0
2023-03-04 00:07:03.916381	16.2	1.5	10	0.4	0	0.287	0.0
2023-03-04 00:07:04.949140	17.2	1.6	10	0.5	0	0.287	0.0
2023-03-04 00:07:05.981891	18.3	1.7	10	0.6	0	0.287	0.0
2023-03-04 00:07:06.990353	19.3	1.8	9	0.4	0	0.287	0.0
2023-03-04 00:07:08.030095	20.3	1.9	10	0.4	0	0.287	0.0
2023-03-04 00:07:09.093111	21.4	2.0	9	0.4	0	0.288	0.0
2023-03-04 00:07:10.125261	22.4	2.1	10	0.5	0	0.288	0.0
2023-03-04 00:07:11.197088	23.5	2.2	10	0.5	0	0.289	0.0
2023-03-04 00:07:12.259494	24.5	2.3	9	0.6	0	0.289	0.0
2023-03-04 00:07:13.298138	25.6	2.4	10	0.4	0	0.29	0.0
2023-03-04 00:07:14.318812	26.6	2.5	9	0.4	0	0.29	0.0
2023-03-04 00:07:15.421949	27.7	2.6	10	0.4	0	0.291	0.0
2023-03-04 00:07:16.466814	28.7	2.7	9	0.4	0	0.292	0.0
2023-03-04 00:07:17.514653	29.8	2.8	10	0.4	0	0.292	0.0
2023-03-04 00:07:18.522312	30.8	2.9	7	0.5	0	0.293	0.0
2023-03-04 00:07:19.532450	31.8	3.0	11	0.2	0	0.447	0.02
2023-03-04 00:07:20.539304	32.8	3.1	9	0.3	0	0.447	0.02
2023-03-04 00:07:21.554002	33.8	3.2	11	0.3	0	0.449	0.02
2023-03-04 00:07:22.675760	35.0	3.3	8	0.4	0	0.45	0.02
2023-03-04 00:07:23.727837	36.0	3.4	10	0.4	0	0.45	0.02
2023-03-04 00:07:24.812160	37.1	3.5	8	0.4	0	0.451	0.02
2023-03-04 00:07:25.882172	38.2	3.6	11	0.4	0	0.451	0.02
2023-03-04 00:07:26.907977	39.2	3.7	8	0.4	0	0.451	0.02
2023-03-04 00:07:27.914478	40.2	3.8	11	0.4	0	0.451	0.02
2023-03-04 00:07:28.917157	41.2	3.9	10	0.4	0	0.451	0.02
2023-03-04 00:07:29.919858	42.2	4.0	10	0.4	0	0.451	0.02
2023-03-04 00:07:30.928350	43.2	4.1	10	0.5	0	0.451	0.02
2023-03-04 00:07:31.955224	44.2	4.2	10	0.5	0	0.451	0.02
2023-03-04 00:07:32.964998	45.2	4.3	9	0.5	0	0.451	0.02
2023-03-04 00:07:33.967541	46.2	4.4	9	0.5	0	0.451	0.02
2023-03-04 00:07:34.972803	47.2	4.5	10	0.6	0	0.451	0.02
2023-03-04 00:07:36.006664	48.3	4.6	10	0.7	0	0.451	0.02
2023-03-04 00:07:37.064536	49.3	4.7	9	0.7	0	0.451	0.02
2023-03-04 00:07:38.071626	50.3	4.8	10	0.7	0	0.451	0.02
2023-03-04 00:07:39.074322	51.3	4.8	9	0.5	0	0.451	0.02
2023-03-04 00:07:40.094622	52.4	4.9	9	0.5	0	0.451	0.02
2023-03-04 00:07:41.218095	53.5	5.0	10	0.6	0	0.451	0.02
2023-03-04 00:07:42.251976	54.5	5.1	10	0.6	0	0.451	0.02
2023-03-04 00:07:43.267205	55.5	5.2	10	0.7	0	0.451	0.02
2023-03-04 00:07:44.269520	56.5	5.3	10	0.7	0	0.451	0.02
2023-03-04 00:07:45.275102	57.5	5.4	9	0.7	0	0.451	0.02
