Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-04 00:05:16.916049	1.0	0.1	0	0.0	0	0.134	0.0
2023-03-04 00:05:17.929768	2.0	0.2	11	0.0	0	0.152	0.0
2023-03-04 00:05:18.958114	3.1	0.3	12	0.1	0	0.156	0.0
2023-03-04 00:05:19.979840	4.1	0.4	10	0.1	0	0.157	0.0
2023-03-04 00:05:21.002692	5.1	0.5	10	0.2	0	0.183	0.0
2023-03-04 00:05:22.030971	6.1	0.6	10	0.2	0	0.183	0.0
2023-03-04 00:05:23.038168	7.2	0.7	11	0.2	0	0.184	0.0
2023-03-04 00:05:24.042075	8.2	0.8	11	0.2	0	0.187	0.0
2023-03-04 00:05:25.081278	9.2	0.9	10	0.2	0	0.256	0.02
2023-03-04 00:05:26.135743	10.3	1.1	10	0.3	0	0.274	0.02
2023-03-04 00:05:27.145355	11.3	1.2	10	0.3	0	0.279	0.02
2023-03-04 00:05:28.157944	12.3	1.3	12	0.4	0	0.279	0.02
2023-03-04 00:05:29.163532	13.3	1.4	11	0.4	0	0.279	0.02
2023-03-04 00:05:30.236482	14.4	1.5	10	0.4	0	0.279	0.02
2023-03-04 00:05:31.257917	15.4	1.6	11	0.4	0	0.279	0.02
2023-03-04 00:05:32.260760	16.4	1.7	11	0.4	0	0.28	0.02
2023-03-04 00:05:33.270456	17.4	1.8	11	0.4	0	0.28	0.02
2023-03-04 00:05:34.368766	18.5	1.9	11	0.4	0	0.28	0.02
2023-03-04 00:05:35.400318	19.5	2.1	11	0.5	0	0.283	0.02
2023-03-04 00:05:36.434352	20.6	2.2	11	0.5	0	0.285	0.02
2023-03-04 00:05:37.466243	21.6	2.3	11	0.5	0	0.286	0.02
2023-03-04 00:05:38.620942	22.7	2.4	10	0.5	0	0.289	0.02
2023-03-04 00:05:39.653940	23.8	2.5	12	0.6	0	0.291	0.02
2023-03-04 00:05:40.844780	25.0	2.6	11	0.7	0	0.296	0.02
2023-03-04 00:05:41.895183	26.0	2.8	11	0.8	0	0.297	0.02
