Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-04 00:06:30.943674	1.0	0.1	0	0.0	0	0.017	0.0
2023-03-04 00:06:31.946309	2.0	0.2	10	0.1	0	0.018	0.0
2023-03-04 00:06:32.948962	3.0	0.3	10	0.1	0	0.018	0.0
2023-03-04 00:06:33.951872	4.0	0.4	7	0.3	0	0.019	0.0
2023-03-04 00:06:34.954575	5.0	0.5	10	0.3	0	0.023	0.0
2023-03-04 00:06:35.969687	6.0	0.6	9	0.3	0	0.023	0.0
2023-03-04 00:06:36.973711	7.1	0.7	12	0.3	0	0.023	0.0
2023-03-04 00:06:37.976358	8.1	0.8	9	0.3	0	0.023	0.0
2023-03-04 00:06:38.978970	9.1	0.9	10	0.3	0	0.023	0.0
2023-03-04 00:06:40.015312	10.1	1.0	10	0.3	0	0.023	0.0
2023-03-04 00:06:41.021759	11.1	1.1	9	0.3	0	0.023	0.0
2023-03-04 00:06:42.024584	12.1	1.2	11	0.3	0	0.023	0.0
2023-03-04 00:06:43.031700	13.1	1.3	9	0.4	0	0.023	0.0
2023-03-04 00:06:44.127209	14.2	1.4	10	0.4	0	0.023	0.0
2023-03-04 00:06:45.134740	15.2	1.5	9	0.5	0	0.023	0.0
2023-03-04 00:06:46.137635	16.2	1.6	10	0.6	0	0.023	0.0
2023-03-04 00:06:47.140304	17.2	1.7	9	0.4	0	0.023	0.0
2023-03-04 00:06:48.143007	18.2	1.8	10	0.4	0	0.023	0.0
2023-03-04 00:06:49.145934	19.2	1.9	10	0.4	0	0.023	0.0
2023-03-04 00:06:50.167744	20.2	1.9	9	0.5	0	0.023	0.0
2023-03-04 00:06:51.218803	21.3	2.0	10	0.5	0	0.023	0.0
2023-03-04 00:06:52.226621	22.3	2.1	10	0.6	0	0.023	0.0
2023-03-04 00:06:53.229295	23.3	2.2	9	0.3	0	0.023	0.0
2023-03-04 00:06:54.231947	24.3	2.3	10	0.4	0	0.023	0.0
2023-03-04 00:06:55.273432	25.3	2.4	10	0.4	0	0.023	0.0
2023-03-04 00:06:56.304420	26.4	2.5	10	0.4	0	0.023	0.0
2023-03-04 00:06:57.311596	27.4	2.6	9	0.2	0	0.023	0.0
2023-03-04 00:06:58.368528	28.4	2.7	8	0.2	0	0.028	0.02
2023-03-04 00:06:59.423915	29.5	2.8	10	0.2	0	0.185	0.02
2023-03-04 00:07:00.448669	30.5	2.9	10	0.3	0	0.185	0.02
2023-03-04 00:07:01.458450	31.5	3.0	10	0.3	0	0.187	0.02
2023-03-04 00:07:02.517802	32.6	3.1	9	0.4	0	0.187	0.02
2023-03-04 00:07:03.533605	33.6	3.2	10	0.4	0	0.187	0.02
2023-03-04 00:07:04.585746	34.7	3.3	10	0.4	0	0.187	0.02
2023-03-04 00:07:05.618990	35.7	3.4	10	0.4	0	0.187	0.02
2023-03-04 00:07:06.644308	36.7	3.5	9	0.4	0	0.187	0.02
2023-03-04 00:07:07.653416	37.7	3.6	11	0.4	0	0.187	0.02
2023-03-04 00:07:08.670700	38.7	3.7	9	0.4	0	0.187	0.02
2023-03-04 00:07:09.726701	39.8	3.8	10	0.4	0	0.187	0.02
2023-03-04 00:07:10.765385	40.8	3.9	10	0.4	0	0.188	0.02
2023-03-04 00:07:11.820420	41.9	4.0	9	0.5	0	0.188	0.02
2023-03-04 00:07:12.911950	43.0	4.1	9	0.5	0	0.188	0.02
2023-03-04 00:07:13.975967	44.1	4.2	9	0.5	0	0.188	0.02
2023-03-04 00:07:15.056105	45.1	4.3	9	0.5	0	0.189	0.02
2023-03-04 00:07:16.081356	46.2	4.4	9	0.6	0	0.19	0.02
2023-03-04 00:07:17.166741	47.2	4.5	10	0.7	0	0.19	0.02
2023-03-04 00:07:18.173720	48.3	4.6	9	0.8	0	0.19	0.02
2023-03-04 00:07:19.176509	49.3	4.7	10	0.5	0	0.19	0.02
2023-03-04 00:07:20.214680	50.3	4.8	10	0.5	0	0.19	0.02
2023-03-04 00:07:21.250080	51.3	4.9	10	0.6	0	0.19	0.02
2023-03-04 00:07:22.275828	52.4	5.0	10	0.6	0	0.19	0.02
2023-03-04 00:07:23.286920	53.4	5.1	10	0.6	0	0.19	0.02
2023-03-04 00:07:24.307757	54.4	5.2	9	0.7	0	0.19	0.02
2023-03-04 00:07:25.314610	55.4	5.3	10	0.7	0	0.191	0.02
2023-03-04 00:07:26.317612	56.4	5.4	9	0.7	0	0.191	0.02
2023-03-04 00:07:27.320472	57.4	5.5	9	0.8	0	0.191	0.02
2023-03-04 00:07:28.323165	58.4	5.5	9	0.3	0	0.191	0.02
2023-03-04 00:07:29.325922	59.4	5.7	11	0.5	0	0.191	0.02
2023-03-04 00:07:30.328584	60.4	5.7	9	0.5	0	0.191	0.02
2023-03-04 00:07:31.331332	61.4	5.8	10	0.5	0	0.191	0.02
2023-03-04 00:07:32.360163	62.4	6.0	11	0.5	0	0.191	0.02
2023-03-04 00:07:33.373031	63.5	6.0	9	0.5	0	0.191	0.02
2023-03-04 00:07:34.375900	64.5	6.1	9	0.4	0	0.191	0.02
2023-03-04 00:07:35.388793	65.5	6.2	8	0.2	0	0.206	0.04
2023-03-04 00:07:36.420447	66.5	6.3	11	0.2	0	0.206	0.04
2023-03-04 00:07:37.429212	67.5	6.4	8	0.2	0	0.206	0.04
2023-03-04 00:07:38.431751	68.5	6.5	12	0.2	0	0.206	0.04
2023-03-04 00:07:39.434464	69.5	6.6	8	0.2	0	0.206	0.06
2023-03-04 00:07:40.466173	70.5	6.7	9	0.2	0	0.206	0.06
2023-03-04 00:07:41.481149	71.6	6.8	10	0.2	0	0.226	0.06
2023-03-04 00:07:42.541403	72.6	6.9	10	0.2	0	0.226	0.06
2023-03-04 00:07:43.549788	73.6	7.0	10	0.2	0	0.226	0.06
2023-03-04 00:07:44.551896	74.6	7.1	10	0.2	0	0.226	0.06
2023-03-04 00:07:45.581308	75.7	7.2	8	0.2	0	0.226	0.08
2023-03-04 00:07:46.600848	76.7	7.3	10	0.2	0	0.226	0.081
2023-03-04 00:07:47.613199	77.7	7.4	10	0.2	0	0.243	0.081
2023-03-04 00:07:48.615911	78.7	7.5	10	0.2	0	0.243	0.081
2023-03-04 00:07:49.646648	79.7	7.6	10	0.2	0	0.243	0.081
2023-03-04 00:07:50.681961	80.8	7.7	10	0.3	0	0.243	0.081
2023-03-04 00:07:51.690282	81.8	7.8	9	0.4	0	0.243	0.081
2023-03-04 00:07:52.713221	82.8	7.9	10	0.2	0	0.243	0.101
2023-03-04 00:07:53.723955	83.8	8.0	10	0.2	0	0.243	0.101
2023-03-04 00:07:54.726039	84.8	8.1	9	0.2	0	0.261	0.101
2023-03-04 00:07:55.750575	85.8	8.2	10	0.3	0	0.261	0.101
2023-03-04 00:07:56.760198	86.8	8.2	9	0.3	0	0.261	0.101
2023-03-04 00:07:57.763066	87.8	8.3	10	0.2	0	0.261	0.101
2023-03-04 00:07:58.765279	88.8	8.4	9	0.2	0	0.261	0.121
2023-03-04 00:07:59.767989	89.8	8.5	9	0.2	0	0.261	0.121
2023-03-04 00:08:00.770674	90.8	8.6	10	0.2	0	0.277	0.121
2023-03-04 00:08:01.773249	91.9	8.7	10	0.2	0	0.277	0.121
2023-03-04 00:08:02.775954	92.9	8.8	9	0.3	0	0.277	0.121
2023-03-04 00:08:03.778146	93.9	8.9	10	0.3	0	0.277	0.121
2023-03-04 00:08:04.780379	94.9	9.0	9	0.2	0	0.277	0.141
2023-03-04 00:08:05.783181	95.9	9.1	10	0.2	0	0.277	0.141
2023-03-04 00:08:06.786166	96.9	9.2	9	0.2	0	0.293	0.141
2023-03-04 00:08:07.788343	97.9	9.3	10	0.2	0	0.293	0.141
2023-03-04 00:08:08.791051	98.9	9.4	9	0.2	0	0.293	0.141
2023-03-04 00:08:09.793711	99.9	9.5	11	0.3	0	0.293	0.141
2023-03-04 00:08:10.795913	100.9	9.6	9	0.2	0	0.293	0.143
2023-03-04 00:08:11.798803	101.9	9.7	10	0.2	0	0.293	0.161
2023-03-04 00:08:12.801302	102.9	9.8	9	0.2	0	0.294	0.161
2023-03-04 00:08:13.803534	103.9	9.9	10	0.2	0	0.31	0.161
2023-03-04 00:08:14.806184	104.9	10.0	9	0.2	0	0.31	0.161
2023-03-04 00:08:15.808853	105.9	10.1	10	0.3	0	0.31	0.161
2023-03-04 00:08:16.811606	106.9	10.2	9	0.2	0	0.31	0.161
2023-03-04 00:08:17.820554	107.9	10.2	10	0.2	0	0.31	0.181
2023-03-04 00:08:18.826274	108.9	10.4	11	0.2	0	0.31	0.181
2023-03-04 00:08:19.829646	109.9	10.5	9	0.2	0	0.327	0.181
2023-03-04 00:08:20.832163	110.9	10.6	10	0.2	0	0.327	0.181
2023-03-04 00:08:21.834730	111.9	10.6	9	0.3	0	0.327	0.181
2023-03-04 00:08:22.837267	112.9	10.7	10	0.2	0	0.327	0.181
2023-03-04 00:08:23.839879	113.9	10.8	9	0.2	0	0.327	0.201
2023-03-04 00:08:24.842021	114.9	10.9	9	0.2	0	0.327	0.201
2023-03-04 00:08:25.851784	115.9	11.0	10	0.2	0	0.342	0.201
2023-03-04 00:08:26.861885	116.9	11.1	11	0.2	0	0.342	0.201
2023-03-04 00:08:27.877875	118.0	11.2	9	0.2	0	0.342	0.201
2023-03-04 00:08:28.888708	119.0	11.3	10	0.3	0	0.342	0.201
2023-03-04 00:08:29.902704	120.0	11.4	10	0.2	0	0.342	0.221
2023-03-04 00:08:30.905033	121.0	11.5	9	0.2	0	0.342	0.221
2023-03-04 00:08:31.907416	122.0	11.6	10	0.2	0	0.358	0.221
2023-03-04 00:08:32.909694	123.0	11.7	11	0.2	0	0.358	0.221
2023-03-04 00:08:33.911515	124.0	11.8	10	0.2	0	0.358	0.221
2023-03-04 00:08:34.914071	125.0	11.9	10	0.3	0	0.358	0.221
2023-03-04 00:08:35.916365	126.0	12.0	11	0.2	0	0.358	0.242
2023-03-04 00:08:36.923627	127.0	12.2	12	0.2	0	0.358	0.242
2023-03-04 00:08:37.927634	128.0	12.3	11	0.2	0	0.377	0.242
2023-03-04 00:08:38.929749	129.0	12.4	11	0.2	0	0.377	0.242
2023-03-04 00:08:39.932368	130.0	12.5	13	0.3	0	0.377	0.242
2023-03-04 00:08:40.934769	131.0	12.6	11	0.2	0	0.378	0.262
2023-03-04 00:08:41.937229	132.0	12.7	12	0.2	0	0.378	0.262
2023-03-04 00:08:42.939402	133.0	12.9	13	0.2	0	0.395	0.262
2023-03-04 00:08:43.941890	134.0	13.0	13	0.2	0	0.395	0.262
2023-03-04 00:08:44.946821	135.0	13.1	12	0.3	0	0.395	0.262
2023-03-04 00:08:45.952233	136.0	13.2	13	0.2	0	0.396	0.282
2023-03-04 00:08:46.959489	137.0	13.4	12	0.2	0	0.396	0.282
2023-03-04 00:08:47.967656	138.0	13.5	12	0.2	0	0.415	0.282
2023-03-04 00:08:48.998970	139.1	13.6	10	0.3	0	0.415	0.282
2023-03-04 00:08:50.013566	140.1	13.7	10	0.3	0	0.415	0.282
2023-03-04 00:08:51.023677	141.1	13.8	11	0.2	0	0.416	0.282
2023-03-04 00:08:52.043933	142.1	13.9	10	0.2	0	0.417	0.303
2023-03-04 00:08:53.063805	143.1	14.0	10	0.2	0	0.417	0.303
2023-03-04 00:08:54.095519	144.2	14.1	10	0.2	0	0.436	0.303
2023-03-04 00:08:55.119412	145.2	14.2	9	0.2	0	0.437	0.303
2023-03-04 00:08:56.155259	146.2	14.3	11	0.3	0	0.437	0.303
2023-03-04 00:08:57.192039	147.3	14.4	9	0.3	0	0.437	0.303
2023-03-04 00:08:58.201931	148.3	14.5	11	0.2	0	0.438	0.323
2023-03-04 00:08:59.208396	149.3	14.6	9	0.2	0	0.438	0.323
2023-03-04 00:09:00.217905	150.3	14.7	10	0.2	0	0.456	0.323
2023-03-04 00:09:01.228322	151.3	14.8	10	0.2	0	0.456	0.323
2023-03-04 00:09:02.261307	152.3	14.9	10	0.2	0	0.456	0.323
2023-03-04 00:09:03.292558	153.4	15.0	9	0.3	0	0.456	0.323
2023-03-04 00:09:04.306474	154.4	15.1	9	0.2	0	0.457	0.323
2023-03-04 00:09:05.312769	155.4	15.2	9	0.2	0	0.459	0.343
2023-03-04 00:09:06.333115	156.4	15.3	11	0.2	0	0.459	0.343
2023-03-04 00:09:07.353466	157.4	15.4	9	0.2	0	0.476	0.343
2023-03-04 00:09:08.365010	158.4	15.5	10	0.2	0	0.476	0.343
2023-03-04 00:09:09.400268	159.5	15.6	10	0.3	0	0.476	0.343
2023-03-04 00:09:10.411065	160.5	15.7	10	0.3	0	0.476	0.343
2023-03-04 00:09:11.413483	161.5	15.7	8	0.2	0	0.509	0.363
2023-03-04 00:09:12.416446	162.5	15.8	10	0.2	0	0.509	0.363
2023-03-04 00:09:13.545884	163.6	15.9	10	0.2	0	0.527	0.363
2023-03-04 00:09:14.558182	164.6	16.0	10	0.2	0	0.528	0.363
2023-03-04 00:09:15.571378	165.6	16.1	9	0.2	0	0.528	0.363
2023-03-04 00:09:16.580109	166.7	16.2	11	0.3	0	0.528	0.363
2023-03-04 00:09:17.588574	167.7	16.3	8	0.2	0	0.529	0.363
2023-03-04 00:09:18.654511	168.7	16.4	10	0.2	0	0.529	0.383
2023-03-04 00:09:19.672592	169.8	16.5	10	0.2	0	0.529	0.383
2023-03-04 00:09:20.675009	170.8	16.6	9	0.2	0	0.546	0.383
2023-03-04 00:09:21.679091	171.8	16.7	10	0.2	0	0.546	0.383
2023-03-04 00:09:22.685681	172.8	16.8	10	0.3	0	0.546	0.383
2023-03-04 00:09:23.711856	173.8	16.9	10	0.2	0	0.546	0.383
2023-03-04 00:09:24.754856	174.8	17.0	10	0.2	0	0.547	0.403
2023-03-04 00:09:25.838100	175.9	17.1	9	0.2	0	0.548	0.403
2023-03-04 00:09:26.852828	176.9	17.2	10	0.2	0	0.564	0.403
