Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-02-28 06:21:35.613304	1.0	0.1	0	0.0	0	0.183	0.0
2023-02-28 06:21:36.763486	2.2	0.2	9	0.0	0	0.353	0.0
2023-02-28 06:21:37.810218	3.2	0.4	17	0.1	0	0.392	0.0
2023-02-28 06:21:38.838260	4.3	0.6	20	0.2	0	0.443	0.0
2023-02-28 06:21:39.864471	5.3	0.9	33	0.3	0	0.444	0.0
2023-02-28 06:21:40.884905	6.3	1.4	45	0.2	0	0.45	0.0
2023-02-28 06:21:42.015791	7.4	1.6	17	0.2	0	0.565	0.046
2023-02-28 06:21:43.090609	8.5	2.0	38	0.3	0	0.569	0.046
2023-02-28 06:21:44.176520	9.6	2.3	26	0.3	0	0.577	0.046
2023-02-28 06:21:45.547089	11.0	2.5	19	0.2	0	0.689	0.064
2023-02-28 06:21:46.585040	12.0	2.8	28	0.3	0	0.794	0.091
2023-02-28 06:21:47.614857	13.0	3.2	37	0.4	0	0.795	0.091
2023-02-28 06:21:48.697009	14.1	3.5	27	0.3	0	0.8	0.091
2023-02-28 06:21:49.715738	15.1	3.7	23	0.3	0	0.826	0.137
2023-02-28 06:21:50.810577	16.2	4.0	26	0.3	0	0.839	0.137
2023-02-28 06:21:51.917780	17.3	4.2	18	0.3	0	0.951	0.137
2023-02-28 06:21:52.942801	18.4	4.6	36	0.3	0	0.957	0.137
2023-02-28 06:21:53.967427	19.4	4.9	34	0.3	0	0.958	0.137
2023-02-28 06:21:54.991982	20.4	5.2	24	0.3	0	1.024	0.183
2023-02-28 06:21:56.004364	21.4	5.5	29	0.3	0	1.063	0.183
2023-02-28 06:21:57.024632	22.5	5.8	32	0.3	0	1.064	0.183
2023-02-28 06:21:58.035013	23.5	6.1	33	0.3	0	1.064	0.183
2023-02-28 06:21:59.038369	24.5	6.5	30	0.3	0	1.065	0.228
2023-02-28 06:22:00.065813	25.5	6.8	29	0.3	0	1.107	0.228
2023-02-28 06:22:01.194648	26.6	7.1	33	0.4	0	1.107	0.228
2023-02-28 06:22:02.217051	27.6	7.4	31	0.3	0	1.109	0.228
2023-02-28 06:22:03.249117	28.7	7.8	31	0.3	0	1.111	0.274
2023-02-28 06:22:04.289003	29.7	8.1	28	0.3	0	1.118	0.274
2023-02-28 06:22:05.322443	30.8	8.4	33	0.3	0	1.154	0.274
2023-02-28 06:22:06.334552	31.8	8.7	32	0.3	0	1.155	0.274
2023-02-28 06:22:07.337235	32.8	9.0	31	0.3	0	1.155	0.32
2023-02-28 06:22:08.339737	33.8	9.4	32	0.3	0	1.155	0.32
2023-02-28 06:22:09.341696	34.8	9.7	32	0.3	0	1.192	0.32
2023-02-28 06:22:10.344202	35.8	10.0	33	0.4	0	1.192	0.32
2023-02-28 06:22:11.360194	36.8	10.3	30	0.3	0	1.192	0.331
2023-02-28 06:22:12.364192	37.8	10.6	33	0.3	0	1.193	0.365
