Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-02-28 06:21:35.613290	1.0	0.1	0	0.0	0	0.166	0.0
2023-02-28 06:21:36.763505	2.2	0.2	8	0.0	0	0.295	0.0
2023-02-28 06:21:37.810236	3.2	0.4	18	0.1	0	0.345	0.0
2023-02-28 06:21:38.838277	4.3	0.6	20	0.2	0	0.421	0.0
2023-02-28 06:21:39.864489	5.3	0.9	29	0.2	0	0.435	0.003
2023-02-28 06:21:40.884942	6.3	1.0	10	0.2	0	0.458	0.003
2023-02-28 06:21:42.015803	7.4	1.2	19	0.2	0	0.478	0.003
2023-02-28 06:21:43.090591	8.5	1.4	18	0.2	0	0.504	0.003
2023-02-28 06:21:44.176539	9.6	1.5	10	0.2	0	0.595	0.003
2023-02-28 06:21:45.547106	11.0	1.8	24	0.2	0	0.643	0.003
2023-02-28 06:21:46.585023	12.0	2.0	18	0.2	0	0.655	0.008
2023-02-28 06:21:47.614841	13.0	2.2	24	0.2	0	0.668	0.008
2023-02-28 06:21:48.696992	14.1	2.6	30	0.2	0	0.673	0.008
2023-02-28 06:21:49.715722	15.1	2.8	24	0.2	0	0.679	0.008
2023-02-28 06:21:50.810595	16.2	3.0	20	0.2	0	0.687	0.008
2023-02-28 06:21:51.917760	17.3	3.3	22	0.2	0	0.697	0.008
2023-02-28 06:21:52.942785	18.4	3.5	20	0.2	0	0.706	0.008
2023-02-28 06:21:53.967409	19.4	3.8	30	0.2	0	0.708	0.008
2023-02-28 06:21:54.991965	20.4	4.1	34	0.2	0	0.709	0.008
2023-02-28 06:21:56.004387	21.4	4.5	34	0.2	0	0.709	0.008
2023-02-28 06:21:57.024649	22.5	4.8	32	0.2	0	0.71	0.008
2023-02-28 06:21:58.034979	23.5	5.2	32	0.2	0	0.711	0.008
2023-02-28 06:21:59.037416	24.5	5.5	34	0.2	0	0.711	0.008
2023-02-28 06:22:00.065843	25.5	5.9	35	0.2	0	0.712	0.008
2023-02-28 06:22:01.194627	26.6	6.2	29	0.2	0	0.714	0.008
2023-02-28 06:22:02.217069	27.6	6.5	34	0.2	0	0.715	0.008
2023-02-28 06:22:03.249100	28.7	6.9	34	0.2	0	0.715	0.008
2023-02-28 06:22:04.288987	29.7	7.2	34	0.2	0	0.716	0.008
