Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-02-28 05:32:40.422252	1.0	8.9	0	0.2	0	0.429	0.0
2023-02-28 05:32:41.428829	2.0	9.2	31	0.2	0	0.431	0.0
2023-02-28 05:32:42.436211	3.0	9.6	32	0.2	0	0.433	0.0
2023-02-28 05:32:43.443303	4.0	10.5	18	3.1	2	0.613	0.001
2023-02-28 05:32:44.449300	5.0	11.4	0	3.1	2	0.974	0.001
2023-02-28 05:32:45.454433	6.0	12.4	1	3.1	2	1.028	0.001
2023-02-28 05:32:46.460202	7.0	13.4	0	3.1	2	1.114	0.001
2023-02-28 05:32:47.465270	8.0	14.4	0	3.1	2	1.169	0.001
2023-02-28 05:32:48.470991	9.1	15.4	1	3.1	2	1.331	0.001
2023-02-28 05:32:49.476266	10.1	16.4	0	3.1	2	1.413	0.001
2023-02-28 05:32:50.480776	11.1	17.4	1	3.1	2	1.536	0.001
2023-02-28 05:32:51.487922	12.1	18.4	0	3.1	2	1.648	0.001
2023-02-28 05:32:52.493618	13.1	19.4	0	3.1	2	1.674	0.001
2023-02-28 05:32:53.524688	14.1	20.5	2	3.1	2	1.683	0.001
2023-02-28 05:32:54.566976	15.1	21.4	0	3.1	2	1.743	0.001
2023-02-28 05:32:55.576103	16.2	22.5	0	3.1	2	1.882	0.002
2023-02-28 05:32:56.583775	17.2	23.5	1	3.1	2	2.119	0.002
2023-02-28 05:32:57.592100	18.2	24.5	0	3.1	2	2.184	0.002
2023-02-28 05:32:58.596975	19.2	25.5	0	3.1	2	2.266	0.002
2023-02-28 05:32:59.601500	20.2	26.5	1	3.1	2	2.411	0.002
2023-02-28 05:33:00.605006	21.2	27.5	1	3.2	2	2.442	0.002
2023-02-28 05:33:01.611304	22.2	28.5	0	3.2	2	2.487	0.002
2023-02-28 05:33:02.616717	23.2	29.5	0	3.2	2	2.561	0.002
2023-02-28 05:33:03.621141	24.2	30.5	0	3.2	2	2.577	0.002
2023-02-28 05:33:04.625066	25.2	31.5	1	3.2	2	2.668	0.002
2023-02-28 05:33:05.629558	26.2	32.5	1	3.2	2	2.689	0.002
2023-02-28 05:33:06.633617	27.2	33.5	0	3.2	2	2.689	0.002
2023-02-28 05:33:07.638173	28.2	34.5	0	3.2	2	2.689	0.002
2023-02-28 05:33:08.650503	29.2	35.5	1	3.2	2	2.749	0.002
2023-02-28 05:33:09.654860	30.2	36.5	0	3.2	2	2.788	0.002
2023-02-28 05:33:10.659327	31.2	37.5	1	3.2	2	2.799	0.002
2023-02-28 05:33:11.663658	32.2	38.5	0	3.2	2	2.801	0.002
2023-02-28 05:33:12.668065	33.3	39.5	1	3.2	2	2.801	0.002
2023-02-28 05:33:13.672510	34.3	40.5	0	3.2	2	2.813	0.002
2023-02-28 05:33:14.677864	35.3	41.6	0	3.2	2	2.813	0.002
2023-02-28 05:33:15.682375	36.3	42.5	0	3.2	2	2.813	0.002
2023-02-28 05:33:16.686940	37.3	43.6	1	3.2	2	2.814	0.002
2023-02-28 05:33:17.692119	38.3	44.6	0	3.2	2	2.874	0.002
2023-02-28 05:33:18.697948	39.3	45.6	1	3.2	2	2.878	0.002
2023-02-28 05:33:19.701461	40.3	46.6	0	3.2	2	2.878	0.002
2023-02-28 05:33:20.705990	41.3	47.6	1	3.2	2	2.878	0.002
2023-02-28 05:33:21.710500	42.3	48.6	0	3.2	2	2.878	0.002
2023-02-28 05:33:22.714854	43.3	49.6	0	3.2	2	2.878	0.002
2023-02-28 05:33:23.719488	44.3	50.6	0	3.2	2	2.878	0.002
2023-02-28 05:33:24.724071	45.3	51.5	2	3.2	2	2.878	0.002
2023-02-28 05:33:25.728609	46.3	52.5	0	3.2	2	2.878	0.002
2023-02-28 05:33:26.733253	47.3	53.5	0	3.2	2	2.878	0.002
2023-02-28 05:33:27.751728	48.3	54.5	1	3.3	2	2.914	0.002
2023-02-28 05:33:28.758955	49.3	55.5	1	3.3	2	2.915	0.002
2023-02-28 05:33:29.805512	50.4	56.5	0	3.3	2	2.915	0.002
2023-02-28 05:33:30.855787	51.4	57.5	2	3.3	2	2.929	0.002
2023-02-28 05:33:31.887936	52.5	58.6	0	3.3	2	2.929	0.002
2023-02-28 05:33:32.892590	53.5	59.6	0	3.3	2	2.929	0.002
2023-02-28 05:33:33.900269	54.5	60.6	1	3.3	2	2.93	0.002
2023-02-28 05:33:34.919734	55.5	61.6	1	3.3	2	2.93	0.002
2023-02-28 05:33:35.950511	56.5	62.6	0	3.3	2	2.932	0.002
2023-02-28 05:33:36.979822	57.6	63.7	2	3.3	2	2.953	0.002
2023-02-28 05:33:38.028468	58.6	64.7	0	3.3	2	2.954	0.002
2023-02-28 05:33:39.036065	59.6	65.7	0	3.3	2	2.954	0.002
2023-02-28 05:33:40.040855	60.6	66.7	1	3.3	2	2.954	0.002
2023-02-28 05:33:41.045440	61.6	67.7	1	3.3	2	2.954	0.002
2023-02-28 05:33:42.049896	62.6	68.7	0	3.3	2	2.954	0.002
2023-02-28 05:33:43.053794	63.6	69.7	0	3.3	2	2.954	0.002
2023-02-28 05:33:44.078211	64.7	70.7	2	3.3	2	2.955	0.002
2023-02-28 05:33:45.085037	65.7	71.7	0	3.3	2	2.955	0.002
2023-02-28 05:33:46.105007	66.7	72.7	0	3.3	2	2.956	0.002
2023-02-28 05:33:47.137299	67.7	73.7	1	3.3	2	2.957	0.002
2023-02-28 05:33:48.217131	68.8	74.8	1	3.3	2	2.959	0.002
2023-02-28 05:33:49.253556	69.8	75.8	1	3.3	2	2.962	0.002
2023-02-28 05:33:50.268306	70.9	76.9	1	3.3	2	2.963	0.002
2023-02-28 05:33:51.288954	71.9	77.9	0	3.3	2	2.964	0.002
2023-02-28 05:33:52.312192	72.9	78.9	1	3.3	2	2.976	0.002
2023-02-28 05:33:53.320645	73.9	79.9	1	3.3	2	2.993	0.002
2023-02-28 05:33:54.362610	74.9	80.9	1	3.4	2	3.05	0.002
2023-02-28 05:33:55.371482	76.0	81.9	0	3.4	2	3.051	0.002
2023-02-28 05:33:56.376064	77.0	82.9	0	3.4	2	3.051	0.002
2023-02-28 05:33:57.389137	78.0	83.9	1	3.4	2	3.052	0.002
2023-02-28 05:33:58.397023	79.0	85.0	1	3.4	2	3.052	0.002
2023-02-28 05:33:59.429657	80.0	86.0	0	3.4	2	3.053	0.002
2023-02-28 05:34:00.439719	81.0	87.0	1	3.4	2	3.053	0.002
2023-02-28 05:34:01.459973	82.0	88.0	1	3.4	2	3.065	0.002
2023-02-28 05:34:02.467647	83.1	89.0	0	3.4	2	3.065	0.002
2023-02-28 05:34:03.489446	84.1	90.0	1	3.4	2	3.065	0.002
2023-02-28 05:34:04.512109	85.1	91.0	1	3.4	2	3.067	0.002
2023-02-28 05:34:05.521072	86.1	92.0	0	3.4	2	3.067	0.002
2023-02-28 05:34:06.525780	87.1	93.0	1	3.4	2	3.067	0.002
2023-02-28 05:34:07.557420	88.1	94.1	0	3.4	2	3.067	0.002
2023-02-28 05:34:08.618145	89.2	95.1	1	3.4	2	3.068	0.002
2023-02-28 05:34:09.633888	90.2	96.1	1	3.4	2	3.132	0.002
2023-02-28 05:34:10.642607	91.2	97.2	0	3.4	2	3.132	0.002
2023-02-28 05:34:11.647078	92.2	98.2	1	3.4	2	3.132	0.002
2023-02-28 05:34:12.652776	93.2	99.2	0	3.4	2	3.133	0.002
2023-02-28 05:34:13.663902	94.2	100.2	1	3.4	2	3.148	0.002
2023-02-28 05:34:14.669719	95.3	101.2	0	3.4	2	3.148	0.002
2023-02-28 05:34:15.689602	96.3	102.2	1	3.4	2	3.148	0.002
2023-02-28 05:34:16.699095	97.3	103.2	0	3.4	2	3.148	0.002
2023-02-28 05:34:17.717419	98.3	104.2	1	3.4	2	3.149	0.002
2023-02-28 05:34:18.724721	99.3	105.2	0	3.4	2	3.149	0.002
2023-02-28 05:34:19.763949	100.3	106.2	1	3.5	2	3.153	0.002
2023-02-28 05:34:20.800215	101.4	107.3	1	3.5	2	3.155	0.002
2023-02-28 05:34:21.807186	102.4	108.3	1	3.5	2	3.155	0.002
2023-02-28 05:34:22.816136	103.4	109.3	0	3.5	2	3.155	0.002
2023-02-28 05:34:23.820664	104.4	110.3	0	3.5	2	3.155	0.002
2023-02-28 05:34:24.843895	105.4	111.3	1	3.5	2	3.156	0.002
2023-02-28 05:34:25.864848	106.4	112.3	1	3.5	2	3.157	0.002
2023-02-28 05:34:26.873253	107.5	113.3	0	3.5	2	3.157	0.002
2023-02-28 05:34:27.877645	108.5	114.3	0	3.5	2	3.157	0.002
2023-02-28 05:34:28.895214	109.5	115.3	1	3.5	2	3.157	0.002
2023-02-28 05:34:29.916507	110.5	116.4	1	3.5	2	3.158	0.002
2023-02-28 05:34:30.937493	111.5	117.4	1	3.5	2	3.164	0.002
2023-02-28 05:34:31.958786	112.5	118.4	1	3.5	2	3.206	0.002
2023-02-28 05:34:32.979973	113.6	119.4	1	3.5	2	3.216	0.002
2023-02-28 05:34:33.988580	114.6	120.4	0	3.5	2	3.216	0.002
2023-02-28 05:34:34.994186	115.6	121.4	1	3.5	2	3.216	0.002
2023-02-28 05:34:36.005329	116.6	122.4	0	3.5	2	3.232	0.002
2023-02-28 05:34:37.011443	117.6	123.4	1	3.5	2	3.232	0.002
2023-02-28 05:34:38.016123	118.6	124.4	0	3.5	2	3.232	0.002
2023-02-28 05:34:39.020716	119.6	125.4	0	3.5	2	3.232	0.002
2023-02-28 05:34:40.025216	120.6	126.4	1	3.5	2	3.232	0.002
2023-02-28 05:34:41.042371	121.6	127.5	1	3.5	2	3.232	0.002
2023-02-28 05:34:42.048851	122.6	128.4	0	3.5	2	3.235	0.002
2023-02-28 05:34:43.067183	123.6	129.5	1	3.6	2	3.242	0.002
2023-02-28 05:34:44.108816	124.7	130.5	1	3.6	2	3.265	0.002
2023-02-28 05:34:45.141698	125.7	131.5	1	3.6	2	3.279	0.002
2023-02-28 05:34:46.150243	126.7	132.6	1	3.6	2	3.279	0.002
2023-02-28 05:34:47.155247	127.7	133.5	0	3.6	2	3.279	0.002
2023-02-28 05:34:48.159725	128.7	134.5	0	3.6	2	3.279	0.002
2023-02-28 05:34:49.163635	129.7	135.5	1	3.6	2	3.279	0.002
2023-02-28 05:34:50.185581	130.8	136.6	1	3.6	2	3.282	0.002
2023-02-28 05:34:51.217980	131.8	137.6	1	3.6	2	3.297	0.002
2023-02-28 05:34:52.262255	132.8	138.6	1	3.6	2	3.302	0.002
2023-02-28 05:34:53.297408	133.9	139.7	1	3.6	2	3.311	0.002
2023-02-28 05:34:54.339971	134.9	140.7	1	3.6	2	3.313	0.002
2023-02-28 05:34:55.369974	136.0	141.7	1	3.6	2	3.315	0.002
2023-02-28 05:34:56.397078	137.0	142.8	1	3.6	2	3.316	0.002
2023-02-28 05:34:57.447811	138.0	143.8	1	3.6	2	3.32	0.002
2023-02-28 05:34:58.483016	139.1	144.8	2	3.6	2	3.324	0.002
2023-02-28 05:34:59.514731	140.1	145.8	1	3.6	2	3.328	0.002
2023-02-28 05:35:00.549354	141.1	146.9	0	3.6	2	3.33	0.002
2023-02-28 05:35:01.570700	142.2	147.9	2	3.7	2	3.36	0.002
2023-02-28 05:35:02.596739	143.2	148.9	1	3.7	2	3.378	0.002
2023-02-28 05:35:03.634951	144.2	149.9	1	3.7	2	3.393	0.002
2023-02-28 05:35:04.663594	145.2	151.0	2	3.7	2	3.398	0.002
2023-02-28 05:35:05.814744	146.4	152.1	3	3.7	2	3.464	0.002
2023-02-28 05:35:06.838238	147.4	153.1	0	3.7	2	3.467	0.002
2023-02-28 05:35:07.862556	148.4	154.2	2	3.7	2	3.47	0.002
2023-02-28 05:35:08.894969	149.5	155.2	1	3.7	2	3.475	0.002
2023-02-28 05:35:09.915655	150.5	156.2	2	3.7	2	3.479	0.002
2023-02-28 05:35:10.942372	151.5	157.2	1	3.7	2	3.493	0.002
2023-02-28 05:35:11.965454	152.5	158.2	1	3.8	2	3.533	0.002
2023-02-28 05:35:13.012583	153.6	159.3	1	3.8	2	3.535	0.002
2023-02-28 05:35:14.021791	154.6	160.3	1	3.8	2	3.535	0.002
2023-02-28 05:35:15.026285	155.6	161.3	1	3.8	2	3.535	0.002
2023-02-28 05:35:16.106738	156.7	162.3	0	3.8	2	3.555	0.002
2023-02-28 05:35:17.136977	157.7	163.4	2	3.8	2	3.585	0.002
2023-02-28 05:35:18.169586	158.8	164.4	1	3.8	2	3.59	0.002
2023-02-28 05:35:19.190369	159.8	165.4	2	3.8	2	3.595	0.002
