Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-02-28 06:32:03.460273	1.0	0.2	0	0.0	0	0.228	0.0
2023-02-28 06:32:04.462571	2.0	0.5	30	0.1	0	0.24	0.0
2023-02-28 06:32:05.464991	3.0	1.5	95	1.6	1	0.241	0.0
2023-02-28 06:32:06.467311	4.0	2.5	98	1.7	1	0.241	0.0
2023-02-28 06:32:07.469710	5.0	3.5	100	1.8	1	0.241	0.0
2023-02-28 06:32:08.472095	6.0	4.5	99	1.9	1	0.241	0.0
2023-02-28 06:32:09.474334	7.0	5.5	100	2.0	1	0.241	0.0
2023-02-28 06:32:10.476662	8.0	6.5	99	2.2	1	0.241	0.0
2023-02-28 06:32:11.478717	9.0	7.4	99	2.3	1	0.241	0.0
2023-02-28 06:32:12.480853	10.0	8.4	99	2.4	1	0.241	0.0
2023-02-28 06:32:13.482990	11.0	9.4	100	2.5	1	0.241	0.0
2023-02-28 06:32:14.484982	12.0	10.4	99	2.6	1	0.241	0.0
2023-02-28 06:32:15.489950	13.0	11.4	98	2.7	1	0.241	0.0
2023-02-28 06:32:16.517555	14.1	12.4	99	2.9	2	0.241	0.0
2023-02-28 06:32:17.526214	15.1	13.4	98	3.3	2	0.241	0.0
2023-02-28 06:32:18.541404	16.1	14.4	100	4.5	2	0.241	0.0
2023-02-28 06:32:19.546978	17.1	15.4	99	5.2	3	0.241	0.0
2023-02-28 06:32:20.549434	18.1	16.4	99	4.3	2	0.241	0.0
2023-02-28 06:32:21.562802	19.1	17.4	99	3.3	2	0.241	0.0
2023-02-28 06:32:22.579996	20.1	18.4	99	3.6	2	0.241	0.0
2023-02-28 06:32:23.585250	21.1	19.4	99	4.0	2	0.241	0.0
2023-02-28 06:32:24.609289	22.2	20.4	98	4.4	2	0.241	0.0
2023-02-28 06:32:25.627306	23.2	21.4	99	4.8	3	0.241	0.0
2023-02-28 06:32:26.648311	24.2	22.5	99	5.2	3	0.241	0.0
2023-02-28 06:32:27.654070	25.2	23.4	99	5.5	3	0.241	0.0
2023-02-28 06:32:28.658724	26.2	24.4	100	2.1	1	0.241	0.0
2023-02-28 06:32:29.668333	27.2	25.4	100	3.0	2	0.241	0.0
2023-02-28 06:32:30.675419	28.2	26.5	99	3.1	2	0.241	0.0
2023-02-28 06:32:31.683009	29.2	27.4	99	3.1	2	0.241	0.0
2023-02-28 06:32:32.695374	30.2	28.5	99	3.1	2	0.241	0.0
2023-02-28 06:32:33.701070	31.2	29.5	100	0.3	0	0.241	0.0
2023-02-28 06:32:34.705062	32.3	30.4	89	0.5	0	0.251	0.185
2023-02-28 06:32:35.715736	33.3	31.4	99	0.8	0	0.251	0.185
2023-02-28 06:32:36.720886	34.3	32.4	100	0.6	0	0.251	0.185
2023-02-28 06:32:37.722562	35.3	33.3	96	0.4	0	0.251	0.185
2023-02-28 06:32:38.732443	36.3	34.3	93	0.4	0	0.254	0.369
2023-02-28 06:32:39.734860	37.3	35.3	100	0.6	0	0.254	0.369
2023-02-28 06:32:40.755524	38.3	36.3	99	0.8	0	0.254	0.369
2023-02-28 06:32:41.766517	39.3	37.3	98	0.7	0	0.254	0.369
2023-02-28 06:32:42.771221	40.3	38.1	87	0.5	0	0.254	0.554
2023-02-28 06:32:43.791089	41.3	39.1	94	0.5	0	0.266	0.554
2023-02-28 06:32:44.800287	42.3	40.1	99	0.9	0	0.266	0.554
2023-02-28 06:32:45.817601	43.4	41.1	99	0.7	0	0.266	0.554
2023-02-28 06:32:46.829951	44.4	42.1	95	0.4	0	0.266	0.666
2023-02-28 06:32:47.842796	45.4	42.9	79	0.4	0	0.267	0.738
2023-02-28 06:32:48.862083	46.4	43.8	95	0.6	0	0.284	0.738
2023-02-28 06:32:49.889279	47.4	44.8	99	0.7	0	0.284	0.738
2023-02-28 06:32:50.911215	48.5	45.8	99	0.7	0	0.284	0.738
2023-02-28 06:32:51.932795	49.5	46.7	82	0.4	0	0.284	0.923
2023-02-28 06:32:52.938083	50.5	47.6	92	0.5	0	0.307	0.923
2023-02-28 06:32:53.959912	51.5	48.6	99	0.8	0	0.307	0.923
2023-02-28 06:32:54.993522	52.5	49.6	97	0.5	0	0.307	0.923
2023-02-28 06:32:56.001238	53.5	50.6	98	0.4	0	0.308	0.923
2023-02-28 06:32:57.019740	54.6	51.5	89	0.4	0	0.31	1.107
2023-02-28 06:32:58.038920	55.6	52.5	95	0.6	0	0.333	1.107
2023-02-28 06:32:59.044448	56.6	53.5	98	0.7	0	0.333	1.107
2023-02-28 06:33:00.046882	57.6	54.5	98	0.7	0	0.333	1.107
2023-02-28 06:33:01.049710	58.6	55.4	96	0.4	0	0.333	1.292
