Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-02-28 05:59:08.353199	1.0	0.0	0	0.0	0	0.029	0.0
2023-02-28 05:59:09.356092	2.0	0.1	10	0.0	0	0.145	0.0
2023-02-28 05:59:10.359333	3.0	0.2	3	0.0	0	0.146	0.0
2023-02-28 05:59:11.362627	4.0	0.3	15	0.1	0	0.148	0.0
2023-02-28 05:59:12.365044	5.0	0.4	15	0.2	0	0.152	0.0
2023-02-28 05:59:13.368106	6.0	0.6	16	0.3	0	0.152	0.0
2023-02-28 05:59:14.372004	7.0	0.8	17	0.3	0	0.152	0.0
2023-02-28 05:59:15.374543	8.0	0.9	16	0.3	0	0.152	0.0
2023-02-28 05:59:16.377376	9.0	1.1	16	0.3	0	0.152	0.0
2023-02-28 05:59:17.380061	10.0	1.3	17	0.4	0	0.152	0.0
2023-02-28 05:59:18.382382	11.0	1.4	18	0.4	0	0.152	0.0
2023-02-28 05:59:19.384522	12.0	1.6	15	0.6	0	0.152	0.0
2023-02-28 05:59:20.386921	13.0	1.8	18	0.4	0	0.152	0.0
2023-02-28 05:59:21.407085	14.1	1.9	16	0.5	0	0.152	0.0
2023-02-28 05:59:22.410569	15.1	2.1	17	0.5	0	0.152	0.0
2023-02-28 05:59:23.412652	16.1	2.3	15	0.6	0	0.152	0.0
2023-02-28 05:59:24.415653	17.1	2.4	18	0.4	0	0.152	0.0
2023-02-28 05:59:25.418092	18.1	2.6	16	0.4	0	0.152	0.0
2023-02-28 05:59:26.429738	19.1	2.8	16	0.2	0	0.153	0.019
2023-02-28 05:59:27.438918	20.1	2.9	14	0.3	0	0.155	0.02
2023-02-28 05:59:28.441523	21.1	3.1	17	0.4	0	0.155	0.02
2023-02-28 05:59:29.443970	22.1	3.2	16	0.4	0	0.155	0.02
2023-02-28 05:59:30.472882	23.1	3.4	17	0.4	0	0.155	0.02
2023-02-28 05:59:31.500114	24.2	3.6	16	0.4	0	0.155	0.02
2023-02-28 05:59:32.529782	25.2	3.7	17	0.4	0	0.155	0.02
2023-02-28 05:59:33.540801	26.2	3.9	17	0.5	0	0.155	0.02
2023-02-28 05:59:34.545084	27.2	4.1	16	0.5	0	0.155	0.02
2023-02-28 05:59:35.560470	28.2	4.2	17	0.6	0	0.155	0.02
2023-02-28 05:59:36.586633	29.2	4.4	17	0.7	0	0.155	0.02
2023-02-28 05:59:37.620056	30.3	4.6	16	0.6	0	0.155	0.02
2023-02-28 05:59:38.626139	31.3	4.8	18	0.5	0	0.155	0.02
2023-02-28 05:59:39.632861	32.3	4.9	16	0.6	0	0.155	0.02
2023-02-28 05:59:40.664960	33.3	5.1	17	0.7	0	0.155	0.02
2023-02-28 05:59:41.677783	34.3	5.3	17	0.7	0	0.155	0.02
2023-02-28 05:59:42.708835	35.4	5.4	16	0.8	0	0.155	0.02
2023-02-28 05:59:43.718002	36.4	5.6	18	0.5	0	0.155	0.02
2023-02-28 05:59:44.726616	37.4	5.8	16	0.5	0	0.155	0.02
2023-02-28 05:59:45.730875	38.4	5.9	16	0.5	0	0.155	0.02
2023-02-28 05:59:46.734619	39.4	6.1	15	0.2	0	0.155	0.034
2023-02-28 05:59:47.753074	40.4	6.2	17	0.2	0	0.168	0.04
2023-02-28 05:59:48.778459	41.4	6.4	16	0.2	0	0.168	0.04
2023-02-28 05:59:49.786027	42.4	6.6	15	0.2	0	0.168	0.06
2023-02-28 05:59:50.796451	43.4	6.7	17	0.2	0	0.18	0.06
2023-02-28 05:59:51.819634	44.5	6.9	16	0.2	0	0.18	0.06
2023-02-28 05:59:52.827049	45.5	7.1	17	0.2	0	0.18	0.06
2023-02-28 05:59:53.835703	46.5	7.2	15	0.2	0	0.18	0.08
2023-02-28 05:59:54.840789	47.5	7.4	15	0.2	0	0.186	0.08
2023-02-28 05:59:55.842835	48.5	7.5	17	0.2	0	0.186	0.08
2023-02-28 05:59:56.845504	49.5	7.7	16	0.2	0	0.186	0.08
2023-02-28 05:59:57.860757	50.5	7.8	15	0.2	0	0.186	0.101
2023-02-28 05:59:58.874153	51.5	8.0	18	0.2	0	0.195	0.101
2023-02-28 05:59:59.879087	52.5	8.2	16	0.3	0	0.195	0.101
2023-02-28 06:00:00.882024	53.5	8.3	16	0.2	0	0.195	0.121
2023-02-28 06:00:01.886728	54.5	8.5	16	0.2	0	0.195	0.121
2023-02-28 06:00:02.893921	55.5	8.7	17	0.3	0	0.197	0.121
2023-02-28 06:00:03.911514	56.6	8.8	16	0.3	0	0.197	0.121
2023-02-28 06:00:04.918890	57.6	9.0	15	0.2	0	0.197	0.141
2023-02-28 06:00:05.943712	58.6	9.2	17	0.2	0	0.213	0.141
2023-02-28 06:00:06.982203	59.6	9.3	16	0.2	0	0.213	0.141
2023-02-28 06:00:07.993840	60.6	9.5	16	0.4	0	0.213	0.141
2023-02-28 06:00:09.004607	61.7	9.6	16	0.2	0	0.213	0.161
