Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-02-28 05:59:08.352478	1.0	0.0	0	0.0	0	0.028	0.0
2023-02-28 05:59:09.355080	2.0	0.1	8	0.0	0	0.092	0.0
2023-02-28 05:59:10.359000	3.0	0.1	4	0.0	0	0.092	0.0
2023-02-28 05:59:11.361573	4.0	0.3	16	0.1	0	0.093	0.0
2023-02-28 05:59:12.364052	5.0	0.4	14	0.2	0	0.094	0.0
2023-02-28 05:59:13.366791	6.0	0.6	15	0.4	0	0.094	0.0
2023-02-28 05:59:14.371016	7.0	0.8	17	0.4	0	0.094	0.0
2023-02-28 05:59:15.373546	8.0	0.9	16	0.4	0	0.094	0.0
2023-02-28 05:59:16.376145	9.0	1.1	17	0.4	0	0.094	0.0
2023-02-28 05:59:17.379036	10.0	1.2	14	0.4	0	0.094	0.0
2023-02-28 05:59:18.380819	11.0	1.4	14	0.2	0	0.095	0.001
2023-02-28 05:59:19.383389	12.0	1.5	14	0.2	0	0.106	0.001
2023-02-28 05:59:20.385919	13.0	1.6	14	0.2	0	0.106	0.002
2023-02-28 05:59:21.407037	14.1	1.8	16	0.2	0	0.106	0.002
2023-02-28 05:59:22.409544	15.1	2.0	17	0.2	0	0.106	0.002
2023-02-28 05:59:23.411643	16.1	2.1	17	0.2	0	0.106	0.002
2023-02-28 05:59:24.414458	17.1	2.3	16	0.2	0	0.106	0.002
2023-02-28 05:59:25.417019	18.1	2.5	17	0.2	0	0.107	0.003
2023-02-28 05:59:26.429721	19.1	2.6	14	0.2	0	0.108	0.003
2023-02-28 05:59:27.437802	20.1	2.8	14	0.2	0	0.108	0.004
2023-02-28 05:59:28.440402	21.1	2.9	17	0.2	0	0.108	0.004
2023-02-28 05:59:29.442977	22.1	3.1	15	0.2	0	0.108	0.004
2023-02-28 05:59:30.472899	23.1	3.2	17	0.2	0	0.108	0.004
2023-02-28 05:59:31.500098	24.2	3.4	16	0.2	0	0.108	0.004
2023-02-28 05:59:32.529799	25.2	3.6	17	0.2	0	0.109	0.004
2023-02-28 05:59:33.542065	26.2	3.7	15	0.5	0	0.124	0.004
2023-02-28 05:59:34.545973	27.2	3.9	13	0.2	0	0.124	0.006
2023-02-28 05:59:35.560458	28.2	4.0	16	0.2	0	0.124	0.006
2023-02-28 05:59:36.586614	29.2	4.2	17	0.2	0	0.124	0.006
2023-02-28 05:59:37.620036	30.3	4.4	16	0.2	0	0.124	0.006
2023-02-28 05:59:38.625081	31.3	4.5	16	0.2	0	0.125	0.006
2023-02-28 05:59:39.631830	32.3	4.7	16	0.2	0	0.144	0.006
2023-02-28 05:59:40.664977	33.3	4.8	11	0.2	0	0.145	0.007
2023-02-28 05:59:41.676814	34.3	4.9	15	0.5	0	0.145	0.007
2023-02-28 05:59:42.708820	35.4	5.1	17	0.2	0	0.145	0.007
2023-02-28 05:59:43.716932	36.4	5.3	17	0.2	0	0.145	0.007
2023-02-28 05:59:44.719455	37.4	5.5	16	0.2	0	0.145	0.007
2023-02-28 05:59:45.721825	38.4	5.6	16	0.2	0	0.158	0.007
2023-02-28 05:59:46.724402	39.4	5.8	17	0.4	0	0.158	0.007
2023-02-28 05:59:47.753090	40.4	5.9	16	0.5	0	0.158	0.007
2023-02-28 05:59:48.778474	41.4	6.1	16	0.5	0	0.158	0.007
2023-02-28 05:59:49.787155	42.4	6.3	17	0.5	0	0.158	0.007
2023-02-28 05:59:50.796471	43.4	6.4	16	0.5	0	0.158	0.007
2023-02-28 05:59:51.819611	44.5	6.6	17	0.5	0	0.158	0.007
2023-02-28 05:59:52.826023	45.5	6.8	16	0.4	0	0.158	0.007
2023-02-28 05:59:53.835683	46.5	6.9	14	0.2	0	0.159	0.009
2023-02-28 05:59:54.839756	47.5	7.1	16	0.2	0	0.159	0.009
2023-02-28 05:59:55.841818	48.5	7.2	17	0.2	0	0.159	0.009
2023-02-28 05:59:56.844404	49.5	7.4	16	0.2	0	0.159	0.009
2023-02-28 05:59:57.860778	50.5	7.6	16	0.2	0	0.159	0.009
2023-02-28 05:59:58.874136	51.5	7.7	17	0.2	0	0.16	0.009
2023-02-28 05:59:59.878112	52.5	7.9	16	0.2	0	0.177	0.009
2023-02-28 06:00:00.881002	53.5	8.0	14	0.6	0	0.177	0.01
2023-02-28 06:00:01.886713	54.5	8.2	16	0.2	0	0.178	0.011
2023-02-28 06:00:02.897168	55.5	8.3	16	0.2	0	0.178	0.011
2023-02-28 06:00:03.911497	56.6	8.5	17	0.2	0	0.178	0.011
2023-02-28 06:00:04.917898	57.6	8.7	16	0.2	0	0.178	0.011
2023-02-28 06:00:05.943729	58.6	8.8	16	0.2	0	0.179	0.011
2023-02-28 06:00:06.982220	59.6	9.0	15	0.4	0	0.181	0.012
2023-02-28 06:00:07.993931	60.6	9.2	15	0.2	0	0.182	0.012
2023-02-28 06:00:09.004588	61.7	9.3	15	0.2	0	0.182	0.012
2023-02-28 06:00:10.008963	62.7	9.5	18	0.2	0	0.182	0.012
2023-02-28 06:00:11.022211	63.7	9.6	16	0.2	0	0.182	0.012
2023-02-28 06:00:12.030914	64.7	9.8	18	0.2	0	0.183	0.012
