Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-02-28 05:48:05.453979	1.0	0.0	0	0.0	0	0.001	0.0
2023-02-28 05:48:06.484636	2.0	0.0	2	0.0	0	0.033	0.0
2023-02-28 05:48:07.501306	3.1	0.1	5	0.0	0	0.154	0.0
2023-02-28 05:48:08.522819	4.1	0.1	5	0.0	0	0.246	0.0
2023-02-28 05:48:09.544313	5.1	0.2	11	0.0	0	0.328	0.0
2023-02-28 05:48:10.577925	6.1	0.3	4	0.0	0	0.341	0.0
2023-02-28 05:48:11.593965	7.2	0.3	1	0.0	0	0.341	0.0
2023-02-28 05:48:12.598024	8.2	0.3	2	0.0	0	0.341	0.0
2023-02-28 05:48:13.610139	9.2	0.3	2	0.0	0	0.341	0.0
2023-02-28 05:48:14.631905	10.2	0.3	2	0.0	0	0.342	0.0
2023-02-28 05:48:15.638501	11.2	0.4	2	0.0	0	0.345	0.0
2023-02-28 05:48:16.641219	12.2	0.5	16	0.1	0	0.347	0.0
2023-02-28 05:48:17.670147	13.2	0.6	11	0.2	0	0.353	0.0
2023-02-28 05:48:18.680521	14.2	0.8	18	0.2	0	0.362	0.0
2023-02-28 05:48:19.688282	15.3	1.0	14	0.2	0	0.371	0.011
2023-02-28 05:48:20.693331	16.3	1.1	17	0.2	0	0.371	0.011
2023-02-28 05:48:21.698365	17.3	1.3	14	0.2	0	0.38	0.021
2023-02-28 05:48:22.728446	18.3	1.4	14	0.2	0	0.384	0.021
2023-02-28 05:48:23.751628	19.3	1.6	16	0.2	0	0.398	0.032
2023-02-28 05:48:24.761833	20.3	1.8	17	0.2	0	0.398	0.032
2023-02-28 05:48:25.796881	21.4	1.9	14	0.2	0	0.4	0.043
2023-02-28 05:48:26.808491	22.4	2.1	17	0.2	0	0.412	0.043
2023-02-28 05:48:27.813224	23.4	2.2	14	0.2	0	0.412	0.053
2023-02-28 05:48:28.840340	24.4	2.4	16	0.2	0	0.423	0.053
2023-02-28 05:48:29.901388	25.5	2.5	14	0.4	0	0.423	0.053
2023-02-28 05:48:30.935045	26.5	2.7	17	0.2	0	0.433	0.064
2023-02-28 05:48:31.954185	27.5	2.8	16	0.2	0	0.435	0.064
2023-02-28 05:48:32.973142	28.5	3.0	12	0.2	0	0.436	0.075
2023-02-28 05:48:33.978582	29.5	3.1	16	0.2	0	0.448	0.075
2023-02-28 05:48:35.006373	30.6	3.3	15	0.2	0	0.449	0.086
