Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-02-28 06:03:08.483740	1.0	0.2	0	0.0	0	0.254	0.0
2023-02-28 06:03:09.491689	2.0	0.4	24	0.1	0	0.258	0.0
2023-02-28 06:03:10.526852	3.1	0.6	22	0.2	0	0.26	0.0
2023-02-28 06:03:11.532675	4.1	0.8	22	0.2	0	0.26	0.0
2023-02-28 06:03:12.535011	5.1	1.1	24	0.4	0	0.309	0.02
2023-02-28 06:03:13.539421	6.1	1.3	25	0.4	0	0.309	0.02
2023-02-28 06:03:14.541760	7.1	1.6	25	0.4	0	0.309	0.02
2023-02-28 06:03:15.545205	8.1	1.8	25	0.4	0	0.309	0.02
2023-02-28 06:03:16.549247	9.1	2.1	24	0.5	0	0.309	0.02
2023-02-28 06:03:17.551936	10.1	2.3	26	0.6	0	0.31	0.02
2023-02-28 06:03:18.558051	11.1	2.6	24	0.8	0	0.31	0.02
2023-02-28 06:03:19.584106	12.1	2.8	26	0.5	0	0.31	0.02
2023-02-28 06:03:20.591730	13.1	3.1	24	0.6	0	0.31	0.02
2023-02-28 06:03:21.594149	14.1	3.3	24	0.7	0	0.31	0.02
2023-02-28 06:03:22.596562	15.1	3.6	24	0.3	0	0.31	0.02
2023-02-28 06:03:23.598356	16.1	3.8	26	0.5	0	0.31	0.02
2023-02-28 06:03:24.607067	17.1	4.1	25	0.5	0	0.31	0.02
2023-02-28 06:03:25.611637	18.2	4.3	21	0.2	0	0.329	0.04
2023-02-28 06:03:26.627427	19.2	4.5	25	0.2	0	0.329	0.04
2023-02-28 06:03:27.664713	20.2	4.8	22	0.2	0	0.33	0.06
2023-02-28 06:03:28.690304	21.2	5.0	24	0.2	0	0.35	0.06
2023-02-28 06:03:29.696580	22.2	5.2	19	0.2	0	0.35	0.071
2023-02-28 06:03:30.699039	23.2	5.5	26	0.2	0	0.366	0.08
2023-02-28 06:03:31.701052	24.2	5.7	24	0.3	0	0.366	0.08
2023-02-28 06:03:32.703497	25.2	5.9	23	0.2	0	0.366	0.101
2023-02-28 06:03:33.705096	26.2	6.2	24	0.2	0	0.382	0.101
2023-02-28 06:03:34.753441	27.3	6.4	22	0.2	0	0.382	0.121
2023-02-28 06:03:35.780916	28.3	6.6	23	0.2	0	0.402	0.121
2023-02-28 06:03:36.788105	29.3	6.9	26	0.3	0	0.402	0.121
2023-02-28 06:03:37.790567	30.3	7.1	23	0.2	0	0.404	0.141
2023-02-28 06:03:38.802602	31.3	7.4	24	0.2	0	0.412	0.141
2023-02-28 06:03:39.821210	32.4	7.5	17	0.4	0	0.412	0.141
2023-02-28 06:03:40.826143	33.4	7.8	21	0.4	0	0.413	0.161
