Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-02-28 06:15:09.128247	1.0	0.0	0	0.0	0	0.031	0.0
2023-02-28 06:15:10.147134	2.0	0.1	5	0.0	0	0.166	0.0
2023-02-28 06:15:11.151793	3.0	0.2	9	0.0	0	0.264	0.0
2023-02-28 06:15:12.190079	4.1	0.2	1	0.0	0	0.265	0.0
2023-02-28 06:15:13.212370	5.1	0.2	2	0.0	0	0.266	0.0
2023-02-28 06:15:14.233396	6.1	0.2	1	0.0	0	0.266	0.0
2023-02-28 06:15:15.263449	7.2	0.2	1	0.0	0	0.266	0.0
2023-02-28 06:15:16.295457	8.2	0.2	2	0.0	0	0.266	0.0
2023-02-28 06:15:17.306989	9.2	0.5	22	0.3	0	0.27	0.0
2023-02-28 06:15:18.311008	10.2	0.7	27	0.3	0	0.382	0.0
2023-02-28 06:15:19.357881	11.2	1.1	33	0.3	0	0.382	0.0
2023-02-28 06:15:20.366225	12.3	1.4	32	0.4	0	0.382	0.0
2023-02-28 06:15:21.384954	13.3	1.7	33	0.6	0	0.382	0.0
2023-02-28 06:15:22.391999	14.3	2.0	33	0.5	0	0.382	0.0
2023-02-28 06:15:23.414456	15.3	2.4	33	0.3	0	0.382	0.0
2023-02-28 06:15:24.423667	16.3	2.7	34	0.4	0	0.382	0.0
2023-02-28 06:15:25.465787	17.4	3.0	23	0.3	0	0.471	0.02
2023-02-28 06:15:26.507961	18.4	3.3	33	0.4	0	0.472	0.02
2023-02-28 06:15:27.561740	19.4	3.7	32	0.4	0	0.472	0.02
2023-02-28 06:15:28.594147	20.5	4.0	33	0.5	0	0.472	0.02
2023-02-28 06:15:29.612958	21.5	4.3	33	0.5	0	0.472	0.02
2023-02-28 06:15:30.647623	22.5	4.7	32	0.6	0	0.472	0.02
2023-02-28 06:15:31.658712	23.5	5.0	32	0.6	0	0.472	0.02
2023-02-28 06:15:32.663340	24.6	5.3	34	0.7	0	0.472	0.02
2023-02-28 06:15:33.683437	25.6	5.7	34	0.5	0	0.472	0.02
2023-02-28 06:15:34.692718	26.6	6.0	32	0.5	0	0.472	0.02
2023-02-28 06:15:35.707064	27.6	6.3	28	0.2	0	0.49	0.04
2023-02-28 06:15:36.711626	28.6	6.6	30	0.2	0	0.49	0.044
2023-02-28 06:15:37.740723	29.6	6.9	32	0.2	0	0.507	0.06
2023-02-28 06:15:38.796683	30.7	7.2	28	0.2	0	0.507	0.08
2023-02-28 06:15:39.837899	31.7	7.5	30	0.2	0	0.527	0.08
2023-02-28 06:15:40.849578	32.7	7.8	28	0.2	0	0.528	0.101
2023-02-28 06:15:41.862087	33.8	8.1	31	0.2	0	0.547	0.101
2023-02-28 06:15:42.889912	34.8	8.4	27	0.6	0	0.552	0.101
2023-02-28 06:15:43.927503	35.8	8.7	29	0.2	0	0.576	0.121
2023-02-28 06:15:44.960406	36.8	9.0	31	0.2	0	0.578	0.121
2023-02-28 06:15:45.982819	37.9	9.3	23	0.2	0	0.589	0.141
2023-02-28 06:15:46.991910	38.9	9.6	32	0.3	0	0.606	0.141
2023-02-28 06:15:48.017452	39.9	9.9	28	0.4	0	0.611	0.161
