Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 08:39:30.871036	1.0	0.1	0	0.0	0	0.139	0.0
2023-03-02 08:39:31.881261	2.0	0.2	12	0.1	0	0.141	0.0
2023-03-02 08:39:32.887254	3.0	0.3	9	0.1	0	0.141	0.0
2023-03-02 08:39:33.987087	4.1	0.4	10	0.2	0	0.182	0.0
2023-03-02 08:39:35.022912	5.2	0.6	12	0.2	0	0.182	0.0
2023-03-02 08:39:36.057489	6.2	0.7	12	0.2	0	0.182	0.0
2023-03-02 08:39:37.066503	7.2	0.8	12	0.3	0	0.182	0.0
2023-03-02 08:39:38.092126	8.2	0.9	12	0.3	0	0.182	0.0
2023-03-02 08:39:39.122733	9.3	1.0	11	0.3	0	0.182	0.0
2023-03-02 08:39:40.130299	10.3	1.1	11	0.2	0	0.182	0.0
2023-03-02 08:39:41.132955	11.3	1.2	11	0.2	0	0.182	0.0
2023-03-02 08:39:42.160328	12.3	1.3	10	0.2	0	0.184	0.046
2023-03-02 08:39:43.182364	13.3	1.5	12	0.2	0	0.218	0.046
2023-03-02 08:39:44.204682	14.4	1.6	13	0.3	0	0.218	0.046
2023-03-02 08:39:45.236143	15.4	1.7	12	0.3	0	0.218	0.046
2023-03-02 08:39:46.243766	16.4	1.8	12	0.3	0	0.218	0.046
2023-03-02 08:39:47.262693	17.4	2.0	12	0.3	0	0.218	0.046
2023-03-02 08:39:48.281353	18.4	2.1	12	0.3	0	0.218	0.046
2023-03-02 08:39:49.288638	19.4	2.2	12	0.2	0	0.218	0.046
2023-03-02 08:39:50.311507	20.5	2.3	11	0.2	0	0.225	0.091
2023-03-02 08:39:51.324386	21.5	2.4	12	0.3	0	0.225	0.091
2023-03-02 08:39:52.328508	22.5	2.5	12	0.3	0	0.225	0.091
2023-03-02 08:39:53.343183	23.5	2.7	12	0.3	0	0.225	0.091
2023-03-02 08:39:54.362865	24.5	2.8	13	0.3	0	0.225	0.091
2023-03-02 08:39:55.370453	25.5	2.9	11	0.3	0	0.225	0.091
2023-03-02 08:39:56.391660	26.5	3.0	12	0.3	0	0.225	0.091
2023-03-02 08:39:57.476491	27.6	3.1	9	0.3	0	0.225	0.091
2023-03-02 08:39:58.484601	28.6	3.2	11	0.3	0	0.226	0.137
2023-03-02 08:39:59.494072	29.6	3.3	11	0.3	0	0.226	0.137
