Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 08:39:30.871060	1.0	0.1	0	0.0	0	0.113	0.0
2023-03-02 08:39:31.881274	2.0	0.2	10	0.1	0	0.115	0.0
2023-03-02 08:39:32.887524	3.0	0.3	11	0.1	0	0.115	0.0
2023-03-02 08:39:33.987105	4.1	0.4	9	0.2	0	0.118	0.0
2023-03-02 08:39:35.022896	5.2	0.6	14	0.2	0	0.119	0.0
2023-03-02 08:39:36.057471	6.2	0.7	12	0.2	0	0.119	0.0
2023-03-02 08:39:37.065489	7.2	0.8	10	0.2	0	0.119	0.003
2023-03-02 08:39:38.092110	8.2	0.9	13	0.2	0	0.119	0.003
2023-03-02 08:39:39.122718	9.3	1.0	11	0.2	0	0.119	0.003
2023-03-02 08:39:40.131434	10.3	1.1	11	0.2	0	0.119	0.003
2023-03-02 08:39:41.134266	11.3	1.2	11	0.2	0	0.121	0.003
2023-03-02 08:39:42.160349	12.3	1.4	12	0.3	0	0.156	0.003
2023-03-02 08:39:43.182349	13.3	1.5	12	0.3	0	0.156	0.003
2023-03-02 08:39:44.204667	14.4	1.6	9	0.2	0	0.157	0.007
2023-03-02 08:39:45.236126	15.4	1.7	12	0.2	0	0.157	0.008
2023-03-02 08:39:46.242777	16.4	1.8	13	0.2	0	0.158	0.008
2023-03-02 08:39:47.262675	17.4	1.9	12	0.2	0	0.158	0.008
2023-03-02 08:39:48.281336	18.4	2.1	12	0.2	0	0.158	0.008
2023-03-02 08:39:49.288615	19.4	2.2	12	0.2	0	0.158	0.008
2023-03-02 08:39:50.311523	20.5	2.3	12	0.2	0	0.158	0.008
2023-03-02 08:39:51.324369	21.5	2.4	12	0.2	0	0.158	0.008
2023-03-02 08:39:52.329669	22.5	2.5	12	0.2	0	0.158	0.008
2023-03-02 08:39:53.343198	23.5	2.7	12	0.2	0	0.158	0.008
2023-03-02 08:39:54.362879	24.5	2.8	13	0.2	0	0.158	0.008
