Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 07:36:34.590101	1.0	9.3	0	0.2	0	0.323	0.0
2023-03-02 07:36:35.593074	2.0	9.4	6	0.2	0	0.325	0.0
2023-03-02 07:36:36.595919	3.0	9.4	1	0.2	0	0.325	0.0
2023-03-02 07:36:37.598816	4.0	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:38.601751	5.0	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:39.604746	6.0	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:40.607724	7.0	9.4	1	0.2	0	0.325	0.0
2023-03-02 07:36:41.610565	8.0	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:42.613571	9.0	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:43.616481	10.0	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:44.618651	11.0	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:45.621506	12.0	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:46.624621	13.1	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:47.627658	14.1	9.4	1	0.2	0	0.325	0.0
2023-03-02 07:36:48.630487	15.1	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:49.633312	16.1	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:50.636250	17.1	9.4	0	0.2	0	0.325	0.0
2023-03-02 07:36:51.638990	18.1	9.5	9	0.2	0	0.325	0.0
2023-03-02 07:36:52.641854	19.1	9.5	6	0.2	0	0.325	0.0
2023-03-02 07:36:53.644741	20.1	9.6	7	0.2	0	0.326	0.0
2023-03-02 07:36:54.647678	21.1	9.7	7	0.2	0	0.326	0.0
2023-03-02 07:36:55.650600	22.1	9.7	6	0.2	0	0.326	0.0
2023-03-02 07:36:56.653443	23.1	9.8	7	0.2	0	0.326	0.001
2023-03-02 07:36:57.656488	24.1	9.9	10	0.2	0	0.326	0.001
2023-03-02 07:36:58.658881	25.1	10.0	6	0.2	0	0.327	0.001
2023-03-02 07:36:59.661769	26.1	10.0	6	0.2	0	0.327	0.001
