Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 08:46:02.131773	1.0	0.3	0	0.1	0	0.16	0.0
2023-03-02 08:46:03.134154	2.0	0.7	44	0.7	0	0.162	0.0
2023-03-02 08:46:04.136474	3.0	1.2	50	1.6	1	0.162	0.0
2023-03-02 08:46:05.138227	4.0	1.7	48	1.6	1	0.162	0.0
2023-03-02 08:46:06.140494	5.0	2.2	50	1.7	1	0.162	0.0
2023-03-02 08:46:07.142801	6.0	2.6	42	1.7	1	0.162	0.0
2023-03-02 08:46:08.145129	7.0	3.1	50	1.8	1	0.162	0.0
2023-03-02 08:46:09.148552	8.0	3.6	49	1.9	1	0.162	0.0
2023-03-02 08:46:10.150914	9.0	4.1	55	1.9	1	0.162	0.0
2023-03-02 08:46:11.153231	10.0	4.6	49	2.0	1	0.162	0.0
2023-03-02 08:46:12.155623	11.0	5.1	49	2.0	1	0.162	0.0
2023-03-02 08:46:13.157975	12.0	5.6	49	2.1	1	0.162	0.0
2023-03-02 08:46:14.160270	13.0	6.1	49	2.2	1	0.162	0.0
2023-03-02 08:46:15.162635	14.0	6.6	50	2.2	1	0.162	0.0
2023-03-02 08:46:16.164980	15.0	7.1	49	2.3	1	0.162	0.0
2023-03-02 08:46:17.167275	16.0	7.6	50	2.3	1	0.162	0.0
2023-03-02 08:46:18.169439	17.0	8.1	49	2.4	1	0.162	0.0
2023-03-02 08:46:19.171777	18.0	8.6	50	2.5	1	0.162	0.0
2023-03-02 08:46:20.174125	19.0	9.1	50	2.5	1	0.162	0.0
2023-03-02 08:46:21.176362	20.0	9.6	48	2.6	1	0.162	0.0
2023-03-02 08:46:22.177905	21.1	10.1	49	2.7	1	0.162	0.0
2023-03-02 08:46:23.179915	22.1	10.5	50	2.7	1	0.162	0.0
2023-03-02 08:46:24.182093	23.1	11.0	48	2.8	1	0.162	0.0
2023-03-02 08:46:25.184288	24.1	11.5	51	2.9	2	0.162	0.0
2023-03-02 08:46:26.186459	25.1	12.1	56	2.9	2	0.162	0.0
