Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 08:37:39.549777	1.0	0.0	0	0.0	0	0.0	0.0
2023-03-02 08:37:40.553131	2.0	0.0	1	0.0	0	0.001	0.0
2023-03-02 08:37:41.556787	3.0	0.1	5	0.0	0	0.086	0.0
2023-03-02 08:37:42.559277	4.0	0.1	4	0.0	0	0.149	0.0
2023-03-02 08:37:43.562473	5.0	0.1	1	0.0	0	0.149	0.0
2023-03-02 08:37:44.564808	6.1	0.1	1	0.0	0	0.149	0.0
2023-03-02 08:37:45.568595	7.1	0.1	2	0.0	0	0.149	0.0
2023-03-02 08:37:46.571487	8.1	0.1	0	0.0	0	0.149	0.0
2023-03-02 08:37:47.573887	9.1	0.2	2	0.0	0	0.149	0.0
2023-03-02 08:37:48.576319	10.1	0.2	1	0.0	0	0.149	0.0
2023-03-02 08:37:49.588190	11.1	0.3	12	0.1	0	0.15	0.0
2023-03-02 08:37:50.590243	12.1	0.4	11	0.2	0	0.15	0.0
2023-03-02 08:37:51.592573	13.1	0.5	12	0.3	0	0.15	0.0
2023-03-02 08:37:52.594813	14.1	0.7	15	0.3	0	0.15	0.0
2023-03-02 08:37:53.597107	15.1	0.8	14	0.3	0	0.15	0.0
2023-03-02 08:37:54.599363	16.1	0.9	13	0.3	0	0.15	0.0
2023-03-02 08:37:55.601319	17.1	1.1	15	0.4	0	0.15	0.0
2023-03-02 08:37:56.603608	18.1	1.2	14	0.4	0	0.15	0.0
2023-03-02 08:37:57.605629	19.1	1.4	13	0.4	0	0.15	0.0
2023-03-02 08:37:58.607949	20.1	1.5	15	0.5	0	0.15	0.0
2023-03-02 08:37:59.610164	21.1	1.6	14	0.4	0	0.15	0.0
2023-03-02 08:38:00.612155	22.1	1.8	13	0.4	0	0.15	0.0
2023-03-02 08:38:01.614857	23.1	1.9	15	0.5	0	0.15	0.0
2023-03-02 08:38:02.618176	24.1	2.1	13	0.5	0	0.15	0.0
2023-03-02 08:38:03.752166	25.2	2.2	13	0.6	0	0.15	0.0
2023-03-02 08:38:04.785052	26.3	2.4	14	0.4	0	0.151	0.0
2023-03-02 08:38:05.811677	27.3	2.5	13	0.4	0	0.151	0.0
2023-03-02 08:38:06.817856	28.3	2.6	14	0.4	0	0.154	0.0
2023-03-02 08:38:07.821854	29.3	2.8	13	0.2	0	0.194	0.02
2023-03-02 08:38:08.829588	30.3	2.9	14	0.3	0	0.2	0.02
2023-03-02 08:38:09.835541	31.3	3.0	14	0.4	0	0.2	0.02
2023-03-02 08:38:10.838877	32.3	3.2	13	0.4	0	0.2	0.02
2023-03-02 08:38:11.851397	33.3	3.3	13	0.4	0	0.201	0.02
2023-03-02 08:38:12.872656	34.4	3.4	12	0.4	0	0.201	0.02
2023-03-02 08:38:13.887512	35.4	3.5	13	0.4	0	0.201	0.02
2023-03-02 08:38:14.899480	36.4	3.7	12	0.4	0	0.201	0.02
2023-03-02 08:38:15.953821	37.4	3.8	12	0.4	0	0.201	0.02
2023-03-02 08:38:17.088315	38.6	3.9	12	0.5	0	0.201	0.02
2023-03-02 08:38:18.105057	39.6	4.0	12	0.5	0	0.202	0.02
2023-03-02 08:38:19.173762	40.7	4.2	12	0.5	0	0.202	0.02
2023-03-02 08:38:20.203706	41.7	4.3	12	0.6	0	0.204	0.02
2023-03-02 08:38:21.215706	42.7	4.4	12	0.7	0	0.204	0.02
2023-03-02 08:38:22.226219	43.7	4.6	13	0.8	0	0.204	0.02
2023-03-02 08:38:23.240803	44.7	4.7	12	0.5	0	0.205	0.02
2023-03-02 08:38:24.271098	45.8	4.8	12	0.6	0	0.205	0.02
2023-03-02 08:38:25.287928	46.8	4.9	13	0.6	0	0.206	0.02
2023-03-02 08:38:26.299582	47.8	5.1	12	0.6	0	0.206	0.02
2023-03-02 08:38:27.307082	48.8	5.2	12	0.7	0	0.206	0.02
2023-03-02 08:38:28.312867	49.8	5.3	12	0.7	0	0.206	0.02
2023-03-02 08:38:29.321882	50.8	5.4	11	0.8	0	0.206	0.02
2023-03-02 08:38:30.329615	51.8	5.5	12	0.3	0	0.208	0.02
2023-03-02 08:38:31.366182	52.9	5.7	14	0.5	0	0.208	0.02
2023-03-02 08:38:32.386847	53.9	5.8	11	0.5	0	0.209	0.02
2023-03-02 08:38:33.393241	54.9	5.9	13	0.5	0	0.209	0.02
2023-03-02 08:38:34.397482	55.9	6.0	11	0.5	0	0.209	0.02
2023-03-02 08:38:35.401250	56.9	6.1	13	0.2	0	0.209	0.02
2023-03-02 08:38:36.404337	57.9	6.2	11	0.2	0	0.225	0.04
2023-03-02 08:38:37.407873	58.9	6.4	13	0.2	0	0.225	0.04
2023-03-02 08:38:38.410301	59.9	6.5	13	0.2	0	0.225	0.04
2023-03-02 08:38:39.412901	60.9	6.6	11	0.2	0	0.226	0.059
2023-03-02 08:38:40.416696	61.9	6.8	13	0.2	0	0.226	0.06
2023-03-02 08:38:41.419884	62.9	6.9	13	0.2	0	0.242	0.06
2023-03-02 08:38:42.474786	64.0	7.0	12	0.2	0	0.242	0.06
2023-03-02 08:38:43.485774	65.0	7.1	13	0.2	0	0.242	0.06
2023-03-02 08:38:44.491393	66.0	7.2	12	0.2	0	0.245	0.08
2023-03-02 08:38:45.493752	67.0	7.4	13	0.2	0	0.245	0.08
2023-03-02 08:38:46.496284	68.0	7.5	14	0.2	0	0.264	0.08
2023-03-02 08:38:47.505115	69.0	7.7	13	0.2	0	0.264	0.08
2023-03-02 08:38:48.531277	70.0	7.8	15	0.2	0	0.265	0.08
2023-03-02 08:38:49.563138	71.0	7.9	12	0.2	0	0.266	0.101
2023-03-02 08:38:50.574025	72.1	8.0	12	0.2	0	0.282	0.101
2023-03-02 08:38:51.580817	73.1	8.2	13	0.2	0	0.282	0.101
2023-03-02 08:38:52.609921	74.1	8.3	13	0.3	0	0.282	0.101
2023-03-02 08:38:53.636754	75.1	8.4	13	0.2	0	0.286	0.121
2023-03-02 08:38:54.647782	76.1	8.6	14	0.2	0	0.286	0.121
2023-03-02 08:38:55.670087	77.2	8.7	14	0.2	0	0.302	0.121
2023-03-02 08:38:56.694852	78.2	8.8	14	0.3	0	0.302	0.121
2023-03-02 08:38:57.726736	79.2	9.0	12	0.4	0	0.302	0.121
2023-03-02 08:38:58.735371	80.2	9.1	14	0.2	0	0.303	0.141
2023-03-02 08:38:59.764940	81.3	9.2	14	0.2	0	0.315	0.141
2023-03-02 08:39:00.785536	82.3	9.4	14	0.2	0	0.315	0.141
2023-03-02 08:39:01.795016	83.3	9.5	14	0.2	0	0.315	0.141
2023-03-02 08:39:02.814568	84.3	9.7	13	0.2	0	0.315	0.161
2023-03-02 08:39:03.821174	85.3	9.8	14	0.2	0	0.319	0.161
2023-03-02 08:39:04.830284	86.3	9.9	14	0.2	0	0.319	0.161
2023-03-02 08:39:05.855520	87.3	10.1	14	0.3	0	0.319	0.161
2023-03-02 08:39:06.870313	88.4	10.2	12	0.2	0	0.321	0.181
2023-03-02 08:39:07.887057	89.4	10.3	14	0.2	0	0.323	0.181
2023-03-02 08:39:08.903855	90.4	10.5	14	0.2	0	0.339	0.181
2023-03-02 08:39:09.913173	91.4	10.6	12	0.3	0	0.339	0.181
2023-03-02 08:39:10.920180	92.4	10.7	12	0.2	0	0.339	0.181
2023-03-02 08:39:11.926911	93.4	10.8	12	0.2	0	0.339	0.201
2023-03-02 08:39:12.941086	94.4	11.0	12	0.2	0	0.356	0.201
