Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 08:37:39.549834	1.0	0.0	0	0.0	0	0.0	0.0
2023-03-02 08:37:40.553062	2.0	0.0	2	0.0	0	0.028	0.0
2023-03-02 08:37:41.556839	3.0	0.1	4	0.0	0	0.073	0.0
2023-03-02 08:37:42.559203	4.0	0.1	3	0.0	0	0.084	0.0
2023-03-02 08:37:43.562789	5.0	0.1	2	0.0	0	0.084	0.0
2023-03-02 08:37:44.565713	6.1	0.1	1	0.0	0	0.084	0.0
2023-03-02 08:37:45.568079	7.1	0.1	1	0.0	0	0.085	0.0
2023-03-02 08:37:46.570522	8.1	0.1	1	0.0	0	0.085	0.0
2023-03-02 08:37:47.572917	9.1	0.2	2	0.0	0	0.085	0.0
2023-03-02 08:37:48.575335	10.1	0.2	1	0.0	0	0.085	0.0
2023-03-02 08:37:49.577807	11.1	0.3	11	0.1	0	0.085	0.0
2023-03-02 08:37:50.581633	12.1	0.4	13	0.2	0	0.086	0.0
2023-03-02 08:37:51.584060	13.1	0.5	13	0.4	0	0.087	0.0
2023-03-02 08:37:52.586567	14.1	0.7	14	0.4	0	0.087	0.0
2023-03-02 08:37:53.588332	15.1	0.8	13	0.3	0	0.087	0.0
2023-03-02 08:37:54.590815	16.1	0.9	14	0.4	0	0.087	0.0
2023-03-02 08:37:55.593167	17.1	1.1	14	0.4	0	0.087	0.0
2023-03-02 08:37:56.595856	18.1	1.2	13	0.5	0	0.087	0.0
2023-03-02 08:37:57.598324	19.1	1.3	12	0.2	0	0.101	0.001
2023-03-02 08:37:58.602080	20.1	1.5	12	0.4	0	0.105	0.001
2023-03-02 08:37:59.607161	21.1	1.6	13	0.2	0	0.126	0.001
2023-03-02 08:38:00.610885	22.1	1.7	12	0.2	0	0.129	0.002
2023-03-02 08:38:01.613716	23.1	1.8	13	0.3	0	0.134	0.002
2023-03-02 08:38:02.618003	24.1	2.0	14	0.5	0	0.138	0.002
2023-03-02 08:38:03.752150	25.2	2.1	13	0.2	0	0.141	0.002
2023-03-02 08:38:04.785035	26.3	2.3	14	0.2	0	0.141	0.002
2023-03-02 08:38:05.811695	27.3	2.4	13	0.2	0	0.141	0.002
2023-03-02 08:38:06.818282	28.3	2.5	14	0.2	0	0.143	0.002
2023-03-02 08:38:07.821870	29.3	2.7	14	0.2	0	0.145	0.003
2023-03-02 08:38:08.829543	30.3	2.8	13	0.2	0	0.169	0.003
2023-03-02 08:38:09.834593	31.3	2.9	8	0.2	0	0.171	0.004
2023-03-02 08:38:10.838861	32.3	3.0	15	0.2	0	0.181	0.004
2023-03-02 08:38:11.851416	33.3	3.2	11	0.3	0	0.221	0.004
2023-03-02 08:38:12.872636	34.4	3.3	13	0.2	0	0.23	0.004
2023-03-02 08:38:13.887495	35.4	3.4	13	0.2	0	0.236	0.004
2023-03-02 08:38:14.899502	36.4	3.5	12	0.2	0	0.237	0.004
2023-03-02 08:38:15.953806	37.4	3.7	12	0.2	0	0.24	0.004
2023-03-02 08:38:17.088300	38.6	3.8	12	0.2	0	0.242	0.004
2023-03-02 08:38:18.105039	39.6	3.9	13	0.2	0	0.244	0.004
2023-03-02 08:38:19.173775	40.7	4.0	12	0.2	0	0.244	0.004
2023-03-02 08:38:20.203724	41.7	4.2	13	0.2	0	0.247	0.004
2023-03-02 08:38:21.215726	42.7	4.3	12	0.2	0	0.256	0.004
2023-03-02 08:38:22.226200	43.7	4.4	12	0.2	0	0.265	0.004
2023-03-02 08:38:23.240822	44.7	4.5	12	0.2	0	0.295	0.004
2023-03-02 08:38:24.271119	45.8	4.7	11	0.5	0	0.298	0.004
2023-03-02 08:38:25.287953	46.8	4.8	12	0.2	0	0.307	0.006
2023-03-02 08:38:26.299748	47.8	4.9	12	0.2	0	0.318	0.006
2023-03-02 08:38:27.307008	48.8	5.0	11	0.2	0	0.323	0.006
2023-03-02 08:38:28.312816	49.8	5.1	12	0.2	0	0.329	0.006
2023-03-02 08:38:29.321906	50.8	5.2	12	0.2	0	0.329	0.006
2023-03-02 08:38:30.329539	51.8	5.4	12	0.2	0	0.331	0.006
2023-03-02 08:38:31.366159	52.9	5.5	12	0.2	0	0.332	0.006
2023-03-02 08:38:32.386963	53.9	5.6	13	0.2	0	0.333	0.006
2023-03-02 08:38:33.393354	54.9	5.7	13	0.2	0	0.333	0.006
2023-03-02 08:38:34.397514	55.9	5.9	11	0.2	0	0.334	0.006
2023-03-02 08:38:35.401278	56.9	6.0	13	0.2	0	0.336	0.006
2023-03-02 08:38:36.404263	57.9	6.1	12	0.2	0	0.353	0.006
2023-03-02 08:38:37.408227	58.9	6.2	10	0.5	0	0.353	0.007
2023-03-02 08:38:38.411319	59.9	6.3	14	0.2	0	0.353	0.007
2023-03-02 08:38:39.414107	60.9	6.5	14	0.2	0	0.359	0.007
2023-03-02 08:38:40.416624	61.9	6.6	12	0.2	0	0.363	0.007
2023-03-02 08:38:41.419444	62.9	6.7	14	0.2	0	0.363	0.007
2023-03-02 08:38:42.474810	64.0	6.8	10	0.2	0	0.364	0.007
2023-03-02 08:38:43.485808	65.0	7.0	13	0.2	0	0.364	0.007
2023-03-02 08:38:44.489813	66.0	7.1	13	0.2	0	0.367	0.007
2023-03-02 08:38:45.492553	67.0	7.2	14	0.2	0	0.371	0.007
2023-03-02 08:38:46.495100	68.0	7.4	14	0.2	0	0.388	0.007
2023-03-02 08:38:47.505123	69.0	7.5	10	0.2	0	0.397	0.009
2023-03-02 08:38:48.531261	70.0	7.6	13	0.2	0	0.401	0.009
2023-03-02 08:38:49.563129	71.0	7.8	14	0.2	0	0.403	0.009
2023-03-02 08:38:50.573605	72.1	7.9	13	0.2	0	0.406	0.009
2023-03-02 08:38:51.581088	73.1	8.0	13	0.2	0	0.406	0.009
2023-03-02 08:38:52.609939	74.1	8.2	13	0.2	0	0.407	0.009
2023-03-02 08:38:53.636747	75.1	8.3	13	0.2	0	0.412	0.009
2023-03-02 08:38:54.649467	76.1	8.4	15	0.2	0	0.429	0.009
2023-03-02 08:38:55.670119	77.2	8.5	9	0.3	0	0.431	0.01
2023-03-02 08:38:56.694834	78.2	8.7	14	0.2	0	0.437	0.01
2023-03-02 08:38:57.726727	79.2	8.8	15	0.2	0	0.443	0.011
2023-03-02 08:38:58.734437	80.2	8.9	12	0.2	0	0.443	0.011
2023-03-02 08:38:59.764963	81.3	9.1	16	0.2	0	0.443	0.011
2023-03-02 08:39:00.785554	82.3	9.2	13	0.2	0	0.444	0.011
2023-03-02 08:39:01.796478	83.3	9.4	15	0.2	0	0.446	0.011
2023-03-02 08:39:02.814579	84.3	9.5	12	0.2	0	0.463	0.011
2023-03-02 08:39:03.834892	85.3	9.6	11	0.2	0	0.463	0.012
2023-03-02 08:39:04.839082	86.3	9.8	15	0.2	0	0.469	0.012
2023-03-02 08:39:05.855508	87.3	9.9	13	0.2	0	0.471	0.012
2023-03-02 08:39:06.870322	88.4	10.0	14	0.2	0	0.473	0.012
2023-03-02 08:39:07.887049	89.4	10.2	15	0.2	0	0.473	0.012
2023-03-02 08:39:08.903877	90.4	10.3	13	0.2	0	0.474	0.012
2023-03-02 08:39:09.913641	91.4	10.4	12	0.2	0	0.476	0.012
2023-03-02 08:39:10.919848	92.4	10.5	12	0.2	0	0.483	0.012
2023-03-02 08:39:11.927833	93.4	10.6	10	0.5	0	0.483	0.014
2023-03-02 08:39:12.941118	94.4	10.8	13	0.2	0	0.485	0.014
2023-03-02 08:39:13.954116	95.4	10.9	13	0.2	0	0.485	0.014
2023-03-02 08:39:14.961080	96.4	11.0	12	0.2	0	0.485	0.014
2023-03-02 08:39:15.988599	97.5	11.2	14	0.2	0	0.485	0.014
2023-03-02 08:39:17.004296	98.5	11.3	14	0.2	0	0.485	0.014
2023-03-02 08:39:18.018884	99.5	11.4	14	0.2	0	0.486	0.014
2023-03-02 08:39:19.045055	100.5	11.6	13	0.2	0	0.491	0.014
2023-03-02 08:39:20.062290	101.5	11.7	14	0.3	0	0.501	0.014
2023-03-02 08:39:21.083674	102.6	11.8	12	0.2	0	0.502	0.015
2023-03-02 08:39:22.100130	103.6	12.0	14	0.2	0	0.506	0.016
2023-03-02 08:39:23.112927	104.6	12.1	14	0.2	0	0.506	0.016
2023-03-02 08:39:24.128437	105.6	12.2	14	0.2	0	0.506	0.016
2023-03-02 08:39:25.144303	106.6	12.4	13	0.2	0	0.506	0.016
2023-03-02 08:39:26.159711	107.6	12.5	15	0.2	0	0.507	0.016
2023-03-02 08:39:27.168652	108.7	12.7	13	0.2	0	0.516	0.016
2023-03-02 08:39:28.170690	109.7	12.8	12	0.2	0	0.516	0.017
2023-03-02 08:39:29.172727	110.7	12.9	14	0.2	0	0.516	0.017
2023-03-02 08:39:30.207128	111.7	13.0	12	0.2	0	0.516	0.017
2023-03-02 08:39:31.218693	112.7	13.1	10	0.2	0	0.517	0.017
2023-03-02 08:39:32.239439	113.7	13.2	11	0.2	0	0.517	0.017
2023-03-02 08:39:33.264278	114.7	13.4	11	0.2	0	0.517	0.017
2023-03-02 08:39:34.297132	115.8	13.5	12	0.2	0	0.518	0.017
2023-03-02 08:39:35.302044	116.8	13.6	12	0.2	0	0.536	0.017
2023-03-02 08:39:36.304755	117.8	13.7	11	0.2	0	0.536	0.017
2023-03-02 08:39:37.307941	118.8	13.8	10	0.2	0	0.539	0.019
2023-03-02 08:39:38.322870	119.8	13.9	11	0.2	0	0.541	0.019
2023-03-02 08:39:39.331834	120.8	14.0	10	0.2	0	0.544	0.019
2023-03-02 08:39:40.363483	121.8	14.1	12	0.2	0	0.544	0.019
2023-03-02 08:39:41.378850	122.9	14.3	12	0.2	0	0.544	0.019
2023-03-02 08:39:42.381176	123.9	14.4	11	0.2	0	0.544	0.019
2023-03-02 08:39:43.383463	124.9	14.5	12	0.2	0	0.544	0.019
2023-03-02 08:39:44.385678	125.9	14.6	12	0.2	0	0.545	0.019
2023-03-02 08:39:45.387799	126.9	14.7	11	0.2	0	0.562	0.019
2023-03-02 08:39:46.390094	127.9	14.8	12	0.3	0	0.562	0.019
2023-03-02 08:39:47.392168	128.9	14.9	10	0.2	0	0.562	0.02
2023-03-02 08:39:48.412436	129.9	15.1	12	0.2	0	0.565	0.021
2023-03-02 08:39:49.465362	131.0	15.2	11	0.2	0	0.566	0.021
2023-03-02 08:39:50.477172	132.0	15.3	12	0.2	0	0.567	0.021
2023-03-02 08:39:51.511905	133.0	15.4	13	0.2	0	0.567	0.021
2023-03-02 08:39:52.519214	134.0	15.5	12	0.2	0	0.567	0.021
2023-03-02 08:39:53.522039	135.0	15.7	12	0.2	0	0.567	0.021
2023-03-02 08:39:54.527529	136.0	15.8	11	0.2	0	0.572	0.021
2023-03-02 08:39:55.532896	137.0	15.9	12	0.2	0	0.589	0.021
2023-03-02 08:39:56.535944	138.0	16.0	9	0.2	0	0.591	0.022
2023-03-02 08:39:57.542420	139.0	16.1	10	0.2	0	0.593	0.022
2023-03-02 08:39:58.547531	140.0	16.2	12	0.2	0	0.593	0.022
2023-03-02 08:39:59.550507	141.0	16.3	10	0.2	0	0.595	0.022
2023-03-02 08:40:00.556096	142.0	16.4	11	0.2	0	0.595	0.022
2023-03-02 08:40:01.558793	143.0	16.5	11	0.2	0	0.595	0.022
2023-03-02 08:40:02.560941	144.0	16.6	11	0.2	0	0.595	0.022
2023-03-02 08:40:03.563807	145.1	16.8	11	0.2	0	0.595	0.022
2023-03-02 08:40:04.566391	146.1	16.9	13	0.2	0	0.595	0.022
2023-03-02 08:40:05.568254	147.1	17.0	14	0.2	0	0.611	0.022
2023-03-02 08:40:06.570727	148.1	17.0	1	0.3	0	0.611	0.022
2023-03-02 08:40:07.573654	149.1	17.0	1	0.2	0	0.611	0.024
2023-03-02 08:40:08.575821	150.1	17.2	13	0.2	0	0.611	0.024
2023-03-02 08:40:09.578326	151.1	17.3	12	0.2	0	0.611	0.024
2023-03-02 08:40:10.580217	152.1	17.4	12	0.2	0	0.611	0.024
2023-03-02 08:40:11.582136	153.1	17.5	12	0.2	0	0.611	0.024
2023-03-02 08:40:12.585153	154.1	17.6	12	0.2	0	0.611	0.024
2023-03-02 08:40:13.587184	155.1	17.8	13	0.2	0	0.611	0.024
2023-03-02 08:40:14.589216	156.1	17.9	13	0.2	0	0.627	0.024
2023-03-02 08:40:15.591427	157.1	18.0	10	0.5	0	0.627	0.024
2023-03-02 08:40:16.593348	158.1	18.1	12	0.2	0	0.627	0.025
2023-03-02 08:40:17.595262	159.1	18.2	12	0.2	0	0.627	0.026
2023-03-02 08:40:18.600665	160.1	18.4	12	0.2	0	0.627	0.026
2023-03-02 08:40:19.603623	161.1	18.5	12	0.2	0	0.627	0.026
2023-03-02 08:40:20.607762	162.1	18.6	11	0.2	0	0.627	0.026
2023-03-02 08:40:21.610322	163.1	18.7	13	0.2	0	0.627	0.026
2023-03-02 08:40:22.612314	164.1	18.8	11	0.2	0	0.627	0.026
2023-03-02 08:40:23.615178	165.1	19.0	11	0.2	0	0.642	0.026
2023-03-02 08:40:24.618111	166.1	19.1	10	0.2	0	0.642	0.027
2023-03-02 08:40:25.621064	167.1	19.2	12	0.2	0	0.642	0.027
2023-03-02 08:40:26.624051	168.1	19.3	11	0.2	0	0.642	0.027
2023-03-02 08:40:27.627006	169.1	19.4	12	0.2	0	0.642	0.027
2023-03-02 08:40:28.628908	170.1	19.5	11	0.2	0	0.642	0.027
2023-03-02 08:40:29.631075	171.1	19.6	11	0.2	0	0.642	0.027
2023-03-02 08:40:30.634093	172.1	19.7	10	0.2	0	0.642	0.027
2023-03-02 08:40:31.637379	173.1	19.8	10	0.2	0	0.642	0.027
2023-03-02 08:40:32.640820	174.1	19.9	10	0.2	0	0.651	0.027
2023-03-02 08:40:33.644383	175.1	20.0	10	0.3	0	0.651	0.027
2023-03-02 08:40:34.647236	176.1	20.1	9	0.2	0	0.651	0.029
2023-03-02 08:40:35.650593	177.1	20.2	10	0.2	0	0.651	0.029
2023-03-02 08:40:36.653702	178.1	20.3	10	0.2	0	0.651	0.029
2023-03-02 08:40:37.657213	179.1	20.4	11	0.2	0	0.651	0.029
2023-03-02 08:40:38.660613	180.1	20.5	10	0.2	0	0.651	0.029
2023-03-02 08:40:39.663524	181.2	20.6	12	0.2	0	0.651	0.029
2023-03-02 08:40:40.665855	182.2	20.8	12	0.2	0	0.651	0.029
2023-03-02 08:40:41.667839	183.2	20.9	12	0.2	0	0.651	0.029
2023-03-02 08:40:42.671257	184.2	21.0	11	0.2	0	0.655	0.029
2023-03-02 08:40:43.673589	185.2	21.1	11	0.2	0	0.655	0.03
2023-03-02 08:40:44.676605	186.2	21.2	12	0.2	0	0.655	0.03
2023-03-02 08:40:45.688398	187.2	21.3	11	0.2	0	0.655	0.031
2023-03-02 08:40:46.702711	188.2	21.4	11	0.2	0	0.656	0.031
2023-03-02 08:40:47.708107	189.2	21.6	11	0.2	0	0.656	0.031
2023-03-02 08:40:48.710468	190.2	21.7	11	0.2	0	0.656	0.031
2023-03-02 08:40:49.712831	191.2	21.8	12	0.2	0	0.656	0.031
2023-03-02 08:40:50.715115	192.2	21.9	12	0.2	0	0.66	0.031
2023-03-02 08:40:51.718526	193.2	22.0	13	0.3	0	0.661	0.031
2023-03-02 08:40:52.721106	194.2	22.1	12	0.2	0	0.663	0.032
2023-03-02 08:40:53.725799	195.2	22.3	13	0.2	0	0.664	0.032
2023-03-02 08:40:54.728830	196.2	22.4	11	0.2	0	0.665	0.032
2023-03-02 08:40:55.731266	197.2	22.5	13	0.2	0	0.665	0.032
2023-03-02 08:40:56.734674	198.2	22.7	13	0.2	0	0.665	0.032
2023-03-02 08:40:57.737877	199.2	22.8	14	0.2	0	0.666	0.032
2023-03-02 08:40:58.739990	200.2	22.9	12	0.2	0	0.667	0.032
2023-03-02 08:40:59.741881	201.2	23.0	13	0.2	0	0.675	0.032
2023-03-02 08:41:00.743641	202.2	23.1	11	0.2	0	0.677	0.034
2023-03-02 08:41:01.752097	203.2	23.2	10	0.2	0	0.679	0.034
2023-03-02 08:41:02.755018	204.2	23.4	11	0.2	0	0.681	0.034
2023-03-02 08:41:03.760066	205.2	23.5	12	0.2	0	0.682	0.034
2023-03-02 08:41:04.764988	206.3	23.6	13	0.2	0	0.682	0.034
2023-03-02 08:41:05.769305	207.3	23.7	10	0.2	0	0.683	0.034
2023-03-02 08:41:06.772813	208.3	23.8	12	0.2	0	0.683	0.034
2023-03-02 08:41:07.776131	209.3	23.9	11	0.2	0	0.683	0.034
2023-03-02 08:41:08.779507	210.3	24.1	14	0.2	0	0.685	0.034
2023-03-02 08:41:09.782637	211.3	24.2	13	0.2	0	0.701	0.034
2023-03-02 08:41:10.784646	212.3	24.3	12	0.2	0	0.701	0.036
2023-03-02 08:41:11.786965	213.3	24.5	14	0.2	0	0.701	0.036
2023-03-02 08:41:12.789260	214.3	24.6	14	0.2	0	0.701	0.036
2023-03-02 08:41:13.791337	215.3	24.7	13	0.2	0	0.701	0.036
2023-03-02 08:41:14.793258	216.3	24.9	14	0.2	0	0.701	0.036
2023-03-02 08:41:15.796280	217.3	25.0	13	0.2	0	0.701	0.036
2023-03-02 08:41:16.800729	218.3	25.2	15	0.2	0	0.719	0.036
