Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 08:38:27.126571	1.0	0.1	0	0.0	0	0.312	0.0
2023-03-02 08:38:28.137509	2.0	0.2	13	0.0	0	0.429	0.0
2023-03-02 08:38:29.192302	3.1	0.4	12	0.1	0	0.438	0.0
2023-03-02 08:38:30.218521	4.1	0.5	12	0.1	0	0.45	0.0
2023-03-02 08:38:31.252135	5.1	0.6	13	0.1	0	0.452	0.0
2023-03-02 08:38:32.279735	6.2	0.7	11	0.2	0	0.47	0.0
2023-03-02 08:38:33.287557	7.2	0.8	12	0.2	0	0.47	0.0
2023-03-02 08:38:34.290213	8.2	1.0	12	0.2	0	0.479	0.011
2023-03-02 08:38:35.292827	9.2	1.1	12	0.2	0	0.479	0.011
2023-03-02 08:38:36.295571	10.2	1.2	11	0.2	0	0.488	0.021
2023-03-02 08:38:37.298277	11.2	1.3	13	0.2	0	0.488	0.021
2023-03-02 08:38:38.300686	12.2	1.5	13	0.2	0	0.488	0.032
2023-03-02 08:38:39.305965	13.2	1.6	13	0.2	0	0.499	0.032
2023-03-02 08:38:40.321866	14.2	1.7	14	0.2	0	0.499	0.032
2023-03-02 08:38:41.343977	15.2	1.9	13	0.2	0	0.5	0.043
2023-03-02 08:38:42.390217	16.3	2.0	11	0.2	0	0.509	0.043
2023-03-02 08:38:43.398951	17.3	2.1	12	0.2	0	0.51	0.043
2023-03-02 08:38:44.420034	18.3	2.2	13	0.2	0	0.511	0.053
2023-03-02 08:38:45.436484	19.3	2.3	14	0.2	0	0.521	0.053
2023-03-02 08:38:46.477197	20.4	2.5	12	0.4	0	0.524	0.053
2023-03-02 08:38:47.505097	21.4	2.6	14	0.2	0	0.533	0.064
2023-03-02 08:38:48.531285	22.4	2.8	15	0.2	0	0.534	0.064
2023-03-02 08:38:49.563106	23.5	2.9	13	0.2	0	0.535	0.075
2023-03-02 08:38:50.573979	24.5	3.0	12	0.2	0	0.546	0.075
2023-03-02 08:38:51.580928	25.5	3.1	12	0.2	0	0.546	0.075
2023-03-02 08:38:52.609949	26.5	3.3	14	0.2	0	0.547	0.086
2023-03-02 08:38:53.636738	27.5	3.4	13	0.2	0	0.556	0.086
2023-03-02 08:38:54.646831	28.5	3.5	13	0.4	0	0.557	0.086
2023-03-02 08:38:55.670112	29.6	3.7	15	0.2	0	0.566	0.096
2023-03-02 08:38:56.694861	30.6	3.8	14	0.2	0	0.566	0.096
2023-03-02 08:38:57.726701	31.6	4.0	13	0.2	0	0.568	0.107
2023-03-02 08:38:58.736227	32.6	4.1	13	0.2	0	0.577	0.107
2023-03-02 08:38:59.764920	33.7	4.2	12	0.4	0	0.578	0.107
2023-03-02 08:39:00.785572	34.7	4.3	13	0.2	0	0.645	0.118
2023-03-02 08:39:01.796323	35.7	4.5	13	0.2	0	0.718	0.118
2023-03-02 08:39:02.814588	36.7	4.6	13	0.2	0	0.721	0.128
2023-03-02 08:39:03.820196	37.7	4.8	15	0.2	0	0.73	0.128
2023-03-02 08:39:04.830255	38.7	4.9	13	0.2	0	0.73	0.128
2023-03-02 08:39:05.855531	39.7	5.0	13	0.2	0	0.732	0.139
2023-03-02 08:39:06.870278	40.8	5.2	14	0.2	0	0.742	0.139
2023-03-02 08:39:07.887039	41.8	5.3	12	0.2	0	0.745	0.145
2023-03-02 08:39:08.903895	42.8	5.4	14	0.2	0	0.757	0.15
2023-03-02 08:39:09.913402	43.8	5.5	12	0.2	0	0.757	0.15
2023-03-02 08:39:10.920049	44.8	5.7	12	0.2	0	0.757	0.16
2023-03-02 08:39:11.926783	45.8	5.8	12	0.2	0	0.766	0.16
