Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 08:37:49.156158	1.0	0.2	0	0.1	0	0.0	0.0
2023-03-02 08:37:50.158277	2.0	0.3	11	0.1	0	0.001	0.0
2023-03-02 08:37:51.160697	3.0	0.4	12	0.2	0	0.002	0.0
2023-03-02 08:37:52.163127	4.0	0.5	14	0.2	0	0.002	0.0
2023-03-02 08:37:53.165625	5.0	0.7	14	0.2	0	0.002	0.0
2023-03-02 08:37:54.168284	6.0	0.8	12	0.3	0	0.002	0.02
2023-03-02 08:37:55.170692	7.0	0.9	15	0.4	0	0.002	0.02
2023-03-02 08:37:56.174691	8.0	1.1	14	0.4	0	0.002	0.02
2023-03-02 08:37:57.179776	9.0	1.2	14	0.4	0	0.002	0.02
2023-03-02 08:37:58.184777	10.0	1.4	14	0.4	0	0.002	0.02
2023-03-02 08:37:59.188276	11.0	1.5	14	0.4	0	0.002	0.02
2023-03-02 08:38:00.190790	12.0	1.6	15	0.4	0	0.002	0.02
2023-03-02 08:38:01.195751	13.0	1.8	13	0.5	0	0.002	0.02
2023-03-02 08:38:02.222034	14.1	1.9	15	0.5	0	0.002	0.02
2023-03-02 08:38:03.246072	15.1	2.1	14	0.5	0	0.002	0.02
2023-03-02 08:38:04.250884	16.1	2.2	13	0.6	0	0.002	0.02
2023-03-02 08:38:05.253489	17.1	2.3	12	0.7	0	0.007	0.02
2023-03-02 08:38:06.256983	18.1	2.5	15	0.8	0	0.007	0.02
2023-03-02 08:38:07.260742	19.1	2.6	13	0.5	0	0.007	0.02
2023-03-02 08:38:08.263330	20.1	2.7	14	0.6	0	0.007	0.02
2023-03-02 08:38:09.265800	21.1	2.9	14	0.6	0	0.007	0.02
2023-03-02 08:38:10.269582	22.1	3.0	15	0.7	0	0.007	0.02
2023-03-02 08:38:11.305026	23.2	3.1	13	0.7	0	0.007	0.02
2023-03-02 08:38:12.311652	24.2	3.3	12	0.8	0	0.007	0.02
2023-03-02 08:38:13.314500	25.2	3.4	12	0.4	0	0.008	0.02
2023-03-02 08:38:14.374731	26.2	3.5	12	0.5	0	0.009	0.02
2023-03-02 08:38:15.411602	27.3	3.7	13	0.5	0	0.012	0.02
2023-03-02 08:38:16.429913	28.3	3.8	13	0.5	0	0.014	0.02
2023-03-02 08:38:17.434590	29.3	3.9	11	0.5	0	0.017	0.02
