Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 08:38:40.580120	1.0	0.1	0	0.0	0	0.251	0.0
2023-03-02 08:38:41.583273	2.0	0.2	12	0.0	0	0.283	0.0
2023-03-02 08:38:42.586557	3.0	0.4	12	0.1	0	0.288	0.0
2023-03-02 08:38:43.588362	4.0	0.5	12	0.1	0	0.288	0.0
2023-03-02 08:38:44.590924	5.0	0.6	12	0.2	0	0.379	0.0
2023-03-02 08:38:45.593953	6.0	0.7	13	0.3	0	0.383	0.0
2023-03-02 08:38:46.596586	7.0	0.9	14	0.3	0	0.383	0.0
2023-03-02 08:38:47.599781	8.0	1.0	14	0.3	0	0.384	0.0
2023-03-02 08:38:48.602392	9.0	1.2	14	0.3	0	0.384	0.0
2023-03-02 08:38:49.605262	10.0	1.3	13	0.3	0	0.384	0.0
2023-03-02 08:38:50.608202	11.0	1.4	12	0.3	0	0.384	0.0
2023-03-02 08:38:51.610372	12.0	1.5	13	0.4	0	0.384	0.0
2023-03-02 08:38:52.612835	13.0	1.7	13	0.5	0	0.384	0.0
2023-03-02 08:38:53.636720	14.1	1.8	14	0.5	0	0.384	0.0
2023-03-02 08:38:54.648635	15.1	2.0	15	0.4	0	0.384	0.0
2023-03-02 08:38:55.670103	16.1	2.1	13	0.5	0	0.384	0.0
2023-03-02 08:38:56.694870	17.1	2.2	14	0.5	0	0.384	0.0
2023-03-02 08:38:57.726718	18.2	2.4	14	0.6	0	0.384	0.0
2023-03-02 08:38:58.740267	19.2	2.5	14	0.4	0	0.384	0.0
2023-03-02 08:38:59.765228	20.2	2.6	14	0.4	0	0.384	0.0
2023-03-02 08:39:00.785563	21.2	2.8	14	0.4	0	0.385	0.0
2023-03-02 08:39:01.795773	22.2	2.9	13	0.2	0	0.539	0.02
2023-03-02 08:39:02.814548	23.2	3.1	14	0.3	0	0.541	0.02
2023-03-02 08:39:03.828073	24.3	3.2	14	0.4	0	0.541	0.02
2023-03-02 08:39:04.830275	25.3	3.3	14	0.4	0	0.541	0.02
2023-03-02 08:39:05.855481	26.3	3.5	14	0.4	0	0.541	0.02
2023-03-02 08:39:06.870301	27.3	3.6	13	0.4	0	0.541	0.02
2023-03-02 08:39:07.887065	28.3	3.8	14	0.4	0	0.541	0.02
2023-03-02 08:39:08.903886	29.3	3.9	14	0.4	0	0.541	0.02
2023-03-02 08:39:09.913732	30.3	4.0	12	0.5	0	0.541	0.02
2023-03-02 08:39:10.920202	31.3	4.1	12	0.5	0	0.541	0.02
2023-03-02 08:39:11.926540	32.4	4.2	12	0.5	0	0.541	0.02
2023-03-02 08:39:12.941108	33.4	4.4	12	0.5	0	0.541	0.02
2023-03-02 08:39:13.954097	34.4	4.5	13	0.7	0	0.541	0.02
2023-03-02 08:39:14.959288	35.4	4.6	11	0.7	0	0.541	0.02
2023-03-02 08:39:15.988624	36.4	4.8	15	0.5	0	0.541	0.02
2023-03-02 08:39:17.004317	37.4	4.9	13	0.5	0	0.541	0.02
2023-03-02 08:39:18.018916	38.4	5.0	15	0.6	0	0.541	0.02
2023-03-02 08:39:19.045092	39.5	5.2	15	0.7	0	0.541	0.02
2023-03-02 08:39:20.062324	40.5	5.3	12	0.7	0	0.541	0.02
2023-03-02 08:39:21.083693	41.5	5.5	15	0.8	0	0.541	0.02
2023-03-02 08:39:22.100138	42.5	5.6	13	0.3	0	0.541	0.02
2023-03-02 08:39:23.112909	43.5	5.7	15	0.5	0	0.541	0.02
2023-03-02 08:39:24.128427	44.6	5.9	14	0.5	0	0.541	0.02
2023-03-02 08:39:25.144297	45.6	6.0	14	0.5	0	0.541	0.02
2023-03-02 08:39:26.159677	46.6	6.2	14	0.2	0	0.541	0.02
2023-03-02 08:39:27.168757	47.6	6.3	10	0.2	0	0.557	0.04
2023-03-02 08:39:28.172411	48.6	6.4	14	0.2	0	0.557	0.04
2023-03-02 08:39:29.174418	49.6	6.5	13	0.2	0	0.557	0.04
2023-03-02 08:39:30.207120	50.6	6.7	12	0.2	0	0.557	0.06
2023-03-02 08:39:31.218450	51.6	6.8	12	0.2	0	0.557	0.06
2023-03-02 08:39:32.239423	52.7	6.9	10	0.2	0	0.574	0.06
2023-03-02 08:39:33.264298	53.7	7.0	11	0.2	0	0.574	0.06
2023-03-02 08:39:34.297188	54.7	7.1	12	0.2	0	0.574	0.06
2023-03-02 08:39:35.303107	55.7	7.2	10	0.2	0	0.575	0.074
2023-03-02 08:39:36.305830	56.7	7.3	12	0.2	0	0.575	0.08
2023-03-02 08:39:37.307768	57.7	7.5	13	0.2	0	0.59	0.08
2023-03-02 08:39:38.322835	58.7	7.6	12	0.3	0	0.59	0.08
2023-03-02 08:39:39.334758	59.8	7.7	10	0.3	0	0.59	0.08
2023-03-02 08:39:40.363449	60.8	7.8	11	0.6	0	0.591	0.081
2023-03-02 08:39:41.370577	61.8	7.9	11	0.2	0	0.592	0.101
