Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-02 01:39:56.789621	1.0	0.3	0	0.0	0	0.07	0.0
2023-03-02 01:39:57.795424	2.0	0.5	20	0.0	0	0.083	0.0
2023-03-02 01:39:58.802277	3.0	0.7	18	0.0	0	0.108	0.0
2023-03-02 01:39:59.809112	4.0	0.8	16	0.0	0	0.118	0.0
2023-03-02 01:40:00.816527	5.0	1.1	31	0.0	0	0.126	0.0
2023-03-02 01:40:01.827328	6.0	1.2	12	0.0	0	0.131	0.0
2023-03-02 01:40:02.842486	7.1	1.6	34	0.0	0	0.137	0.0
2023-03-02 01:40:03.878488	8.1	1.9	26	0.1	0	0.173	0.0
2023-03-02 01:40:04.905046	9.1	2.1	20	0.0	0	0.343	0.0
2023-03-02 01:40:05.918873	10.1	2.3	26	0.1	0	0.394	0.0
2023-03-02 01:40:06.930935	11.1	2.6	32	0.1	0	0.419	0.0
2023-03-02 01:40:07.945694	12.2	2.8	16	0.1	0	0.45	0.0
2023-03-02 01:40:08.959212	13.2	3.2	36	0.1	0	0.478	0.0
2023-03-02 01:40:09.966642	14.2	3.4	22	0.1	0	0.493	0.0
2023-03-02 01:40:10.976107	15.2	3.7	32	0.1	0	0.547	0.0
2023-03-02 01:40:11.991653	16.2	3.9	16	0.1	0	0.556	0.0
2023-03-02 01:40:13.003383	17.2	4.1	21	0.1	0	0.579	0.0
2023-03-02 01:40:14.039858	18.3	4.5	47	0.1	0	0.594	0.0
2023-03-02 01:40:15.051548	19.3	5.1	54	0.1	0	0.609	0.0
2023-03-02 01:40:16.061729	20.3	5.3	16	0.2	0	0.649	0.0
2023-03-02 01:40:17.070232	21.3	5.6	34	0.2	0	0.677	0.0
2023-03-02 01:40:18.088178	22.3	5.9	28	0.2	0	0.735	0.0
2023-03-02 01:40:19.092780	23.3	6.2	36	0.2	0	0.761	0.0
2023-03-02 01:40:20.096128	24.3	6.7	45	0.2	0	0.764	0.0
2023-03-02 01:40:21.131333	25.3	7.2	46	0.2	0	0.784	0.0
2023-03-02 01:40:22.187438	26.4	7.3	0	0.2	0	0.913	0.0
2023-03-02 01:40:23.212416	27.4	7.3	0	0.2	0	1.112	0.0
2023-03-02 01:40:24.226724	28.4	7.4	8	0.2	0	1.126	0.0
2023-03-02 01:40:25.233762	29.5	7.4	7	0.2	0	1.127	0.0
2023-03-02 01:40:26.237113	30.5	7.5	1	0.2	0	1.211	0.0
2023-03-02 01:40:27.250174	31.5	7.5	3	0.2	0	1.23	0.01
2023-03-02 01:40:28.270423	32.5	7.6	4	0.2	0	1.266	0.01
2023-03-02 01:40:29.277367	33.5	7.7	3	0.2	0	1.339	0.01
2023-03-02 01:40:30.298025	34.5	7.8	4	0.2	0	1.411	0.019
2023-03-02 01:40:31.312371	35.5	7.8	1	0.2	0	1.512	0.027
2023-03-02 01:40:32.315344	36.5	7.8	5	0.2	0	1.514	0.028
2023-03-02 01:40:33.318253	37.5	8.0	1	0.2	0	1.567	0.037
2023-03-02 01:40:34.321171	38.5	8.0	2	0.2	0	1.602	0.055
2023-03-02 01:40:35.323993	39.5	8.1	4	0.2	0	1.602	0.073
2023-03-02 01:40:36.326922	40.5	8.1	4	0.2	0	1.602	0.073
2023-03-02 01:40:37.335166	41.6	8.2	3	0.2	0	1.687	0.073
