Date and time (UTC)	Real time (s)	CPU time (s)	CPU (%)	Memory (GB)	Memory (%)	Disk read (GB)	Disk write (GB)
2023-03-01 23:14:10.532802	1.0	10.5	0	0.2	0	0.841	0.0
2023-03-01 23:14:11.553304	2.0	10.8	23	0.2	0	0.902	0.0
2023-03-01 23:14:12.556609	3.0	10.9	19	0.2	0	0.957	0.0
2023-03-01 23:14:13.560855	4.0	11.0	2	0.2	0	0.957	0.0
2023-03-01 23:14:14.564147	5.0	11.0	6	0.2	0	0.961	0.0
2023-03-01 23:14:15.567475	6.1	11.0	1	0.2	0	0.961	0.0
2023-03-01 23:14:16.598751	7.1	11.0	1	0.2	0	0.962	0.0
2023-03-01 23:14:17.606189	8.1	11.0	0	0.2	0	0.963	0.0
2023-03-01 23:14:18.655400	9.1	11.0	0	0.2	0	0.964	0.0
2023-03-01 23:14:19.691136	10.2	11.1	1	0.2	0	0.965	0.0
2023-03-01 23:14:20.698931	11.2	11.1	0	0.2	0	0.965	0.0
2023-03-01 23:14:21.727744	12.2	11.1	1	0.2	0	0.966	0.0
2023-03-01 23:14:22.753638	13.2	11.1	0	0.2	0	0.967	0.0
2023-03-01 23:14:23.758690	14.2	11.1	1	0.2	0	0.968	0.0
2023-03-01 23:14:24.761960	15.2	11.1	0	0.2	0	0.968	0.0
2023-03-01 23:14:25.789746	16.3	11.1	1	0.2	0	0.969	0.0
2023-03-01 23:14:26.816166	17.3	11.1	0	0.2	0	0.97	0.0
2023-03-01 23:14:27.853803	18.3	11.1	1	0.2	0	0.971	0.0
2023-03-01 23:14:28.861734	19.3	11.1	0	0.2	0	0.971	0.0
2023-03-01 23:14:29.896331	20.4	11.1	0	0.2	0	0.971	0.0
2023-03-01 23:14:30.924833	21.4	11.1	3	0.2	0	0.976	0.0
2023-03-01 23:14:31.932863	22.4	11.3	19	0.2	0	1.025	0.0
2023-03-01 23:14:32.936090	23.4	11.4	7	0.2	0	1.027	0.0
2023-03-01 23:14:33.949309	24.4	11.6	19	0.2	0	1.087	0.0
2023-03-01 23:14:34.956610	25.4	11.6	7	0.2	0	1.094	0.0
2023-03-01 23:14:36.022481	26.5	11.8	17	0.2	0	1.206	0.001
2023-03-01 23:14:37.025714	27.5	12.0	14	0.2	0	1.207	0.001
2023-03-01 23:14:38.028866	28.5	12.1	9	0.2	0	1.266	0.001
2023-03-01 23:14:39.032116	29.5	12.2	10	0.2	0	1.267	0.001
2023-03-01 23:14:40.043980	30.5	12.3	16	0.2	0	1.33	0.001
2023-03-01 23:14:41.059033	31.5	12.5	23	0.2	0	1.419	0.001
2023-03-01 23:14:42.091186	32.6	12.7	11	0.2	0	1.421	0.001
2023-03-01 23:14:43.107246	33.6	12.8	15	0.2	0	1.536	0.001
2023-03-01 23:14:44.134866	34.6	13.0	17	0.2	0	1.54	0.001
2023-03-01 23:14:45.141315	35.6	13.0	6	0.2	0	1.543	0.001
2023-03-01 23:14:46.147634	36.6	13.2	17	0.2	0	1.614	0.001
2023-03-01 23:14:47.167937	37.6	13.3	6	0.2	0	1.617	0.001
2023-03-01 23:14:48.192331	38.7	13.4	18	0.2	0	1.692	0.001
2023-03-01 23:14:49.196662	39.7	13.6	19	0.2	0	1.692	0.001
2023-03-01 23:14:50.203945	40.7	13.8	15	0.2	0	1.696	0.001
2023-03-01 23:14:51.227997	41.7	13.9	16	0.2	0	1.703	0.001
2023-03-01 23:14:52.252458	42.7	14.1	15	0.2	0	1.709	0.001
2023-03-01 23:14:53.286356	43.8	14.7	61	4.1	2	1.714	0.004
2023-03-01 23:14:54.313150	44.8	15.5	6	4.9	3	1.717	0.004
2023-03-01 23:14:55.326486	45.8	16.4	1	5.0	3	1.82	0.004
2023-03-01 23:14:56.337365	46.8	17.4	1	5.4	3	1.958	0.004
2023-03-01 23:14:57.351781	47.8	18.4	0	5.5	3	2.1	0.004
2023-03-01 23:14:58.360343	48.8	19.4	1	5.5	3	2.237	0.004
2023-03-01 23:14:59.374826	49.9	20.4	0	5.5	3	2.344	0.004
2023-03-01 23:15:00.381956	50.9	21.4	1	5.6	3	2.436	0.004
2023-03-01 23:15:01.392407	51.9	22.4	1	5.7	3	2.558	0.004
2023-03-01 23:15:02.399399	52.9	23.4	0	5.9	3	2.814	0.004
2023-03-01 23:15:03.410264	53.9	24.4	1	6.0	3	2.989	0.004
2023-03-01 23:15:04.418659	54.9	25.4	1	6.3	3	3.172	0.005
2023-03-01 23:15:05.428088	55.9	26.4	0	6.5	3	3.348	0.005
2023-03-01 23:15:06.437103	56.9	27.4	1	6.7	4	3.522	0.005
2023-03-01 23:15:07.449600	57.9	28.4	0	6.9	4	3.671	0.005
2023-03-01 23:15:08.464305	58.9	29.4	2	6.9	4	3.805	0.005
2023-03-01 23:15:09.478947	60.0	30.4	0	6.8	4	3.897	0.017
2023-03-01 23:15:10.490098	61.0	31.4	2	6.9	4	3.948	0.017
2023-03-01 23:15:11.498180	62.0	32.4	0	6.7	4	4.062	0.033
2023-03-01 23:15:12.507400	63.0	33.4	0	6.8	4	4.213	0.033
2023-03-01 23:15:13.550658	64.0	34.4	1	6.9	4	4.383	0.033
2023-03-01 23:15:14.561433	65.0	35.5	0	7.0	4	4.458	0.033
2023-03-01 23:15:15.570258	66.1	36.4	2	7.0	4	4.501	0.033
2023-03-01 23:15:16.583458	67.1	37.4	0	7.0	4	4.531	0.033
2023-03-01 23:15:17.591879	68.1	38.4	0	7.0	4	4.565	0.033
2023-03-01 23:15:18.615512	69.1	39.4	2	7.0	4	4.58	0.033
2023-03-01 23:15:19.634410	70.1	40.5	0	7.0	4	4.615	0.033
2023-03-01 23:15:20.645209	71.1	41.5	1	7.0	4	4.638	0.033
2023-03-01 23:15:21.727641	72.2	42.6	0	7.0	4	4.688	0.033
2023-03-01 23:15:22.738925	73.2	43.6	2	7.0	4	4.716	0.033
2023-03-01 23:15:23.752099	74.2	44.6	0	7.0	4	4.738	0.033
2023-03-01 23:15:24.759891	75.2	45.6	0	7.0	4	4.748	0.033
2023-03-01 23:15:25.765307	76.2	46.6	2	7.0	4	4.757	0.033
2023-03-01 23:15:26.774046	77.3	47.6	0	7.0	4	4.788	0.033
2023-03-01 23:15:27.792396	78.3	48.6	1	7.0	4	4.822	0.033
2023-03-01 23:15:28.802235	79.3	49.6	0	7.0	4	4.827	0.033
2023-03-01 23:15:29.808285	80.3	50.6	1	7.0	4	4.831	0.033
2023-03-01 23:15:30.816530	81.3	51.6	1	7.1	4	4.836	0.033
2023-03-01 23:15:31.824253	82.3	52.6	0	7.1	4	4.839	0.033
2023-03-01 23:15:32.830422	83.3	53.6	1	7.1	4	4.869	0.033
2023-03-01 23:15:33.837380	84.3	54.6	0	7.1	4	4.875	0.033
2023-03-01 23:15:34.849383	85.3	55.6	1	7.1	4	4.891	0.033
2023-03-01 23:15:35.860129	86.3	56.6	1	7.1	4	4.917	0.033
2023-03-01 23:15:36.868862	87.4	57.6	0	7.1	4	4.976	0.036
2023-03-01 23:15:37.880568	88.4	58.6	1	7.2	4	5.029	0.036
2023-03-01 23:15:38.889288	89.4	59.6	1	7.2	4	5.033	0.036
